Gaia19blp
#Date,JD,averagemag.
2015-01-16 02:23:12,2457038.599,null
2015-01-16 04:09:22,2457038.673,null
2015-01-24 22:15:42,2457047.428,null
2015-01-25 02:28:52,2457047.603,null
2015-03-08 07:03:59,2457089.794,null
2015-03-08 08:50:43,2457089.869,null
2015-03-29 18:58:32,2457111.291,null
2015-03-29 20:45:17,2457111.365,null
2015-05-02 12:24:58,2457145.017,null
2015-05-02 14:11:07,2457145.091,null
2015-06-12 11:57:50,2457185.998,null
2015-06-12 13:44:35,2457186.073,null
2015-06-12 17:58:19,2457186.249,null
2015-07-03 06:08:15,2457206.756,null
2015-07-03 07:55:00,2457206.830,null
2015-07-03 12:08:45,2457207.006,null
2015-07-03 13:54:55,2457207.080,null
2015-08-25 23:53:43,2457260.496,null
2015-08-26 01:39:53,2457260.569,null
2015-08-26 05:53:39,2457260.746,null
2015-09-21 17:55:28,2457287.247,null
2015-09-21 19:41:38,2457287.321,null
2015-10-23 05:38:29,2457318.735,null
2015-11-29 06:33:59,2457355.774,null
2015-12-14 12:38:33,2457371.027,null
2016-01-26 21:17:31,2457414.387,null
2016-01-26 23:04:16,2457414.461,null
2016-02-06 03:23:45,2457424.641,null
2016-02-06 05:09:55,2457424.715,null
2016-03-18 02:06:55,2457465.588,null
2016-03-18 03:53:05,2457465.662,null
2016-04-11 19:55:53,2457490.330,null
2016-04-11 21:42:02,2457490.404,null
2016-05-13 13:33:09,2457522.065,null
2016-05-13 15:19:53,2457522.139,null
2016-06-29 02:55:21,2457568.622,null
2016-06-29 07:09:06,2457568.798,null
2016-06-29 08:55:51,2457568.872,null
2016-06-29 13:09:36,2457569.048,null
2016-07-17 01:21:03,2457586.556,null
2016-07-17 03:07:48,2457586.630,null
2016-07-17 07:21:33,2457586.807,null
2016-07-17 09:07:43,2457586.880,null
2016-09-06 08:51:31,2457637.869,null
2016-09-06 13:05:17,2457638.045,null
2016-10-05 12:58:01,2457667.040,null
2016-10-05 14:44:11,2457667.114,null
2016-11-02 08:32:14,2457694.856,null
2016-12-11 05:44:02,2457733.739,null
2016-12-11 07:30:12,2457733.813,null
2016-12-23 17:50:20,2457746.243,null
2016-12-23 19:36:30,2457746.317,null
2017-02-05 05:59:47,2457789.750,null
2017-02-17 19:27:14,2457802.311,null
2017-02-17 23:40:58,2457802.487,null
2017-03-29 04:33:40,2457841.690,null
2017-03-29 06:19:50,2457841.764,null
2017-04-26 06:03:16,2457869.752,null
2017-04-26 10:16:25,2457869.928,null
2017-05-25 17:51:36,2457899.244,null
2017-05-25 22:05:20,2457899.420,null
2017-07-15 23:31:24,2457950.480,null
2017-07-16 03:45:09,2457950.656,null
2017-07-16 05:31:19,2457950.730,null
2017-07-16 09:45:04,2457950.906,null
2017-07-16 11:31:49,2457950.980,null
2017-08-03 03:57:28,2457968.665,null
2017-08-03 05:44:13,2457968.739,null
2017-08-03 09:57:59,2457968.915,null
2017-08-03 11:44:09,2457968.989,null
2017-09-18 11:25:02,2458014.976,null
2017-09-18 15:38:13,2458015.152,null
2017-10-19 21:21:15,2458046.390,null
2017-10-19 23:08:01,2458046.464,null
2017-11-13 09:14:06,2458070.885,null
2017-12-23 20:01:51,2458111.335,null
2017-12-23 21:48:36,2458111.409,null
2018-01-03 02:08:38,2458121.589,null
2018-01-03 03:55:23,2458121.663,null
2018-02-15 12:32:23,2458165.022,null
2018-02-15 14:19:08,2458165.097,null
2018-03-03 00:36:13,2458180.525,null
2018-04-09 11:39:11,2458217.986,null
2018-04-09 13:25:56,2458218.060,null
2018-05-11 07:03:10,2458249.794,null
2018-05-11 11:16:54,2458249.970,null
2018-06-07 05:14:51,2458276.719,null
2018-06-07 07:01:35,2458276.793,null
2018-07-31 00:44:25,2458330.531,null
2018-07-31 04:58:10,2458330.707,null
2018-07-31 06:44:55,2458330.781,null
2018-08-20 17:10:10,2458351.215,null
2018-08-20 18:56:20,2458351.289,null
2018-08-20 23:10:06,2458351.465,null
2018-08-21 00:56:51,2458351.539,null
2018-09-30 10:48:29,2458391.950,null
2018-09-30 12:35:14,2458392.024,null
2018-11-02 18:07:21,2458425.255,null
2018-11-24 00:04:56,2458446.503,null
2019-01-05 02:57:16,2458488.623,null
2019-01-05 04:44:01,2458488.697,null
2019-01-13 21:03:11,2458497.377,null
2019-01-13 22:49:56,2458497.451,null
2019-02-26 01:31:34,2458540.564,null
2019-03-16 09:17:55,2458558.887,null
2019-04-21 00:45:37,2458594.532,18.74
2019-04-21 02:32:11,2458594.606,18.72
2019-05-27 00:19:40,2458630.514,null
2019-05-27 02:06:12,2458630.588,20.39

