Gaia19blt
#Date,JD(TCB),averagemag
2014-10-31 02:05:27,2456961.58712,null
2014-11-20 14:02:18,2456982.08493,null
2014-11-20 15:48:27,2456982.15865,null
2015-04-29 15:55:36,2457142.16361,null
2015-04-29 20:09:23,2457142.33985,null
2015-05-23 20:09:12,2457166.33972,null
2015-05-23 21:55:58,2457166.41387,null
2015-06-21 13:59:31,2457195.08300,null
2015-06-21 15:46:16,2457195.15713,null
2015-11-09 16:57:30,2457336.20660,null
2015-12-05 04:43:05,2457361.69659,null
2015-12-29 20:44:40,2457386.36435,null
2015-12-29 22:30:49,2457386.43807,null
2016-05-09 03:19:49,2457517.63876,null
2016-06-30 22:54:58,2457570.45484,null
2016-07-01 03:08:44,2457570.63106,null
2016-11-18 22:17:58,2457711.42914,null
2016-11-19 00:04:43,2457711.50328,null
2016-12-18 21:51:27,2457741.41073,null
2017-01-07 09:51:12,2457760.91056,null
2017-01-07 11:37:56,2457760.98468,null
2017-05-19 23:53:39,2457893.49559,null
2017-06-22 17:30:07,2457927.22925,null
2017-06-22 19:16:53,2457927.30339,null
2017-07-10 13:24:12,2457945.05847,null
2017-07-10 17:37:58,2457945.23470,null
2017-11-29 06:48:32,2458086.78370,null
2017-11-29 08:35:16,2458086.85782,null
2018-01-03 13:57:06,2458122.08132,null
2018-01-03 18:10:49,2458122.25751,null
2018-01-03 19:57:34,2458122.33164,null
2018-01-15 00:16:53,2458133.51172,null
2018-01-15 02:03:38,2458133.58586,null
2018-01-15 06:17:21,2458133.76205,null
2018-01-15 08:04:06,2458133.83618,null
2018-04-14 09:13:57,2458222.88469,null
2018-04-14 13:27:43,2458223.06091,null
2018-04-14 15:13:53,2458223.13464,null
2018-04-14 19:27:39,2458223.31087,null
2018-04-14 21:14:25,2458223.38501,null
2018-04-15 01:28:11,2458223.56124,null
2018-04-19 13:32:23,2458228.06416,null
2018-04-19 15:19:09,2458228.13830,null
2018-04-19 19:32:55,2458228.31453,null
2018-04-19 21:19:05,2458228.38825,null
2018-04-20 01:32:52,2458228.56449,null
2018-04-20 03:19:37,2458228.63862,null
2018-05-31 01:05:48,2458269.54569,null
2018-07-09 18:31:29,2458309.27186,null
2018-07-09 20:18:15,2458309.34601,null
2018-07-18 02:25:42,2458317.60118,null
2018-07-18 06:39:28,2458317.77741,null
2018-07-18 08:25:39,2458317.85115,null
2018-07-18 12:39:25,2458318.02737,null
2018-10-22 14:31:30,2458414.10521,null
2018-10-22 16:17:40,2458414.17894,null
2018-11-05 20:36:08,2458428.35843,null
2018-11-05 22:22:17,2458428.43214,null
2018-12-09 19:57:17,2458462.33145,null
2018-12-09 21:43:27,2458462.40517,null
2019-04-20 10:15:26,2458593.92738,18.67
2019-04-20 14:29:08,2458594.10356,18.65
2019-04-20 16:15:42,2458594.17757,18.65
2019-05-08 08:37:30,2458611.85938,19.72
2019-05-08 10:24:05,2458611.93339,untrusted
2019-06-10 22:03:35,2458645.41916,null
2019-06-11 02:17:22,2458645.59539,null

