Gaia19bni
#Date,JD(TCB),averagemag
2014-11-23 01:23:17,2456984.55784,null
2014-11-23 03:10:02,2456984.63197,null
2015-03-12 11:04:55,2457093.96175,null
2015-03-12 15:18:41,2457094.13797,null
2015-03-12 17:04:51,2457094.21170,null
2015-03-12 21:18:37,2457094.38793,null
2015-03-12 23:05:23,2457094.46207,null
2015-03-13 03:19:09,2457094.63830,null
2015-03-16 09:22:28,2457097.89060,null
2015-03-16 11:08:32,2457097.96426,20.92
2015-03-16 15:22:25,2457098.14057,null
2015-03-16 17:08:48,2457098.21444,21.20
2015-03-16 21:22:29,2457098.39061,21.18
2015-03-16 23:09:04,2457098.46463,21.20
2015-04-26 14:46:02,2457139.11530,null
2015-04-26 16:32:48,2457139.18944,null
2015-06-14 04:14:39,2457187.67684,null
2015-06-14 08:28:25,2457187.85307,null
2015-06-14 10:15:10,2457187.92720,null
2015-06-14 14:28:21,2457188.10302,null
2015-09-14 21:39:39,2457280.40253,null
2015-09-14 23:26:23,2457280.47666,null
2015-09-15 03:40:07,2457280.65286,null
2015-09-15 05:26:17,2457280.72659,null
2015-09-22 23:32:12,2457288.48069,null
2015-09-23 03:45:56,2457288.65690,null
2015-09-23 05:32:05,2457288.73061,null
2015-09-23 09:45:49,2457288.90682,null
2015-10-31 16:53:41,2457327.20395,null
2015-12-09 04:06:11,2457365.67096,20.87
2015-12-09 08:20:20,2457365.84745,null
2015-12-09 10:06:29,2457365.92117,null
2015-12-09 14:20:03,2457366.09726,20.98
2015-12-15 14:24:35,2457372.10041,null
2015-12-15 16:11:00,2457372.17431,untrusted
2015-12-15 20:25:04,2457372.35074,null
2015-12-15 22:11:13,2457372.42446,untrusted
2016-03-17 16:16:35,2457465.17818,20.14
2016-03-17 18:03:10,2457465.25220,20.23
2016-04-02 04:24:24,2457480.68361,20.21
2016-04-02 06:10:59,2457480.75763,untrusted
2016-05-06 15:57:37,2457515.16501,20.12
2016-09-20 22:41:48,2457652.44569,20.19
2016-09-21 00:28:22,2457652.51970,20.18
2016-10-09 12:31:16,2457671.02171,20.17
2016-10-09 16:45:15,2457671.19809,null
2016-11-10 06:01:50,2457702.75127,20.25
2017-03-26 14:30:51,2457839.10476,null
2017-03-26 18:44:37,2457839.28098,null
2017-04-17 12:46:04,2457861.03199,null
2017-05-17 12:31:45,2457891.02205,20.74
2017-09-30 13:10:55,2458027.04925,21.02
2017-09-30 14:57:42,2458027.12340,null
2017-10-24 19:03:05,2458051.29381,null
2017-10-24 20:49:49,2458051.36793,null
2017-11-20 12:45:13,2458078.03140,20.90
2017-11-20 14:31:54,2458078.10549,null
2018-04-05 13:52:49,2458214.07834,null
2018-04-05 15:39:34,2458214.15248,null
2018-05-02 13:44:46,2458241.07275,21.10
2018-05-02 15:31:23,2458241.14679,null
2018-05-28 01:43:03,2458266.57156,null
2018-05-28 03:29:13,2458266.64529,null
2018-10-10 20:19:23,2458402.34679,null
2018-11-08 13:57:35,2458431.08166,null
2018-11-30 07:51:30,2458452.82743,null
2018-11-30 09:38:15,2458452.90156,null
2019-04-16 03:03:07,2458589.62716,19.41
2019-04-16 04:49:42,2458589.70118,19.44
2019-05-18 02:44:38,2458621.61433,19.30
2019-05-18 04:31:12,2458621.68833,19.33
2019-06-06 22:38:24,2458641.44333,19.40
2019-06-07 02:52:05,2458641.61950,untrusted
2019-10-20 06:27:37,2458776.76918,19.79
2019-11-20 13:47:15,2458808.07448,20.02
2019-12-09 00:28:55,2458826.52008,20.17
2019-12-09 02:15:28,2458826.59407,20.22
2020-04-17 23:53:20,2458957.49537,20.38
2020-05-22 11:47:47,2458991.99152,20.53
2020-05-22 13:34:21,2458992.06552,20.52
2020-06-07 18:14:34,2459008.26012,null
2020-06-07 20:00:58,2459008.33400,20.35
2020-06-08 00:14:39,2459008.51017,20.39
2020-11-09 07:55:00,2459162.82986,null
2020-11-09 09:41:09,2459162.90358,20.74
2021-04-16 15:02:05,2459321.12645,20.99

