Gaia19cwe
#Date,JD(TCB),averagemag
2014-09-29 21:39:05,2456930.40214,untrusted
2014-09-29 23:25:39,2456930.47615,untrusted
2014-11-01 15:12:10,2456963.13345,18.64
2014-11-01 16:58:44,2456963.20745,untrusted
2015-01-03 20:43:23,2457026.36346,18.76
2015-02-09 14:20:18,2457063.09743,null
2015-03-12 14:02:37,2457094.08515,18.79
2015-03-12 15:49:11,2457094.15916,18.79
2015-04-09 19:49:34,2457122.32609,null
2015-05-17 12:59:26,2457160.04127,18.66
2015-05-17 14:46:01,2457160.11529,18.67
2015-06-07 06:59:42,2457180.79146,null
2015-06-07 08:45:52,2457180.86519,null
2015-07-18 11:50:06,2457221.99313,untrusted
2015-07-18 13:36:41,2457222.06714,18.54
2015-08-08 05:49:31,2457242.74272,null
2015-08-08 07:35:41,2457242.81645,null
2015-09-15 10:55:57,2457280.95552,null
2015-09-15 12:42:02,2457281.02919,18.48
2015-10-13 16:39:44,2457309.19426,null
2015-10-13 18:26:29,2457309.26839,null
2015-12-20 17:40:27,2457377.23642,18.50
2015-12-20 21:54:07,2457377.41258,18.53
2016-01-17 09:50:15,2457404.90990,18.50
2016-01-17 11:36:50,2457404.98391,18.52
2016-02-21 21:27:46,2457440.39428,18.54
2016-03-25 04:51:03,2457472.70212,18.61
2016-04-20 16:41:30,2457499.19549,null
2016-05-29 13:58:39,2457538.08240,18.69
2016-05-29 15:45:13,2457538.15640,18.69
2016-06-18 13:59:39,2457558.08309,18.67
2016-08-20 12:47:38,2457621.03308,18.85
2016-08-20 14:34:12,2457621.10708,18.69
2016-09-26 12:00:15,2457658.00017,18.78
2016-10-26 13:27:42,2457688.06090,18.87
2016-11-25 17:26:41,2457718.22686,18.78
2017-01-02 06:47:59,2457755.78332,18.78
2017-01-02 11:01:39,2457755.95948,18.77
2017-01-30 06:43:00,2457783.77986,18.76
2017-03-04 23:58:24,2457817.49889,null
2017-03-05 01:44:29,2457817.57256,18.74
2017-04-07 19:14:44,2457851.30190,18.74
2017-05-02 13:07:48,2457876.04708,18.66
2017-05-02 17:21:28,2457876.22324,18.69
2017-06-11 10:20:15,2457915.93073,18.60
2017-06-11 12:06:49,2457916.00473,18.58
2017-06-30 22:21:37,2457935.43168,18.56
2017-07-01 00:08:12,2457935.50569,18.54
2017-08-10 15:14:35,2457976.13513,18.56
2017-08-10 17:01:09,2457976.20913,18.55
2017-09-02 22:55:22,2457999.45512,18.66
2017-10-08 14:28:14,2458035.10294,18.66
2017-11-09 09:52:55,2458066.91175,18.73
2017-11-09 14:06:34,2458067.08789,18.69
2017-12-08 13:56:50,2458096.08113,18.70
2018-01-15 09:18:25,2458133.88779,18.62
2018-01-15 13:32:06,2458134.06396,18.62
2018-02-13 07:24:19,2458162.80855,18.57
2018-03-17 02:51:46,2458194.61928,18.53
2018-04-21 06:28:42,2458229.76993,18.56
2018-04-21 08:15:16,2458229.84394,18.54
2018-05-14 12:24:47,2458253.01721,null
2018-05-14 14:11:09,2458253.09108,18.58
2018-06-24 05:19:33,2458293.72191,18.55
2018-07-13 13:07:05,2458313.04659,18.48
2018-08-22 16:16:54,2458353.17840,18.46
2018-08-22 18:03:28,2458353.25241,18.47
2018-09-16 11:54:29,2458377.99617,18.48
2018-10-20 15:34:13,2458412.14876,18.39
2018-10-20 17:20:47,2458412.22277,18.41
2018-11-23 10:57:07,2458445.95633,18.37
2018-12-21 15:04:27,2458474.12809,18.32
2018-12-21 16:51:01,2458474.20209,18.31
2019-01-28 04:26:35,2458511.68513,18.26
2019-01-28 08:40:16,2458511.86130,18.27
2019-02-27 02:28:19,2458541.60300,18.28
2019-02-27 04:14:53,2458541.67700,18.26
2019-03-29 02:11:59,2458571.59166,18.22
2019-03-29 03:58:33,2458571.66566,18.22
2019-05-04 15:15:08,2458608.13551,18.19
2019-05-26 13:26:51,2458630.06031,18.16
2019-07-06 12:18:51,2458671.01309,18.15
2019-07-06 14:05:25,2458671.08709,18.13
2019-08-01 08:34:59,2458696.85763,18.16
2019-08-01 10:21:33,2458696.93163,18.12
2019-09-01 21:45:24,2458728.40653,null
2019-10-02 10:58:47,2458758.95749,17.96
2019-10-02 12:45:21,2458759.03149,18.10
2019-11-07 12:51:34,2458795.03581,18.15
2019-11-28 07:33:39,2458815.81503,18.23
2019-11-28 09:20:13,2458815.88904,18.23
2020-01-05 21:57:15,2458854.41476,18.36
2020-01-05 23:43:49,2458854.48876,18.35
2020-03-01 20:31:17,2458910.35506,18.36
2020-03-27 21:33:47,2458936.39846,18.36
2020-04-29 23:02:31,2458969.46008,18.41
2020-06-06 04:49:52,2459006.70130,18.49
2020-06-06 06:36:42,2459006.77549,null
2020-07-05 13:34:30,2459036.06563,18.58
2020-07-05 17:48:10,2459036.24178,18.58
2020-09-17 05:52:24,2459109.74472,18.54
2020-10-21 09:32:53,2459143.89784,18.57
2020-11-24 04:55:31,2459177.70522,18.53
2020-11-24 09:09:10,2459177.88137,18.58
2020-12-22 09:03:09,2459205.87719,18.60
2020-12-22 10:49:43,2459205.95119,18.62
2021-01-28 20:38:50,2459243.36030,18.58
2021-01-28 22:25:26,2459243.43433,null
2021-02-27 20:26:35,2459273.35179,18.52
2021-02-27 22:13:09,2459273.42580,18.53
2021-03-29 15:57:01,2459303.16459,18.51
2021-03-29 20:10:42,2459303.34076,18.48
2021-05-05 07:26:31,2459339.81008,untrusted
2021-05-05 09:13:06,2459339.88410,18.50

