Gaia19cxl
#Date,JD(TCB),averagemag
2014-09-28 08:45:37,2456928.86501,untrusted
2014-11-05 23:57:52,2456967.49852,18.97
2014-11-30 11:49:26,2456991.99266,untrusted
2014-11-30 13:36:01,2456992.06668,18.81
2015-01-01 23:21:27,2457024.47323,18.71
2015-01-02 01:08:01,2457024.54723,18.68
2015-02-05 10:59:33,2457058.95802,18.69
2015-03-05 04:56:20,2457086.70579,18.58
2015-03-05 06:42:54,2457086.77979,18.59
2015-04-12 22:32:02,2457125.43891,null
2015-04-13 00:18:46,2457125.51303,null
2015-05-14 06:03:22,2457156.75234,18.48
2015-06-13 15:59:38,2457187.16641,18.44
2015-06-13 17:46:12,2457187.24042,18.47
2015-07-21 15:10:07,2457225.13203,null
2015-07-21 16:56:52,2457225.20616,null
2015-08-11 21:08:09,2457246.38066,null
2015-08-11 22:54:54,2457246.45479,null
2015-09-21 15:43:54,2457287.15549,null
2015-11-17 13:02:20,2457344.04329,null
2015-12-13 18:50:28,2457370.28505,18.51
2015-12-13 20:37:02,2457370.35905,18.50
2016-01-14 02:15:51,2457401.59434,18.59
2016-02-19 06:06:10,2457437.75428,18.71
2016-02-19 07:52:45,2457437.82830,18.69
2016-03-18 01:50:46,2457465.57692,null
2016-03-18 06:04:31,2457465.75314,null
2016-04-24 19:26:08,2457503.30981,18.70
2016-05-27 13:04:53,2457536.04506,18.66
2016-06-24 23:04:37,2457564.46154,null
2016-08-02 22:08:29,2457603.42256,null
2016-08-02 23:54:59,2457603.49652,18.64
2016-08-22 22:08:21,2457623.42247,null
2016-08-22 23:55:06,2457623.49660,null
2016-10-02 10:43:53,2457663.94714,18.53
2016-10-02 14:57:33,2457664.12330,untrusted
2016-10-22 16:43:06,2457684.19660,18.51
2016-11-28 02:07:26,2457720.58850,18.45
2016-12-26 07:52:32,2457748.82815,18.39
2017-01-25 09:24:01,2457778.89168,untrusted
2017-03-04 02:36:17,2457816.60853,18.52
2017-03-04 04:22:51,2457816.68253,18.49
2017-04-01 08:33:17,2457844.85645,18.65
2017-04-01 10:19:51,2457844.93045,18.57
2017-05-07 14:09:35,2457881.08999,18.58
2017-05-07 15:56:09,2457881.16399,18.61
2017-06-10 15:27:51,2457915.14434,18.60
2017-07-07 01:30:52,2457941.56310,18.55
2017-07-07 03:17:26,2457941.63711,18.60
2017-08-15 20:16:10,2457981.34456,null
2017-09-04 00:30:12,2458000.52097,18.80
2017-09-04 02:16:46,2458000.59498,18.79
2017-10-14 05:21:08,2458040.72301,18.80
2017-12-09 16:36:00,2458097.19167,18.79
2017-12-09 18:22:34,2458097.26567,18.78
2018-01-08 22:18:09,2458127.42927,18.85
2018-01-09 00:04:43,2458127.50328,18.85
2018-02-06 23:54:54,2458156.49646,18.96
2018-03-17 21:44:30,2458195.40590,19.13
2018-03-17 23:31:04,2458195.47991,19.18
2018-04-15 17:25:42,2458224.22618,null
2018-05-20 03:16:27,2458258.63642,19.28
2018-05-20 05:03:01,2458258.71043,19.30
2018-06-24 14:41:01,2458294.11182,19.20
2018-06-24 16:27:35,2458294.18582,19.21
2018-07-19 02:33:48,2458318.60681,19.24
2018-07-19 04:20:22,2458318.68081,19.26
2018-08-28 13:27:45,2458359.06094,19.09
2018-08-28 15:14:19,2458359.13494,19.09
2018-09-16 07:29:12,2458377.81194,19.13
2018-09-16 09:15:43,2458377.88591,null
2018-10-25 18:23:19,2458417.26619,19.29
2018-11-17 14:04:21,2458440.08635,19.19
2018-12-21 11:43:23,2458473.98846,null
2019-01-22 17:22:32,2458506.22398,19.13
2019-01-22 19:09:06,2458506.29799,19.07
2019-02-19 23:16:47,2458534.46999,19.09
2019-02-20 01:03:21,2458534.54399,19.14
2019-03-31 04:52:37,2458573.70321,19.22
2019-03-31 06:39:11,2458573.77721,19.19
2019-04-30 04:42:54,2458603.69646,19.38
2019-04-30 06:29:28,2458603.77046,19.34
2019-07-08 09:40:07,2458672.90286,19.54
2019-07-08 11:26:41,2458672.97686,19.50
2019-07-26 13:28:36,2458691.06153,19.47
2019-07-26 17:42:16,2458691.23769,19.45
2019-08-25 12:42:45,2458721.02969,19.38
2019-08-25 14:29:19,2458721.10369,19.30
2019-10-04 14:22:10,2458761.09873,19.26
2019-10-04 16:08:44,2458761.17273,19.28
2019-11-03 05:15:21,2458790.71899,19.43
2019-12-04 04:48:47,2458821.70054,19.44
2020-01-07 18:39:37,2458856.27751,19.58
2020-01-28 21:12:03,2458877.38337,null
2020-01-29 01:25:21,2458877.55927,19.54
2020-03-07 21:50:13,2458916.40987,19.52
2020-03-26 06:10:43,2458934.75744,19.51
2020-03-26 10:24:23,2458934.93360,19.59
2020-05-04 06:38:43,2458973.77689,19.35
2020-05-04 08:25:17,2458973.85089,19.37
