Gaia19duk
#Date,JD(TCB),averagemag
2014-07-25 10:01:33,2456863.91774,17.98
2014-07-25 16:01:47,2456864.16791,18.03
2014-07-25 17:48:21,2456864.24191,18.19
2014-07-25 22:02:01,2456864.41807,18.23
2014-07-25 23:48:35,2456864.49207,18.17
2014-07-26 04:02:14,2456864.66822,18.32
2014-07-26 05:48:48,2456864.74222,18.30
2014-07-26 10:02:28,2456864.91838,18.50
2014-07-26 11:49:02,2456864.99238,18.54
2014-07-26 16:02:41,2456865.16853,18.54
2014-07-26 17:49:15,2456865.24253,18.66
2014-07-26 22:02:55,2456865.41869,untrusted
2014-07-26 23:49:29,2456865.49270,18.84
2014-09-28 01:00:07,2456928.54175,untrusted
2014-09-28 02:46:42,2456928.61576,untrusted
2014-11-06 01:42:16,2456967.57102,18.64
2014-11-06 05:55:56,2456967.74718,18.98
2014-11-29 23:48:33,2456991.49205,19.06
2014-11-30 01:35:07,2456991.56605,19.28
2015-01-01 17:19:29,2457024.22186,18.89
2015-01-01 19:06:04,2457024.29588,19.00
2015-02-05 04:57:28,2457058.70657,18.87
2015-02-05 06:44:02,2457058.78058,18.61
2015-03-04 10:56:33,2457085.95594,null
2015-03-04 12:42:43,2457086.02966,null
2015-04-13 10:31:28,2457125.93852,18.49
2015-04-13 12:18:03,2457126.01253,18.82
2015-05-14 04:19:04,2457156.67991,18.83
2015-05-14 06:05:37,2457156.75390,18.86
2015-06-14 04:00:52,2457187.66727,18.74
2015-06-14 05:47:26,2457187.74127,18.67
2015-07-22 03:12:13,2457225.63348,null
2015-08-11 22:56:31,2457246.45591,null
2015-09-22 03:43:29,2457287.65520,null
2015-10-10 13:58:26,2457306.08225,18.34
2015-10-10 15:45:00,2457306.15625,18.35
2015-11-17 12:59:57,2457344.04163,17.80
2015-11-17 14:46:31,2457344.11564,17.75
2015-12-13 06:49:12,2457369.78417,16.81
2015-12-13 08:35:46,2457369.85817,16.79
2016-01-13 14:13:58,2457401.09303,null
2016-01-13 18:27:37,2457401.26918,18.53
2016-02-19 06:04:18,2457437.75299,19.15
2016-02-19 07:50:53,2457437.82700,18.93
2016-03-17 07:50:44,2457464.82690,17.94
2016-03-17 12:04:24,2457465.00306,17.96
2016-04-25 11:39:53,2457503.98603,null
2016-05-27 13:07:07,2457536.04661,18.66
2016-05-27 17:20:46,2457536.22275,18.64
2016-06-25 06:52:30,2457564.78646,null
2016-08-03 10:09:57,2457603.92358,null
2016-08-22 22:10:30,2457623.42396,null
2016-08-22 23:56:40,2457623.49769,null
2016-10-02 22:42:57,2457664.44649,18.72
2016-11-28 02:05:12,2457720.58694,19.11
2016-12-25 19:51:08,2457748.32718,null
2016-12-25 21:37:30,2457748.40104,19.39
2017-01-24 21:22:29,2457778.39061,untrusted
2017-03-04 08:34:47,2457816.85749,16.76
2017-03-04 10:21:21,2457816.93149,16.77
2017-03-31 16:20:38,2457844.18100,16.70
2017-03-31 20:34:17,2457844.35714,16.69
2017-05-08 02:09:51,2457881.59017,19.04
2017-05-08 03:56:25,2457881.66418,19.29
2017-06-10 19:43:36,2457915.32194,18.92
2017-06-10 21:30:10,2457915.39595,19.16
2017-07-07 09:19:01,2457941.88821,16.85
2017-08-16 08:17:00,2457981.84514,null
2017-08-16 12:30:16,2457982.02102,16.95
2017-10-14 11:19:37,2458040.97196,19.60
2017-10-14 13:06:11,2458041.04596,19.59
2017-11-04 05:18:14,2458061.72100,19.64
2017-12-09 12:20:43,2458097.01439,null
2018-01-08 10:16:13,2458126.92793,19.41
2018-01-08 12:02:47,2458127.00193,19.33
2018-02-06 10:07:13,2458155.92168,19.25
2018-02-06 11:54:10,2458155.99595,null
2018-03-18 03:43:14,2458195.65502,19.45
2018-03-18 05:29:48,2458195.72903,untrusted
2018-04-15 05:26:41,2458223.72686,17.32
2018-04-15 09:40:21,2458223.90302,16.97
2018-05-20 15:17:03,2458259.13684,19.27
2018-05-20 17:03:37,2458259.21084,19.31
2018-06-24 20:43:31,2458294.36355,null
2018-06-24 22:29:41,2458294.43728,19.65
2018-07-19 08:35:38,2458318.85808,17.73
2018-07-19 10:22:11,2458318.93207,17.75
2018-08-29 01:28:10,2458359.56123,19.53
2018-08-29 03:14:44,2458359.63523,19.62
2018-09-16 01:30:32,2458377.56287,19.62
2018-09-16 03:17:06,2458377.63688,19.79
2018-10-26 00:21:32,2458417.51495,19.52
2018-12-21 05:40:40,2458473.73657,19.51
2019-01-22 11:20:35,2458505.97263,18.71
2019-01-22 13:07:41,2458506.04700,null
2019-02-19 07:02:29,2458533.79339,17.53
2019-02-19 11:16:10,2458533.96956,17.61
2019-03-31 16:51:53,2458574.20270,19.16
2019-03-31 18:38:27,2458574.27670,18.97
2019-04-29 22:44:49,2458603.44779,19.37
2019-04-30 00:31:23,2458603.52179,19.37
2019-06-02 04:23:45,2458636.68316,19.35
2019-07-08 17:28:29,2458673.22811,untrusted
2019-07-26 07:30:05,2458690.81256,18.75
2019-08-24 18:42:09,2458720.27927,16.52
2019-08-24 20:28:43,2458720.35328,16.54
2019-10-05 02:23:49,2458761.59987,17.95
2019-10-05 04:10:24,2458761.67389,18.00
2019-12-04 12:35:06,2458822.02438,19.71
2019-12-04 16:48:47,2458822.20054,19.72
2020-01-08 00:38:18,2458856.52660,19.31
2020-01-08 02:24:52,2458856.60060,19.23
2020-01-29 03:10:08,2458877.63204,19.13
2020-03-08 09:51:43,2458916.91091,null
2020-03-08 11:37:50,2458916.98461,19.65
2020-03-26 00:09:11,2458934.50638,16.32
2020-05-04 12:41:08,2458974.02856,19.23
2020-05-04 14:27:42,2458974.10257,untrusted
2020-05-29 15:21:42,2458999.14007,16.60
2020-07-03 09:07:32,2459033.88023,19.41
2020-07-03 10:54:06,2459033.95424,19.60
2020-08-29 19:26:05,2459091.30978,18.41
2020-09-16 15:14:49,2459109.13529,16.75
2020-10-26 12:19:41,2459149.01367,18.78
2020-10-26 14:06:16,2459149.08769,18.87
2020-11-17 20:01:49,2459171.33459,18.94
2020-12-21 17:39:14,2459205.23558,19.56
2020-12-21 19:25:49,2459205.30959,19.43
2021-01-23 05:19:00,2459237.72153,18.91
2021-01-23 07:05:34,2459237.79553,18.85
2021-02-20 01:01:19,2459265.54258,19.23
2021-02-20 05:15:00,2459265.71875,19.13
2021-04-01 10:50:41,2459305.95186,19.64
2021-04-30 18:29:37,2459335.27057,19.44

