Gaia19dxz
#Date,JD(TCB),averagemag
2014-10-22 02:35:25,2456952.60793,untrusted
2014-10-22 04:21:58,2456952.68192,untrusted
2015-02-24 02:45:14,2457077.61475,19.11
2015-02-24 04:31:48,2457077.68875,18.96
2015-03-18 14:48:13,2457100.11682,19.01
2015-03-18 16:34:48,2457100.19083,18.98
2015-04-17 02:33:52,2457129.60685,18.00
2015-09-10 10:10:41,2457275.92409,18.73
2015-09-10 11:57:15,2457275.99809,18.74
2015-10-05 11:45:31,2457300.98994,19.05
2015-11-01 17:30:35,2457328.22957,18.98
2016-03-05 05:42:13,2457452.73765,18.91
2016-03-05 09:55:54,2457452.91382,18.90
2016-04-26 15:43:09,2457505.15497,null
2016-09-19 23:17:05,2457651.47020,18.70
2016-09-20 01:03:39,2457651.54420,18.78
2016-10-19 12:41:11,2457681.02860,18.98
2016-11-10 22:52:23,2457703.45304,19.02
2016-11-11 00:38:57,2457703.52705,19.13
2017-03-15 20:15:59,2457828.34443,19.14
2017-03-16 00:29:41,2457828.52061,18.96
2017-05-06 18:12:17,2457880.25853,19.05
2017-08-15 08:37:10,2457980.85914,19.07
2017-08-15 10:23:43,2457980.93314,19.10
2017-08-15 14:37:34,2457981.10942,null
2017-08-15 16:24:19,2457981.18355,null
2017-08-15 20:37:35,2457981.35943,19.00
2017-08-15 22:24:12,2457981.43347,null
2017-08-19 04:26:54,2457984.68535,null
2017-08-19 08:40:38,2457984.86155,null
2017-08-19 10:27:23,2457984.93568,null
2017-08-19 14:41:07,2457985.11189,null
2017-08-19 16:27:17,2457985.18561,null
2017-08-19 20:40:51,2457985.36170,18.71
2017-09-30 19:47:12,2458027.32444,18.90
2017-11-04 07:15:09,2458061.80219,untrusted
2017-11-04 09:01:58,2458061.87637,null
2017-11-19 19:21:26,2458077.30655,18.98
2017-11-19 21:08:00,2458077.38056,18.96
2017-11-20 01:21:43,2458077.55675,null
2018-03-26 15:27:24,2458204.14403,17.94
2018-03-26 19:41:06,2458204.32021,17.99
2018-05-01 13:07:32,2458240.04690,19.17
2018-05-01 14:54:07,2458240.12091,19.14
2018-05-15 21:02:08,2458254.37648,19.15
2018-05-16 01:15:49,2458254.55265,19.04
2018-08-22 03:32:52,2458352.64782,18.96
2018-08-22 05:19:26,2458352.72183,19.15
2018-08-22 09:33:05,2458352.89797,untrusted
2018-09-05 17:24:24,2458367.22528,18.73
2018-09-05 21:38:03,2458367.40142,untrusted
2018-10-11 14:55:24,2458403.12181,19.20
2018-10-11 16:41:58,2458403.19581,18.94
2019-02-15 09:05:19,2458529.87869,null
2019-02-15 10:51:57,2458529.95274,19.00
2019-02-15 15:05:38,2458530.12891,18.90
2019-03-03 03:15:03,2458545.63545,18.94
2019-03-03 05:01:38,2458545.70947,18.93
2019-04-06 14:52:09,2458580.11955,18.95
2019-05-18 14:08:22,2458622.08914,18.75
2019-05-18 15:54:57,2458622.16316,18.87
2019-05-18 20:08:38,2458622.33933,19.03
2019-05-18 21:55:43,2458622.41369,null
2019-05-19 02:08:54,2458622.58951,18.86
2019-05-19 03:55:28,2458622.66352,19.02
2019-05-19 09:55:44,2458622.91370,18.84
2019-05-22 03:58:28,2458625.66560,19.06
2019-05-22 08:12:09,2458625.84177,18.91
2019-05-22 09:58:44,2458625.91579,18.98
2019-05-22 14:12:25,2458626.09196,18.94
2019-05-22 15:58:59,2458626.16596,18.90
2019-05-22 20:12:40,2458626.34213,18.99
2019-05-22 21:59:15,2458626.41615,untrusted
2019-08-20 08:44:45,2458715.86441,19.01
2019-08-20 10:31:19,2458715.93841,19.10
2019-09-06 04:53:11,2458732.70360,17.76
2019-09-06 09:06:50,2458732.87975,17.76
2019-10-10 18:20:35,2458767.26429,null
2019-11-21 14:24:57,2458809.10066,19.04
2019-11-21 18:38:36,2458809.27681,18.99
2019-11-21 20:25:10,2458809.35081,19.14
2019-11-22 00:38:49,2458809.52696,19.00
2019-11-22 02:25:22,2458809.60095,19.05
2019-11-22 06:39:02,2458809.77711,19.10
2019-11-22 08:25:35,2458809.85110,19.15
2019-11-22 12:39:14,2458810.02725,19.10
2019-11-22 14:25:48,2458810.10125,19.04
2019-11-22 18:39:41,2458810.27756,null
2019-11-22 20:26:01,2458810.35140,19.13
2019-11-23 00:39:40,2458810.52755,19.10
2019-11-23 02:26:14,2458810.60155,18.91
2019-11-23 06:39:53,2458810.77770,19.04
2019-11-23 08:26:27,2458810.85170,19.15
2019-11-23 12:40:06,2458811.02785,19.10
2019-11-23 14:26:40,2458811.10185,19.05
2019-11-23 18:40:19,2458811.27800,18.93
2019-11-23 20:26:52,2458811.35199,19.10
2019-11-24 02:27:05,2458811.60214,18.91
2020-02-27 15:10:32,2458907.13231,19.10
2020-02-27 19:24:41,2458907.30881,null
2020-03-18 20:05:12,2458927.33694,18.81
2020-03-18 21:51:47,2458927.41096,18.84
2020-04-19 03:32:17,2458958.64742,18.96
2020-08-22 15:30:58,2459084.14650,18.86
2020-08-22 17:17:32,2459084.22051,18.79
2020-09-06 17:21:59,2459099.22360,19.05
2020-09-06 21:35:38,2459099.39975,18.88
2020-10-12 02:54:10,2459134.62095,18.33
2020-10-12 04:40:43,2459134.69494,18.30
2021-02-15 15:03:59,2459261.12777,19.01
2021-02-15 16:50:34,2459261.20178,19.07
2021-02-15 21:04:15,2459261.37795,19.10
2021-03-04 03:13:20,2459277.63426,18.11
2021-03-04 04:59:55,2459277.70828,18.07
2021-04-07 02:51:07,2459311.61883,19.13
2021-05-20 08:07:14,2459354.83836,19.13
2021-05-20 14:07:30,2459355.08854,19.05
2021-05-20 20:07:46,2459355.33873,19.16
2021-05-20 21:54:21,2459355.41274,19.00
2021-05-21 02:08:02,2459355.58891,19.11
2021-05-21 03:54:37,2459355.66293,19.19
2021-05-21 08:08:18,2459355.83910,19.08
2021-05-21 09:54:52,2459355.91310,19.07

