Gaia19eci
#Date,JD(TCB),averagemag
2014-12-31 06:41:05,2457022.77853,null
2014-12-31 08:27:50,2457022.85266,null
2014-12-31 12:41:34,2457023.02887,null
2014-12-31 14:28:18,2457023.10299,null
2014-12-31 20:28:12,2457023.35292,null
2015-01-10 02:34:43,2457032.60744,null
2015-01-10 06:48:26,2457032.78363,null
2015-01-10 08:34:36,2457032.85736,null
2015-03-25 19:09:35,2457107.29832,null
2015-03-25 23:23:19,2457107.47453,null
2015-03-26 01:09:29,2457107.54825,null
2015-04-05 11:28:39,2457117.97823,null
2015-04-05 13:15:24,2457118.05236,null
2015-04-05 17:29:08,2457118.22856,null
2015-04-05 19:15:52,2457118.30269,null
2015-07-12 15:35:31,2457216.14966,null
2015-07-12 19:49:17,2457216.32589,null
2015-07-30 13:55:18,2457234.08007,null
2015-07-30 15:42:03,2457234.15420,null
2015-09-03 01:29:03,2457268.56184,null
2016-01-07 19:45:50,2457395.32350,null
2016-01-07 21:32:35,2457395.39763,null
2016-01-27 01:48:53,2457414.57561,null
2016-01-27 03:35:02,2457414.64933,null
2016-02-27 07:20:17,2457445.80575,null
2016-02-27 09:07:02,2457445.87988,null
2016-07-21 14:54:26,2457591.12113,null
2016-07-21 16:41:11,2457591.19527,null
2016-08-13 20:54:15,2457614.37101,null
2016-09-12 22:27:21,2457644.43566,null
2016-09-13 02:41:07,2457644.61189,null
2017-01-16 10:39:51,2457769.94434,null
2017-02-09 23:54:18,2457794.49604,null
2017-03-08 15:49:48,2457821.15958,null
2017-03-08 17:36:32,2457821.23370,null
2017-08-01 05:25:16,2457966.72588,null
2017-08-28 23:16:10,2457994.46956,null
2017-08-29 01:02:55,2457994.54369,null
2017-09-23 17:14:52,2458020.21866,null
2017-09-23 19:01:03,2458020.29240,null
2018-01-26 17:24:29,2458145.22534,null
2018-01-26 19:11:13,2458145.29946,null
2018-03-18 18:41:40,2458196.27894,null
2018-08-12 00:35:04,2458342.52435,null
2018-08-12 02:21:49,2458342.59848,null
2018-09-13 12:17:24,2458375.01208,null
2018-09-13 14:03:34,2458375.08581,null
2018-10-03 14:10:49,2458395.09084,null
2018-10-03 18:24:35,2458395.26707,null
2018-10-03 20:11:21,2458395.34122,null
2019-02-06 06:33:23,2458520.77318,null
2019-02-06 08:19:33,2458520.84691,null
2019-03-10 23:56:29,2458553.49756,null
2019-03-11 01:43:14,2458553.57169,null
2019-03-28 11:58:31,2458570.99897,null
2019-07-04 04:03:19,2458668.66897,null
2019-07-04 08:16:30,2458668.84479,null
2019-07-04 10:03:16,2458668.91894,null
2019-07-15 02:25:04,2458679.60074,null
2019-07-15 04:11:49,2458679.67487,null
2019-08-10 22:59:48,2458706.45819,18.44
2019-09-14 06:41:02,2458740.77850,19.07
2019-09-14 08:27:37,2458740.85251,18.99
2019-10-01 13:11:27,2458758.04962,19.24
2019-10-01 14:58:02,2458758.12363,19.30

