Gaia19edg
#Date,JD(TCB),averagemag
2015-02-25 17:05:29,2457079.21214,null
2015-03-25 21:06:21,2457107.37941,null
2015-03-25 22:53:06,2457107.45354,null
2015-04-17 16:53:51,2457130.20406,null
2015-04-17 21:07:37,2457130.38029,null
2015-09-02 21:52:09,2457268.41122,null
2015-09-02 23:38:53,2457268.48534,null
2015-10-03 23:11:54,2457299.46660,null
2015-10-23 21:24:39,2457319.39212,null
2015-10-23 23:11:24,2457319.46625,null
2016-03-07 04:29:50,2457454.68738,null
2016-04-09 10:06:32,2457487.92120,null
2016-04-09 11:52:43,2457487.99494,null
2016-04-25 18:01:32,2457504.25106,null
2016-04-25 22:15:18,2457504.42729,null
2016-04-26 00:01:28,2457504.50102,null
2016-09-12 17:00:49,2457644.20890,null
2016-09-12 18:47:33,2457644.28302,null
2016-10-18 12:07:57,2457680.00552,null
2016-10-18 16:21:41,2457680.18172,null
2016-10-31 04:27:10,2457692.68553,null
2016-10-31 06:13:54,2457692.75965,null
2017-01-30 12:07:14,2457784.00502,null
2017-01-30 13:53:25,2457784.07876,null
2017-01-30 18:07:11,2457784.25499,null
2017-02-08 12:14:34,2457793.01012,null
2017-02-08 14:01:19,2457793.08425,null
2017-03-17 19:03:49,2457830.29432,null
2017-04-29 06:35:22,2457872.77456,null
2017-04-29 12:35:54,2457873.02493,null
2017-04-29 18:35:50,2457873.27488,null
2017-04-30 00:36:22,2457873.52525,null
2017-04-30 06:36:18,2457873.77521,null
2017-08-04 20:01:15,2457970.33420,null
2017-08-04 21:47:59,2457970.40832,null
2017-08-18 14:07:55,2457984.08883,null
2017-08-18 15:54:39,2457984.16295,null
2017-09-23 13:32:16,2458020.06407,null
2017-09-23 15:18:26,2458020.13780,null
2018-02-06 20:31:40,2458156.35532,null
2018-02-06 22:17:51,2458156.42906,null
2018-03-28 08:14:58,2458205.84373,null
2018-03-28 10:01:43,2458205.91786,null
2018-08-13 09:05:24,2458343.87875,null
2018-08-13 10:52:08,2458343.95287,null
2018-09-03 21:04:46,2458365.37831,null
2018-09-03 22:51:31,2458365.45244,null
2018-10-04 04:26:38,2458395.68516,null
2019-02-15 23:25:00,2458530.47569,null
2019-02-16 03:38:47,2458530.65193,null
2019-03-11 09:36:34,2458553.90039,null
2019-04-07 21:26:03,2458581.39309,null
2019-04-07 23:12:49,2458581.46723,null
2019-08-21 02:13:12,2458716.59250,19.10
2019-08-21 03:59:46,2458716.66650,18.99
2019-09-14 15:01:32,2458741.12606,17.64

