Gaia19fcj
#Date,JD(TCB),averagemag
2014-11-23 07:53:41,2456984.82895,null
2014-11-23 09:39:58,2456984.90275,19.19
2015-04-26 04:01:45,2457138.66788,null
2015-04-26 08:15:31,2457138.84411,null
2015-05-26 02:02:42,2457168.58521,null
2015-06-17 21:50:06,2457191.40979,null
2015-11-07 09:18:00,2457333.88750,null
2015-12-08 04:35:08,2457364.69106,19.25
2015-12-26 16:36:57,2457383.19233,untrusted
2015-12-26 20:50:36,2457383.36847,19.30
2015-12-26 22:37:10,2457383.44248,19.27
2016-05-06 03:26:53,2457514.64367,19.26
2016-06-09 15:01:24,2457549.12597,19.28
2016-06-09 16:47:58,2457549.19998,19.28
2016-06-26 09:09:44,2457565.88176,null
2016-06-26 10:55:54,2457565.95549,null
2016-10-02 11:09:01,2457663.96459,19.28
2016-10-02 12:55:35,2457664.03860,19.25
2016-10-02 17:09:14,2457664.21475,19.29
2016-10-02 18:55:48,2457664.28875,19.20
2016-10-08 00:59:46,2457669.54150,19.26
2016-10-08 05:13:51,2457669.71795,null
2016-10-08 06:59:59,2457669.79166,19.25
2016-10-08 11:13:38,2457669.96780,19.32
2016-11-16 18:11:56,2457709.25829,19.29
2016-12-23 15:47:08,2457746.15773,19.36
2016-12-23 17:33:41,2457746.23172,19.38
2016-12-23 21:47:20,2457746.40787,19.34
2017-01-01 15:53:08,2457755.16190,19.34
2017-01-01 17:39:41,2457755.23589,19.28
2017-01-01 21:53:20,2457755.41204,19.38
2017-01-01 23:39:54,2457755.48604,19.29
2017-03-30 06:19:55,2457842.76383,19.25
2017-03-30 08:06:30,2457842.83785,19.25
2017-03-30 12:20:11,2457843.01402,19.26
2017-03-30 14:06:45,2457843.08802,19.25
2017-03-30 18:20:26,2457843.26419,19.25
2017-04-08 00:27:55,2457851.51939,19.16
2017-04-08 02:14:29,2457851.59339,19.19
2017-04-08 06:28:10,2457851.76956,19.21
2017-04-08 08:14:45,2457851.84358,19.19
2017-05-17 01:47:36,2457890.57472,19.16
2017-06-26 17:25:49,2457931.22626,null
2017-06-26 19:11:59,2457931.29999,null
2017-06-26 23:25:45,2457931.47622,null
2017-06-27 01:12:08,2457931.55009,19.13
2017-07-03 07:18:02,2457937.80419,19.12
2017-07-03 11:31:43,2457937.98036,19.12
2017-07-03 13:18:17,2457938.05436,19.15
2017-07-03 17:31:58,2457938.23053,19.16
2017-07-03 19:18:33,2457938.30455,19.11
2017-10-09 03:15:54,2458035.63604,19.08
2017-10-09 07:29:33,2458035.81219,19.12
2017-10-25 01:33:09,2458051.56469,19.14
2017-10-25 03:19:42,2458051.63868,19.16
2017-11-27 06:56:19,2458084.78911,19.15
2017-11-27 08:42:53,2458084.86311,untrusted
2018-04-06 09:10:29,2458214.88228,19.32
2018-04-06 13:24:10,2458215.05845,untrusted
2018-04-25 13:31:42,2458234.06368,19.31
2018-05-28 01:12:33,2458266.55038,null
2018-05-28 02:59:19,2458266.62453,null
2018-10-18 08:32:54,2458409.85618,19.27
2018-10-18 10:19:28,2458409.93019,19.23
2018-11-09 02:27:49,2458431.60265,19.17
2019-04-16 02:33:03,2458589.60628,18.96
2019-04-16 04:19:38,2458589.68030,19.00
2019-05-11 02:31:42,2458614.60535,19.01
2019-06-07 20:23:04,2458642.34935,19.02
2019-06-07 22:09:38,2458642.42336,18.95
2019-10-20 05:11:09,2458776.71608,18.81
2019-10-20 06:57:42,2458776.79007,18.81
2019-11-13 18:00:35,2458801.25041,18.78
2019-11-13 19:47:09,2458801.32441,18.73
2019-12-09 18:59:15,2458827.29115,18.71
2019-12-09 20:45:49,2458827.36515,18.72
2020-04-24 22:08:34,2458964.42262,18.86
2020-04-24 23:55:09,2458964.49663,18.88
2020-05-22 17:17:52,2458992.22074,18.93
2020-05-22 19:04:27,2458992.29476,18.92
2020-06-16 19:59:25,2459017.33293,18.94
2020-06-17 00:13:06,2459017.50910,18.90
2020-10-18 16:17:45,2459141.17899,18.89
2020-11-09 20:25:09,2459163.35080,18.92
2020-11-09 22:11:42,2459163.42479,18.89
2020-12-08 02:03:20,2459191.58565,18.90
2020-12-08 03:49:54,2459191.65965,18.92
2021-04-16 10:18:18,2459320.92938,18.78
2021-04-16 14:32:00,2459321.10556,18.81
2021-05-11 22:15:58,2459346.42775,18.82
2021-06-08 08:21:56,2459373.84856,18.75

