Gaia20ajh
#Date,JD(TCB),averagemag
2014-07-28 21:45:09,2456867.40635,null
2014-07-29 01:58:49,2456867.58251,20.62
2014-07-29 03:45:23,2456867.65652,untrusted
2014-07-29 07:59:27,2456867.83295,null
2014-07-29 09:45:37,2456867.90668,null
2014-07-29 13:59:23,2456868.08291,null
2014-11-04 04:02:22,2456965.66831,20.46
2014-11-20 20:18:11,2456982.34596,untrusted
2015-04-29 21:39:58,2457142.40275,null
2015-04-30 01:53:44,2457142.57898,null
2015-04-30 03:40:30,2457142.65313,null
2015-05-19 20:01:44,2457162.33454,untrusted
2015-05-19 21:48:19,2457162.40855,20.49
2015-06-21 21:30:03,2457195.39587,null
2015-11-13 15:18:54,2457340.13813,untrusted
2015-12-05 04:58:52,2457361.70755,untrusted
2016-05-08 22:49:46,2457517.45123,untrusted
2016-05-09 03:03:27,2457517.62740,null
2016-06-03 15:02:48,2457543.12694,null
2016-07-01 20:53:36,2457571.37056,null
2016-11-22 10:24:04,2457714.93338,null
2016-11-22 12:10:49,2457715.00751,null
2016-12-18 16:07:06,2457741.17160,null
2016-12-18 17:53:50,2457741.24572,null
2017-01-12 03:57:30,2457765.66493,null
2017-01-12 05:44:15,2457765.73906,null
2017-05-19 17:37:11,2457893.23416,null
2017-05-19 19:23:56,2457893.30829,null
2017-06-18 23:24:38,2457923.47544,null
2017-07-12 07:11:15,2457946.79948,null
2017-07-12 11:24:26,2457946.97530,20.43
2017-12-02 18:53:22,2458090.28706,untrusted
2017-12-02 20:40:18,2458090.36132,null
2018-01-02 12:25:44,2458121.01787,null
2018-01-02 14:12:28,2458121.09199,null
2018-01-21 18:27:32,2458140.26912,null
2018-01-21 20:14:16,2458140.34324,null
2018-05-30 18:49:13,2458269.28418,null
2018-05-30 20:35:23,2458269.35791,null
2018-07-04 06:23:34,2458303.76637,null
2018-07-04 08:10:20,2458303.84051,null
2018-07-22 06:30:05,2458321.77089,20.60
2018-07-22 08:16:40,2458321.84491,untrusted
2018-10-27 08:46:01,2458418.86529,null
2018-10-27 10:32:45,2458418.93941,null
2018-10-27 14:45:54,2458419.11521,null
2018-10-27 16:32:28,2458419.18921,20.44
2018-11-05 16:38:03,2458428.19309,null
2018-11-05 20:51:47,2458428.36929,null
2018-12-13 08:01:14,2458465.83419,null
2019-01-18 21:11:51,2458502.38323,null
2019-01-19 01:25:35,2458502.55943,null
2019-01-19 03:11:45,2458502.63316,null
2019-01-19 07:25:28,2458502.80935,null
2019-01-29 01:31:44,2458512.56370,null
2019-01-29 03:18:28,2458512.63782,null
2019-01-29 07:32:12,2458512.81403,null
2019-01-29 09:18:57,2458512.88816,null
2019-01-29 15:18:51,2458513.13809,null
2019-04-22 16:02:46,2458596.16859,null
2019-04-22 20:16:28,2458596.34477,20.51
2019-04-22 22:03:17,2458596.41895,null
2019-04-23 02:17:03,2458596.59517,null
2019-04-23 04:03:49,2458596.66932,null
2019-04-23 08:16:59,2458596.84513,20.50
2019-05-01 20:24:53,2458605.35061,null
2019-05-02 02:25:25,2458605.60098,null
2019-05-02 04:11:30,2458605.67465,untrusted
2019-05-02 08:25:11,2458605.85082,20.51
2019-05-02 10:12:07,2458605.92508,null
2019-06-11 02:00:39,2458645.58378,null
2019-07-23 03:33:22,2458687.64817,null
2019-07-23 05:20:08,2458687.72231,null
2019-07-23 09:33:34,2458687.89831,20.51
2019-07-23 11:20:39,2458687.97267,null
2019-08-01 17:31:18,2458697.23007,null
2019-08-01 21:45:04,2458697.40630,null
2019-08-01 23:31:28,2458697.48019,untrusted
2019-08-02 03:45:35,2458697.65666,null
2019-10-26 11:40:31,2458782.98647,null
2019-10-26 13:27:16,2458783.06060,null
2019-10-26 17:41:00,2458783.23681,null
2019-10-26 19:27:10,2458783.31053,null
2019-11-05 11:50:46,2458792.99359,null
2019-11-05 13:37:30,2458793.06771,null
2019-11-05 17:51:14,2458793.24391,null
2019-12-12 21:14:04,2458830.38477,null
2020-01-18 21:18:39,2458867.38795,19.18
2020-01-18 23:05:13,2458867.46196,19.19
2020-01-19 03:18:52,2458867.63810,19.16
2020-01-28 03:28:45,2458876.64497,18.92
2020-01-28 05:15:19,2458876.71897,18.92
2020-01-28 09:28:58,2458876.89512,18.90
2020-01-28 11:15:32,2458876.96912,18.95
2020-05-02 06:03:34,2458971.75248,null
2020-05-02 10:17:20,2458971.92870,null
2020-05-19 22:48:31,2458989.45036,null
2020-05-20 00:34:42,2458989.52410,null
2020-06-23 12:28:18,2459024.01965,null
2020-10-27 14:43:40,2459150.11366,null
2020-10-27 16:30:25,2459150.18779,null
2020-11-06 16:35:34,2459160.19137,20.49
2020-11-06 20:49:41,2459160.36784,null
2021-01-20 07:23:57,2459234.80830,null
2021-01-20 09:10:06,2459234.88201,null
2021-01-20 13:23:50,2459235.05822,null
2021-01-20 15:10:15,2459235.13212,untrusted
2021-01-29 01:30:04,2459243.56255,null
2021-01-29 03:16:14,2459243.63627,null
2021-01-29 07:29:58,2459243.81248,null
2021-01-29 09:16:42,2459243.88660,null
2021-04-22 16:01:12,2459327.16750,null
2021-04-22 20:14:34,2459327.34345,20.44

