Gaia20amg
#Date,JD(TCB),averagemag
2014-08-06 16:56:07,2456876.20564,null
2014-08-06 21:09:53,2456876.38186,null
2014-08-06 22:56:03,2456876.45559,null
2014-08-07 03:09:49,2456876.63182,null
2014-08-07 04:56:34,2456876.70595,null
2014-08-07 09:10:20,2456876.88218,null
2014-08-07 10:57:05,2456876.95631,null
2014-08-07 15:10:16,2456877.13213,null
2014-08-30 09:36:36,2456899.90042,null
2014-08-30 15:37:07,2456900.15078,null
2014-08-30 17:23:17,2456900.22450,null
2014-08-30 21:37:02,2456900.40072,null
2014-08-30 23:23:47,2456900.47485,null
2014-08-31 03:37:33,2456900.65108,null
2014-08-31 05:23:43,2456900.72480,null
2014-08-31 11:24:13,2456900.97515,null
2014-11-07 07:13:46,2456968.80123,null
2014-11-07 08:59:56,2456968.87495,null
2014-11-07 13:13:40,2456969.05116,null
2015-01-17 05:58:53,2457039.74922,null
2015-01-17 07:45:37,2457039.82334,null
2015-02-03 17:59:09,2457057.24941,null
2015-02-03 19:45:53,2457057.32353,null
2015-05-31 03:03:35,2457173.62749,null
2015-05-31 04:50:21,2457173.70163,null
2015-07-05 04:20:36,2457208.68097,null
2015-07-05 08:34:22,2457208.85720,null
2015-08-16 08:13:20,2457250.84259,null
2015-08-16 10:00:05,2457250.91672,null
2015-09-01 14:25:36,2457267.10111,null
2015-09-01 16:11:46,2457267.17484,null
2015-09-01 20:25:32,2457267.35106,null
2015-09-01 22:12:17,2457267.42520,null
2015-09-02 02:26:02,2457267.60141,null
2015-10-30 20:15:24,2457326.34403,null
2015-10-30 22:01:34,2457326.41775,null
2015-11-23 04:03:03,2457349.66878,null
2015-11-23 08:16:47,2457349.84499,null
2015-12-25 01:51:20,2457381.57731,null
2016-01-30 18:54:09,2457418.28760,null
2016-02-13 12:57:55,2457432.04022,null
2016-02-13 14:44:40,2457432.11435,null
2016-03-31 19:03:53,2457479.29436,null
2016-03-31 23:17:38,2457479.47058,null
2016-04-01 01:03:48,2457479.54431,null
2016-04-01 05:17:33,2457479.72052,null
2016-04-01 07:04:18,2457479.79465,null
2016-04-01 11:18:04,2457479.97088,null
2016-04-04 11:20:38,2457482.97266,null
2016-04-04 17:21:08,2457483.22301,null
2016-04-04 19:07:18,2457483.29674,null
2016-04-04 23:21:04,2457483.47296,null
2016-04-05 01:07:49,2457483.54709,null
2016-05-20 11:52:26,2457528.99475,null
2016-05-20 16:06:12,2457529.17097,null
2016-06-13 16:02:50,2457553.16863,null
2016-06-13 17:49:36,2457553.24278,null
2016-07-16 03:45:18,2457585.65646,null
2016-07-16 05:31:29,2457585.73020,null
2016-09-05 03:29:50,2457636.64572,null
2016-09-05 09:30:20,2457636.89606,null
2016-09-05 11:16:30,2457636.96979,null
2016-09-05 15:30:16,2457637.14602,null
2016-09-05 17:17:01,2457637.22015,null
2016-09-05 21:30:46,2457637.39637,null
2016-09-05 23:16:56,2457637.47009,null
2016-09-06 03:30:41,2457637.64631,null
2016-09-06 05:17:26,2457637.72044,null
2016-09-06 09:31:12,2457637.89667,null
2016-09-06 11:17:22,2457637.97039,null
2016-09-06 15:31:07,2457638.14661,null
2016-09-06 17:17:52,2457638.22074,null
2016-09-06 23:18:23,2457638.47110,null
2016-09-07 05:18:18,2457638.72104,null
2016-09-10 05:21:27,2457641.72323,null
2016-09-10 11:21:22,2457641.97317,null
2016-09-10 17:21:52,2457642.22352,null
2016-09-10 21:35:03,2457642.39934,null
2016-09-10 23:21:48,2457642.47347,null
2016-09-11 03:35:33,2457642.64969,null
2016-09-11 05:22:18,2457642.72382,null
2016-09-11 09:36:03,2457642.90003,null
2016-09-11 11:22:13,2457642.97376,null
2016-09-11 15:35:58,2457643.14998,null
2016-09-11 17:22:43,2457643.22411,null
2016-09-11 21:36:29,2457643.40034,null
2016-09-11 23:22:39,2457643.47406,null
2016-09-12 03:36:24,2457643.65028,null
2016-09-12 05:23:09,2457643.72441,null
2016-09-12 09:36:54,2457643.90063,null
2016-09-12 15:36:49,2457644.15057,null
2016-11-10 09:25:06,2457702.89243,null
2016-11-10 11:11:16,2457702.96616,null
2016-12-06 23:02:54,2457729.46035,null
2017-01-03 20:56:55,2457757.37286,null
2017-02-12 03:10:48,2457796.63250,null
2017-02-12 04:57:33,2457796.70663,null
2017-02-22 05:03:00,2457806.71042,null
2017-02-22 09:16:44,2457806.88662,null
2017-02-22 11:03:29,2457806.96075,null
2017-04-10 09:19:29,2457853.88853,null
2017-04-10 13:33:14,2457854.06475,null
2017-04-10 15:19:59,2457854.13888,null
2017-04-18 19:39:35,2457862.31916,null
2017-04-18 21:26:21,2457862.39330,null
2017-04-19 01:40:06,2457862.56951,null
2017-04-19 03:26:16,2457862.64324,null
2017-05-31 18:34:52,2457905.27421,null
2017-06-28 12:25:29,2457933.01770,null
2017-06-28 14:12:14,2457933.09183,null
2017-07-28 02:05:45,2457962.58733,null
2017-07-28 06:18:56,2457962.76315,null
2017-11-21 17:56:24,2458079.24750,null
2017-11-21 19:43:09,2458079.32163,null
2017-12-21 05:36:37,2458108.73376,null
2018-01-14 11:23:44,2458132.97481,null
2018-03-03 16:10:08,2458181.17370,null
2018-03-03 17:56:52,2458181.24782,null
2018-04-20 08:29:34,2458228.85387,null
2018-04-20 10:15:44,2458228.92759,null
2018-05-02 20:36:39,2458241.35878,null
2018-05-02 22:22:49,2458241.43251,null
2018-06-12 01:43:02,2458281.57155,null
2018-06-12 03:29:47,2458281.64568,null
2018-07-13 19:28:02,2458313.31113,null
2018-07-13 21:14:47,2458313.38527,null
2018-08-09 03:16:58,2458339.63678,null
2018-08-09 07:30:44,2458339.81301,null
2018-10-07 19:23:19,2458399.30786,null
