Gaia20aqy
#Date,JD(TCB),averagemag
2014-08-25 02:34:13,2456894.60709,19.11
2014-08-25 04:20:48,2456894.68111,19.12
2015-01-24 18:54:54,2457047.28813,19.11
2015-02-14 00:53:56,2457067.53745,untrusted
2015-02-14 02:40:30,2457067.61146,19.20
2015-06-28 09:20:55,2457201.88953,19.23
2015-06-28 13:34:36,2457202.06569,19.21
2015-08-01 01:13:19,2457235.55091,null
2015-08-19 09:05:57,2457253.87913,untrusted
2015-08-19 13:19:55,2457254.05550,null
2016-02-09 09:38:14,2457427.90155,19.24
2016-02-09 13:51:53,2457428.07770,19.27
2016-02-22 01:58:05,2457440.58200,19.29
2016-02-22 03:44:39,2457440.65601,19.22
2016-05-24 10:57:04,2457532.95630,19.32
2016-05-24 16:57:20,2457533.20648,19.32
2016-05-24 22:57:36,2457533.45667,19.29
2016-05-25 03:11:39,2457533.63309,null
2016-05-25 04:57:52,2457533.70685,19.32
2016-05-25 09:11:35,2457533.88304,null
2016-05-25 10:58:08,2457533.95704,19.30
2016-05-25 16:58:24,2457534.20722,19.32
2016-05-25 22:58:41,2457534.45742,untrusted
2016-07-08 14:46:30,2457578.11563,19.37
2016-08-16 08:13:15,2457616.84253,19.33
2016-08-16 09:59:50,2457616.91655,19.37
2016-08-16 14:13:31,2457617.09272,19.45
2016-08-16 16:00:06,2457617.16674,19.38
2016-08-26 08:21:38,2457626.84836,19.35
2016-08-26 10:08:13,2457626.92237,19.34
2016-08-26 14:21:54,2457627.09854,19.35
2016-11-28 16:12:24,2457721.17528,19.36
2016-11-28 17:58:58,2457721.24928,19.37
2016-12-11 22:17:27,2457734.42878,19.36
2016-12-12 00:04:01,2457734.50279,19.36
2017-01-15 03:36:48,2457768.65056,19.36
2017-01-15 05:23:22,2457768.72456,untrusted
2017-05-28 19:19:11,2457902.30499,19.33
2017-05-28 23:32:52,2457902.48116,19.31
2017-05-29 01:19:27,2457902.55517,19.26
2017-06-15 05:42:09,2457919.73760,19.31
2017-06-15 07:28:44,2457919.81162,19.37
2017-07-19 17:21:04,2457954.22296,null
2017-12-07 02:23:41,2458094.59978,19.34
2017-12-26 20:21:15,2458114.34809,19.34
2017-12-27 00:34:54,2458114.52424,19.33
2018-01-25 12:07:37,2458144.00529,19.37
2018-01-25 13:54:10,2458144.07928,19.31
2018-06-07 08:27:30,2458276.85243,19.31
2018-07-01 06:42:51,2458300.77976,19.30
2018-07-01 08:29:26,2458300.85377,19.35
2018-07-30 12:31:38,2458330.02197,19.33
2018-07-30 14:18:13,2458330.09598,19.35
2018-12-16 13:42:34,2458469.07123,null
2018-12-16 15:29:19,2458469.14536,null
2019-01-10 09:15:23,2458493.88568,19.05
2019-02-04 15:02:08,2458519.12648,null
2019-06-17 19:51:32,2458652.32745,18.97
2019-06-17 21:38:07,2458652.40147,18.92
2019-08-09 04:13:57,2458704.67635,untrusted
2019-12-19 07:49:05,2458836.82575,18.83
2019-12-19 09:35:39,2458836.89976,18.87
2020-01-15 14:53:11,2458864.12027,null
2020-01-15 16:39:33,2458864.19413,18.88
2020-02-07 03:37:28,2458886.65102,18.82
2020-02-07 05:24:01,2458886.72501,18.86
2020-06-26 12:53:42,2459027.03729,18.91
2020-07-28 02:18:35,2459058.59624,18.86
2020-07-28 04:05:10,2459058.67025,18.92
2020-07-31 00:30:32,2459061.52120,untrusted
2020-07-31 02:17:07,2459061.59522,18.88
2020-12-17 01:41:01,2459200.57015,18.79
2020-12-17 03:27:34,2459200.64414,18.90
2021-01-11 07:26:20,2459225.80995,null
2021-02-05 01:14:11,2459250.55152,18.83
2021-02-05 03:00:44,2459250.62551,18.84

