Gaia20bfc
#Date,JD(TCB),averagemag
2014-11-03 17:50:23,2456965.24332,15.22
2014-11-03 19:36:57,2456965.31733,untrusted
2014-11-30 05:39:16,2456991.73560,15.23
2014-12-30 05:23:53,2457021.72492,untrusted
2014-12-30 07:10:28,2457021.79894,untrusted
2015-02-09 05:00:29,2457062.70867,15.24
2015-02-09 06:47:04,2457062.78269,15.23
2015-03-04 12:54:05,2457086.03756,15.22
2015-03-04 17:07:44,2457086.21370,15.26
2015-03-04 18:54:19,2457086.28772,15.24
2015-04-15 04:41:49,2457127.69571,15.27
2015-04-15 06:28:23,2457127.76971,15.25
2015-05-17 00:08:41,2457159.50603,15.23
2015-06-13 10:09:03,2457186.92295,15.30
2015-07-23 22:51:00,2457227.45208,null
2015-08-09 03:08:18,2457243.63076,null
2015-08-09 04:55:03,2457243.70490,null
2015-09-21 03:31:41,2457286.64700,null
2015-10-08 19:48:29,2457304.32534,15.33
2015-10-08 21:35:04,2457304.39935,15.32
2015-11-15 00:56:36,2457341.53931,15.34
2015-11-15 02:43:10,2457341.61331,15.33
2015-12-14 00:41:01,2457370.52848,15.34
2015-12-14 02:27:35,2457370.60249,15.34
2016-01-11 06:33:33,2457398.77330,15.34
2016-01-11 08:20:08,2457398.84731,15.34
2016-02-23 12:10:26,2457442.00725,15.35
2016-02-23 13:57:00,2457442.08125,15.34
2016-03-18 18:16:07,2457466.26119,15.36
2016-03-18 20:02:52,2457466.33532,null
2016-04-26 13:36:32,2457505.06704,15.37
2016-05-30 07:07:54,2457538.79715,null
2016-06-24 00:59:41,2457563.54145,null
2016-08-04 22:01:03,2457605.41740,null
2016-08-04 23:47:13,2457605.49112,null
2016-08-19 22:06:21,2457620.42108,null
2016-08-19 23:52:31,2457620.49480,null
2016-10-01 10:32:50,2457662.93947,null
2016-11-25 09:50:48,2457717.91028,null
2016-11-25 14:03:59,2457718.08610,null
2016-12-27 07:44:36,2457749.82264,null
2016-12-27 09:31:21,2457749.89677,null
2017-01-22 15:30:21,2457776.14608,null
2017-01-22 19:44:06,2457776.32229,null
2017-03-08 02:43:12,2457820.61333,null
2017-03-08 04:29:56,2457820.68745,null
2017-03-08 08:43:06,2457820.86326,null
2017-03-08 10:29:51,2457820.93740,null
2017-04-02 22:31:30,2457846.43854,null
2017-04-03 02:45:14,2457846.61475,null
2017-05-08 20:20:32,2457882.34759,null
2017-06-13 09:28:21,2457917.89469,null
2017-07-05 15:24:12,2457940.14181,null
2017-08-17 08:06:43,2457982.83800,null
2017-08-17 12:19:53,2457983.01381,null
2017-09-01 00:25:35,2457997.51777,null
2017-09-01 02:12:20,2457997.59190,null
2017-10-12 12:57:00,2458039.03958,null
2017-10-12 17:10:46,2458039.21581,null
2017-11-03 06:54:17,2458060.78770,15.40
2017-12-07 00:21:01,2458094.51459,15.42
2018-01-10 17:58:54,2458129.24924,15.43
2018-02-04 16:16:20,2458154.17801,15.41
2018-02-04 18:02:54,2458154.25201,15.42
2018-03-21 09:52:44,2458198.91162,15.43
2018-03-21 11:39:18,2458198.98563,15.41
2018-04-17 23:35:21,2458226.48288,15.44
