Gaia20bjx
#Date,JD(TCB),averagemag
2014-08-28 10:58:00,2456897.95694,null
2014-08-28 12:44:09,2456898.03066,null
2015-01-02 22:35:08,2457025.44106,null
2015-01-25 18:16:51,2457048.26170,null
2015-02-24 04:14:54,2457077.67701,null
2015-02-24 06:01:04,2457077.75074,null
2015-06-25 22:06:26,2457199.42113,null
2015-07-23 15:58:22,2457227.16553,null
2015-08-20 23:27:49,2457255.47765,null
2016-01-13 05:41:52,2457400.73741,null
2016-02-08 23:29:39,2457427.47892,null
2016-02-09 01:16:25,2457427.55307,null
2016-03-06 05:26:05,2457453.72645,null
2016-03-06 07:12:50,2457453.80058,null
2016-07-06 11:15:49,2457575.96932,null
2016-07-06 13:02:34,2457576.04345,null
2016-08-06 16:54:55,2457607.20480,null
2016-08-30 22:46:31,2457631.44897,null
2016-12-05 15:23:31,2457728.14133,null
2016-12-05 19:36:42,2457728.31715,null
2016-12-15 01:43:38,2457737.57197,null
2016-12-15 03:30:24,2457737.64611,null
2017-01-22 18:49:48,2457776.28458,null
2017-02-22 19:53:38,2457807.32891,null
2017-02-22 21:40:24,2457807.40306,null
2017-03-17 01:59:27,2457829.58295,null
2017-03-17 03:46:12,2457829.65708,null
2017-07-18 01:47:21,2457952.57455,null
2017-07-18 03:34:06,2457952.64868,null
2017-08-21 08:59:33,2457986.87469,null
2017-08-21 13:13:17,2457987.05089,null
2017-09-10 07:12:17,2458006.80020,null
2017-09-10 08:58:27,2458006.87392,null
2017-12-14 15:57:35,2458102.16499,null
2017-12-29 04:03:24,2458116.66903,null
2017-12-29 05:50:10,2458116.74317,null
2018-02-02 11:08:33,2458151.96427,null
2018-02-02 15:22:19,2458152.14050,null
2018-03-11 02:58:55,2458188.62425,null
2018-03-11 04:45:41,2458188.69839,null
2018-03-27 03:10:01,2458204.63196,null
2018-03-27 04:56:11,2458204.70568,null
2018-03-27 09:09:57,2458204.88191,null
2018-03-27 10:56:42,2458204.95604,null
2018-06-04 03:16:18,2458273.63632,null
2018-06-04 05:02:28,2458273.71005,null
2018-06-04 09:16:12,2458273.88625,null
2018-06-04 11:02:57,2458273.96038,null
2018-06-20 23:11:22,2458290.46623,null
2018-06-21 03:25:06,2458290.64243,null
2018-06-21 05:11:51,2458290.71656,null
2018-07-29 14:56:00,2458329.12222,null
2018-07-29 16:42:45,2458329.19635,null
2018-09-05 02:08:28,2458366.58921,null
2018-09-20 08:12:33,2458381.84205,null
2018-09-20 09:59:18,2458381.91618,null
2018-12-24 04:59:05,2458476.70770,null
2019-02-13 10:32:34,2458527.93928,null
2019-02-13 12:19:19,2458528.01341,null
2019-06-14 16:25:16,2458649.18421,null
2019-06-14 18:12:00,2458649.25833,null
2019-07-08 04:28:06,2458672.68618,null
2019-07-08 06:14:15,2458672.75990,null
2019-12-16 06:56:47,2458833.78943,null
2019-12-16 11:10:33,2458833.96566,null
2019-12-16 12:57:19,2458834.03980,null
2020-01-07 17:52:33,2458856.24483,null
2020-01-07 19:38:44,2458856.31856,null
2020-02-07 07:15:46,2458886.80262,null
2020-03-17 15:32:32,2458926.14759,18.44
2020-03-17 17:19:06,2458926.22160,18.43
2020-03-26 17:30:31,2458935.22953,18.44
2020-03-26 21:44:12,2458935.40569,untrusted
2020-03-26 23:30:46,2458935.47970,18.45
2020-07-04 09:54:31,2459034.91286,19.24
2020-07-04 11:41:05,2459034.98686,19.28
2020-07-29 04:44:57,2459059.69788,untrusted
2020-07-30 04:41:01,2459060.69515,untrusted
2020-09-05 20:05:59,2459098.33749,null
2020-09-05 21:52:08,2459098.41120,19.74
2020-09-20 14:10:02,2459113.09030,20.01
2020-09-20 15:56:36,2459113.16431,19.93

