Gaia20bnd
#Date,JD(TCB),averagemag
2014-08-09 09:05:17,2456878.87867,null
2014-08-09 13:19:03,2456879.05490,null
2014-08-09 15:05:48,2456879.12903,null
2014-08-09 19:18:58,2456879.30484,null
2014-08-09 21:05:44,2456879.37898,null
2014-08-10 01:19:29,2456879.55520,null
2014-08-10 03:06:14,2456879.62933,null
2014-08-10 07:20:00,2456879.80556,null
2014-08-10 09:06:10,2456879.87928,null
2014-08-10 13:19:55,2456880.05550,null
2014-08-10 15:06:40,2456880.12963,null
2014-08-10 19:20:26,2456880.30586,null
2014-08-10 21:06:36,2456880.37958,null
2014-08-11 01:20:21,2456880.55580,null
2014-08-11 07:20:52,2456880.80616,null
2014-11-07 15:03:17,2456969.12728,null
2014-11-29 16:42:51,2456991.19642,null
2014-11-29 20:56:35,2456991.37263,null
2015-01-02 20:14:47,2457025.34360,null
2015-01-02 22:01:32,2457025.41773,null
2015-02-03 07:52:12,2457056.82792,null
2015-02-03 09:38:56,2457056.90204,null
2015-03-04 07:43:22,2457085.82178,null
2015-04-12 13:19:45,2457125.05538,null
2015-06-14 18:55:58,2457188.28887,null
2015-06-14 20:42:43,2457188.36300,null
2015-07-21 06:20:05,2457224.76395,null
2015-08-13 12:16:17,2457248.01131,null
2015-08-13 14:03:02,2457248.08544,null
2015-09-22 18:56:12,2457288.28903,null
2015-10-11 11:10:39,2457306.96573,null
2015-10-11 12:57:24,2457307.03986,null
2015-11-18 23:51:24,2457345.49403,null
2015-12-12 17:41:40,2457369.23727,null
2016-01-14 15:20:30,2457402.13924,null
2016-01-14 17:07:15,2457402.21337,null
2016-02-17 08:56:41,2457435.87270,null
2016-03-16 14:51:22,2457464.11900,null
2016-03-16 16:38:07,2457464.19314,null
2016-04-24 20:28:14,2457503.35294,null
2016-05-25 22:04:09,2457534.41955,null
2016-06-26 03:49:33,2457565.65941,null
2016-08-02 19:20:03,2457603.30559,null
2016-08-02 21:06:48,2457603.37972,null
2016-08-24 13:18:51,2457625.05476,null
2016-10-22 19:55:09,2457684.32997,null
2016-10-23 00:08:54,2457684.50618,null
2016-11-29 11:08:12,2457721.96403,null
2016-11-29 12:54:21,2457722.03774,null
2016-12-24 22:54:12,2457747.45431,null
2016-12-25 00:40:57,2457747.52844,null
2017-01-25 16:27:20,2457779.18565,null
2017-01-25 18:14:04,2457779.25977,null
2017-03-02 07:10:59,2457814.79929,null
2017-03-02 11:24:44,2457814.97551,null
2017-03-30 11:21:37,2457842.97334,null
2017-03-30 13:08:22,2457843.04748,null
2017-05-07 22:59:46,2457881.45817,null
2017-07-08 12:18:38,2457943.01294,null
2017-08-16 03:42:14,2457981.65433,null
2017-09-05 09:41:52,2458001.90407,null
2017-09-05 11:28:37,2458001.97821,null
2017-10-15 16:17:25,2458042.17876,null
2017-11-04 10:15:30,2458061.92743,null
2017-12-10 21:20:46,2458098.38942,null
2018-01-07 07:16:53,2458125.80339,null
2018-01-07 09:03:38,2458125.87752,null
2018-02-07 00:56:58,2458156.53956,null
2018-03-16 08:18:08,2458193.84593,null
2018-03-16 12:31:53,2458194.02214,null
2018-04-13 18:29:38,2458222.27058,null
2018-04-13 20:15:48,2458222.34431,null
2018-05-20 18:08:03,2458259.25559,null
2018-05-20 19:54:48,2458259.32972,null
2018-06-23 13:33:03,2458293.06462,null
2018-07-20 17:37:30,2458320.23438,null
2018-07-20 19:24:15,2458320.30851,null
2018-09-17 10:41:51,2458378.94573,null
2018-09-17 12:28:36,2458379.01986,null
2018-10-27 09:31:27,2458418.89684,null
2018-11-17 03:27:15,2458439.64392,null
2018-11-17 05:14:00,2458439.71806,null
2019-01-20 20:18:26,2458504.34613,null
2019-01-20 22:05:10,2458504.42025,null
2019-02-19 14:04:22,2458534.08637,null
2019-02-19 15:51:06,2458534.16049,null
2019-03-30 03:26:07,2458572.64314,null
2019-03-30 07:39:52,2458572.81935,null
2019-04-28 01:36:04,2458601.56671,null
2019-04-28 03:22:49,2458601.64084,null
2019-06-02 13:16:59,2458637.05346,null
2019-07-07 14:34:08,2458672.10704,null
2019-07-24 14:43:21,2458689.11344,null
2019-07-24 16:30:06,2458689.18757,null
2019-08-24 21:54:40,2458720.41296,null
2019-08-24 23:41:25,2458720.48709,null
2019-10-03 17:33:50,2458760.23183,null
2019-10-03 19:20:35,2458760.30596,null
2019-11-01 06:31:59,2458788.77221,null
2019-11-01 08:18:43,2458788.84633,null
2020-01-06 23:17:21,2458855.47038,null
2020-01-30 12:08:58,2458879.00623,null
2020-03-08 18:38:56,2458917.27704,18.70
2020-03-27 02:59:24,2458935.62458,18.82
2020-05-05 23:23:08,2458975.47440,20.22

