Gaia20btr
#Date,JD(TCB),averagemag
2014-09-10 23:15:30,2456911.46910,untrusted
2014-09-11 01:02:03,2456911.54309,untrusted
2014-10-14 22:10:26,2456945.42391,untrusted
2015-02-24 17:01:19,2457078.20925,17.89
2015-03-25 04:47:42,2457106.69979,17.91
2015-04-16 10:49:12,2457128.95083,17.87
2015-04-16 15:02:54,2457129.12701,17.88
2015-10-05 03:29:08,2457300.64523,17.94
2015-10-24 09:29:45,2457319.89566,17.92
2015-10-24 11:16:19,2457319.96966,17.92
2016-03-06 04:25:50,2457453.68461,17.95
2016-04-08 16:00:50,2457487.16725,17.92
2016-04-08 17:47:24,2457487.24125,17.92
2016-04-24 11:56:07,2457502.99730,null
2016-04-24 16:09:34,2457503.17331,17.93
2016-09-13 11:05:30,2457644.96215,17.90
2016-10-20 04:25:42,2457681.68451,17.90
2016-10-20 06:12:15,2457681.75851,17.90
2016-10-31 04:31:56,2457692.68884,17.90
2016-10-31 06:18:30,2457692.76285,17.89
2017-01-29 12:00:52,2457783.00060,17.90
2017-01-29 13:47:27,2457783.07462,17.86
2017-01-29 18:01:08,2457783.25079,17.91
2017-01-29 19:47:43,2457783.32480,17.87
2017-02-07 12:08:46,2457792.00609,17.87
2017-02-07 13:55:20,2457792.08009,17.90
2017-03-16 14:46:06,2457829.11535,17.90
2017-03-16 18:59:48,2457829.29153,17.90
2017-08-05 02:06:18,2457970.58771,null
2017-08-05 03:52:53,2457970.66172,17.89
2017-08-20 02:12:21,2457985.59191,null
2017-08-20 03:59:05,2457985.66603,null
2017-09-24 07:36:40,2458020.81713,17.93
2018-02-05 16:12:30,2458155.17535,untrusted
2018-02-05 20:26:11,2458155.35152,17.87
2018-03-27 08:11:09,2458204.84108,17.93
2018-08-14 03:10:35,2458344.63235,untrusted
2018-08-14 04:57:09,2458344.70635,17.91
2018-09-04 22:54:59,2458366.45485,null
2018-10-04 20:44:56,2458396.36454,17.90
2018-10-04 22:31:29,2458396.43853,17.91
2019-02-14 23:20:09,2458529.47233,17.88
2019-03-10 15:31:15,2458553.14670,17.92
2019-03-10 17:17:50,2458553.22072,17.91
2019-04-06 17:08:23,2458580.21416,17.88
2019-04-06 21:22:05,2458580.39034,17.92
2019-08-19 22:02:05,2458715.41811,17.89
2019-09-13 21:05:04,2458740.37852,17.89
2019-09-13 22:51:38,2458740.45252,17.88
2019-10-10 22:04:56,2458767.42009,null
2019-10-10 23:51:41,2458767.49422,null
2020-02-20 15:13:55,2458900.13466,17.72
2020-03-18 02:33:45,2458926.60677,17.51
2020-03-18 04:20:20,2458926.68079,17.49
2020-04-11 15:29:54,2458951.14576,17.33
2020-04-11 17:16:29,2458951.21978,17.30
2020-08-14 09:08:59,2459075.88124,17.88
2020-08-14 10:55:32,2459075.95523,17.87
2020-09-05 21:05:40,2459098.37894,17.88
2020-09-05 22:52:13,2459098.45293,17.86
2020-10-05 08:43:40,2459127.86366,17.88
2020-10-05 10:30:14,2459127.93766,17.91
2021-02-15 09:32:31,2459260.89758,17.90
2021-02-15 11:19:06,2459260.97160,17.90
2021-03-11 11:15:34,2459284.96914,17.90

