Gaia20cvn
#Date,JD,averagemag.
2014-10-30 22:55:26,2456961.455,18.92
2014-10-31 00:42:00,2456961.529,18.91
2014-11-20 10:57:58,2456981.957,null
2014-11-20 12:44:29,2456982.031,18.88
2015-04-29 23:18:12,2457142.471,null
2015-05-23 23:12:09,2457166.467,18.77
2015-05-24 00:58:43,2457166.541,untrusted
2015-06-21 16:54:02,2457195.204,untrusted
2015-06-21 18:40:35,2457195.278,18.74
2015-11-09 13:49:56,2457336.076,18.75
2015-11-09 18:03:38,2457336.253,18.80
2015-12-04 23:56:10,2457361.497,18.76
2015-12-05 01:42:45,2457361.571,18.75
2015-12-29 19:37:28,2457386.318,18.78
2015-12-29 23:51:10,2457386.494,18.79
2016-05-09 06:25:57,2457517.768,18.82
2016-05-09 08:12:31,2457517.842,18.80
2016-06-07 07:53:38,2457546.829,18.76
2016-07-01 06:01:15,2457570.751,null
2016-11-18 19:13:24,2457711.301,18.75
2016-11-18 20:59:58,2457711.375,18.75
2016-12-18 18:55:06,2457741.288,18.77
2016-12-18 20:41:40,2457741.362,18.80
2017-01-07 06:59:56,2457760.792,18.82
2017-01-07 08:46:30,2457760.866,18.80
2017-05-20 02:57:10,2457893.623,18.78
2017-05-20 04:43:44,2457893.697,18.79
2017-06-22 22:11:19,2457927.425,18.76
2017-07-10 20:28:07,2457945.353,18.79
2017-07-10 22:14:41,2457945.427,18.83
2017-11-29 05:33:18,2458086.731,18.77
2018-01-03 09:18:33,2458121.888,18.75
2018-01-03 11:05:07,2458121.962,18.72
2018-01-03 15:18:49,2458122.138,18.74
2018-01-03 17:05:23,2458122.212,18.73
2018-01-14 23:14:03,2458133.468,18.78
2018-01-15 03:27:58,2458133.644,null
2018-01-15 05:14:18,2458133.718,18.74
2018-04-14 16:39:56,2458223.194,18.77
2018-04-14 18:26:30,2458223.268,18.78
2018-04-14 22:40:09,2458223.445,18.79
2018-04-15 00:26:43,2458223.519,18.76
2018-04-15 04:40:21,2458223.695,18.75
2018-04-15 06:26:55,2458223.769,18.76
2018-04-15 10:40:45,2458223.945,null
2018-04-15 12:27:08,2458224.019,18.76
2018-04-19 12:30:18,2458228.021,18.75
2018-04-19 16:43:56,2458228.197,18.76
2018-04-19 18:30:30,2458228.271,18.75
2018-04-19 22:44:09,2458228.447,18.76
2018-04-20 00:30:43,2458228.521,18.74
2018-04-20 04:44:22,2458228.697,18.76
2018-04-20 06:30:55,2458228.771,18.74
2018-05-31 04:06:06,2458269.671,18.81
2018-07-09 17:08:27,2458309.214,18.82
2018-07-09 21:22:06,2458309.390,18.78
2018-07-09 23:08:39,2458309.464,18.80
2018-07-10 03:22:40,2458309.641,null
2018-07-18 03:27:47,2458317.644,18.78
2018-07-18 05:14:39,2458317.719,null
2018-07-18 09:28:00,2458317.894,18.83
2018-07-18 11:14:32,2458317.968,null
2018-10-22 11:19:14,2458413.972,null
2018-10-22 13:05:51,2458414.046,18.83
2018-11-05 17:27:47,2458428.228,18.82
2018-11-05 19:14:37,2458428.302,null
2018-12-09 16:58:06,2458462.207,18.78
2018-12-09 18:44:41,2458462.281,18.85
2019-04-20 17:40:34,2458594.237,18.76
2019-04-20 19:27:08,2458594.311,18.84
2019-05-08 11:44:52,2458611.989,18.78
2019-05-08 13:31:26,2458612.063,18.78
2019-06-11 05:14:49,2458645.719,18.83
2019-10-24 15:59:16,2458781.166,18.67
2019-10-24 20:12:57,2458781.342,18.64
2019-11-11 08:43:07,2458798.863,18.68
2019-11-11 10:29:42,2458798.937,18.61
2019-12-13 00:00:24,2458830.500,18.63
2020-04-28 01:29:14,2458967.562,18.48
2020-05-19 15:54:07,2458989.163,18.47
2020-06-19 09:20:38,2459019.889,18.43
2020-06-19 11:07:11,2459019.963,18.42
2020-10-22 17:17:32,2459145.221,18.32
2020-10-22 19:04:07,2459145.295,18.33
2020-11-06 13:12:08,2459160.050,18.29
2020-12-10 04:57:12,2459193.706,18.32
2021-04-20 23:38:59,2459325.485,18.39
2021-04-21 01:25:33,2459325.559,18.35

