Gaia20dra
#Date,JD,averagemag.
2014-07-28 04:48:06,2456866.700,null
2014-07-28 09:01:52,2456866.876,null
2014-07-28 10:48:37,2456866.950,null
2014-07-28 15:02:23,2456867.127,null
2014-07-28 16:48:33,2456867.200,null
2014-07-28 21:02:19,2456867.377,null
2014-07-28 22:49:04,2456867.451,null
2014-07-29 03:02:50,2456867.627,null
2014-11-09 19:12:31,2456971.300,null
2014-11-09 20:59:15,2456971.374,null
2015-01-17 13:38:59,2457040.069,null
2015-01-17 17:52:43,2457040.245,null
2015-02-01 23:55:16,2457055.497,null
2015-03-19 22:16:28,2457101.428,null
2015-03-20 00:03:13,2457101.502,null
2015-03-20 04:16:58,2457101.678,null
2015-03-20 06:03:43,2457101.753,null
2015-03-20 10:17:28,2457101.929,null
2015-03-24 22:21:18,2457106.431,null
2015-03-25 00:07:28,2457106.505,null
2015-03-25 04:21:13,2457106.681,null
2015-03-25 06:07:59,2457106.756,null
2015-06-01 09:01:20,2457174.876,null
2015-06-01 10:48:05,2457174.950,null
2015-07-04 14:40:39,2457208.112,null
2015-07-04 16:26:50,2457208.185,null
2015-08-20 08:21:52,2457254.849,null
2015-08-20 10:08:03,2457254.922,null
2015-08-20 14:21:48,2457255.098,null
2015-08-20 16:08:33,2457255.173,null
2015-08-20 20:22:19,2457255.349,null
2015-08-20 22:08:29,2457255.423,null
2015-09-02 02:32:34,2457267.606,null
2015-09-02 04:18:44,2457267.680,null
2015-09-02 08:32:29,2457267.856,null
2015-09-02 10:19:15,2457267.930,null
2015-09-02 14:33:00,2457268.106,null
2015-09-02 16:19:45,2457268.180,null
2015-09-02 20:32:55,2457268.356,null
2015-10-29 14:19:16,2457325.097,null
2015-10-29 16:05:26,2457325.170,null
2015-11-24 20:13:30,2457351.343,null
2015-12-23 13:52:16,2457380.078,null
2015-12-23 15:38:25,2457380.152,null
2016-01-30 20:33:21,2457418.356,null
2016-01-31 00:47:05,2457418.533,null
2016-02-11 18:52:24,2457430.286,null
2016-02-11 20:39:09,2457430.361,null
2016-03-28 23:10:11,2457476.465,null
2016-03-29 00:56:56,2457476.540,null
2016-03-29 05:10:42,2457476.716,null
2016-04-06 11:17:00,2457484.970,null
2016-04-06 13:03:45,2457485.044,null
2016-05-19 04:09:14,2457527.673,null
2016-05-19 05:55:59,2457527.747,null
2016-06-14 23:47:55,2457554.492,null
2016-07-15 15:51:26,2457585.161,null
2016-07-15 17:38:12,2457585.235,null
2016-09-08 15:39:50,2457640.153,null
2016-09-08 21:39:45,2457640.403,null
2016-09-08 23:26:30,2457640.477,null
2016-09-09 03:40:15,2457640.653,null
2016-09-09 05:27:00,2457640.727,null
2016-09-09 09:40:10,2457640.903,null
2016-09-09 11:26:55,2457640.977,null
2016-09-09 15:40:40,2457641.153,null
2016-09-09 17:27:25,2457641.227,null
2016-09-09 21:40:35,2457641.403,null
2016-09-09 23:27:20,2457641.477,null
2016-09-10 03:41:05,2457641.654,null
2016-09-10 05:27:50,2457641.728,null
2016-09-10 09:41:35,2457641.904,null
2016-09-10 11:27:45,2457641.978,null
2016-09-10 17:28:15,2457642.228,null
2016-09-10 23:28:10,2457642.478,null
2016-09-14 11:31:40,2457645.980,null
2016-09-14 17:31:35,2457646.230,null
2016-09-14 23:32:05,2457646.481,null
2016-09-15 03:45:50,2457646.657,null
