Gaia20duv
#Date,JD,averagemag.
2015-02-27 03:14:31,2457080.635,null
2015-02-27 05:01:17,2457080.709,null
2015-04-19 09:03:27,2457131.877,null
2015-04-19 10:50:13,2457131.952,null
2015-09-04 09:50:09,2457269.910,null
2015-09-04 11:36:18,2457269.984,null
2015-10-02 17:17:38,2457298.221,null
2015-10-25 21:24:04,2457321.392,null
2015-10-25 23:10:48,2457321.466,null
2016-03-08 06:11:16,2457455.758,null
2016-03-08 10:25:03,2457455.934,null
2016-04-07 16:07:38,2457486.172,null
2016-04-28 04:12:48,2457506.676,null
2016-04-28 05:58:58,2457506.749,null
2016-10-16 22:25:47,2457678.435,null
2016-11-03 04:28:58,2457695.687,null
2016-11-03 06:15:08,2457695.761,null
2017-03-18 20:44:40,2457831.364,null
2017-04-23 18:31:03,2457867.272,null
2017-04-23 20:17:49,2457867.346,null
2017-05-06 12:40:31,2457880.028,null
2017-05-06 14:27:17,2457880.102,null
2017-05-06 18:41:03,2457880.279,null
2017-08-09 20:05:06,2457975.337,null
2017-08-09 21:51:51,2457975.411,null
2017-08-10 02:05:35,2457975.587,null
2017-08-10 03:52:19,2457975.661,null
2017-08-10 08:05:28,2457975.837,null
2017-08-10 09:52:13,2457975.911,null
2017-08-10 14:05:56,2457976.087,null
2017-08-10 15:52:41,2457976.162,null
2017-08-10 21:52:34,2457976.412,null
2017-08-14 03:55:14,2457979.663,null
2017-08-14 08:08:58,2457979.840,null
2017-08-14 09:55:42,2457979.914,null
2017-08-14 14:08:51,2457980.089,null
2017-08-14 15:55:36,2457980.164,null
2017-08-14 20:09:20,2457980.340,null
2017-08-14 21:56:04,2457980.414,null
2017-08-15 02:09:48,2457980.590,null
2017-09-24 21:15:59,2458021.386,null
2017-11-02 06:45:35,2458059.782,null
2017-11-02 08:32:20,2458059.856,null
2017-11-02 12:45:29,2458060.032,null
2017-11-02 14:32:13,2458060.106,null
2017-11-09 18:51:02,2458067.285,null
2017-11-09 20:37:11,2458067.359,null
2017-11-10 00:50:55,2458067.535,null
2017-11-10 02:37:40,2458067.609,null
2018-02-09 10:17:04,2458158.929,null
2018-02-09 14:30:50,2458159.105,null
2018-03-29 14:10:10,2458207.090,null
2018-08-15 21:05:09,2458346.379,null
2018-08-15 22:51:53,2458346.453,null
2018-09-02 09:09:25,2458363.882,null
2018-09-02 10:56:09,2458363.956,null
2018-10-05 14:37:54,2458397.110,null
2018-10-05 16:24:38,2458397.184,null
2019-02-17 21:35:10,2458532.399,null
2019-03-09 21:38:43,2458552.402,null
2019-03-09 23:24:54,2458552.476,null
2019-04-09 05:08:03,2458582.714,null
2019-08-22 20:20:17,2458718.347,null
2019-08-22 22:06:26,2458718.421,null
2019-09-13 04:43:13,2458739.697,null
2019-10-13 10:10:11,2458769.924,null
2019-10-13 11:56:55,2458769.998,null
2020-02-21 15:22:56,2458901.141,null
2020-02-21 19:36:43,2458901.317,null
2020-03-15 22:14:22,2458924.427,null
2020-04-12 15:38:43,2458952.152,null
2020-04-12 17:25:29,2458952.226,null
2020-08-16 03:03:13,2459077.627,17.86
2020-08-16 04:49:46,2459077.701,17.87

