Gaia20eky
#Date,JD(TCB),averagemag
2014-11-06 18:19:26,2456968.26350,null
2014-11-06 20:06:11,2456968.33763,null
2015-01-06 11:32:21,2457028.98080,null
2015-01-06 13:18:31,2457029.05453,null
2015-02-04 05:15:19,2457057.71897,null
2015-02-04 07:02:04,2457057.79310,null
2015-03-09 10:45:32,2457090.94829,null
2015-04-07 18:15:22,2457120.26067,null
2015-05-12 15:56:13,2457155.16404,null
2015-05-12 17:42:58,2457155.23817,null
2015-07-16 21:04:09,2457220.37788,null
2015-07-16 22:50:54,2457220.45201,null
2015-08-13 04:39:58,2457247.69442,null
2015-09-18 15:58:42,2457284.16576,null
2015-10-15 14:00:48,2457311.08389,null
2015-10-15 15:47:33,2457311.15802,null
2015-11-19 03:09:34,2457345.63164,null
2015-12-16 20:54:46,2457373.37137,null
2016-01-19 00:36:11,2457406.52513,null
2016-02-17 00:19:00,2457435.51319,null
2016-03-21 07:35:19,2457468.81619,null
2016-04-19 17:33:16,2457498.23144,null
2016-05-24 22:59:01,2457533.45765,null
2016-05-25 00:45:46,2457533.53178,null
2016-06-22 06:33:10,2457561.77303,null
2016-07-29 04:07:01,2457598.67154,null
2016-08-25 03:56:13,2457625.66404,null
2016-08-25 05:42:58,2457625.73817,null
2016-09-30 09:15:42,2457661.88590,null
2016-09-30 11:01:52,2457661.95963,null
2016-10-27 09:03:26,2457688.87738,null
2016-10-27 10:49:36,2457688.95111,null
2016-11-30 14:26:42,2457723.10188,null
2016-12-28 14:11:13,2457751.09112,null
2016-12-28 15:57:58,2457751.16525,null
2017-01-30 13:40:00,2457784.06944,null
2017-02-28 14:45:35,2457813.11499,null
2017-02-28 16:31:45,2457813.18872,null
2017-04-03 08:14:55,2457846.84369,null
2017-04-03 10:01:40,2457846.91782,null
2017-05-02 13:59:40,2457876.08310,null
2017-05-02 15:46:25,2457876.15723,null
2017-07-05 07:12:44,2457939.80051,null
2017-07-05 08:58:54,2457939.87424,null
2017-08-11 06:32:14,2457976.77238,null
2017-10-12 23:41:13,2458039.48696,null
2017-10-13 01:27:58,2458039.56109,null
2017-11-09 01:14:34,2458066.55178,null
2017-12-12 22:52:55,2458100.45341,null
2017-12-13 00:39:40,2458100.52755,null
2018-01-10 04:36:44,2458128.69218,null
2018-01-10 06:23:29,2458128.76631,null
2018-02-12 04:06:36,2458161.67125,null
2018-02-12 05:53:21,2458161.74538,null
2018-03-13 09:49:13,2458190.90918,null
2018-03-13 11:35:58,2458190.98331,null
2018-04-16 11:05:09,2458224.96191,null
2018-05-15 15:03:43,2458254.12758,null
2018-06-20 14:27:27,2458290.10240,null
2018-06-20 16:14:12,2458290.17653,null
2018-07-18 08:15:40,2458317.84421,null
2018-07-18 10:02:25,2458317.91834,null
2018-08-24 07:35:14,2458354.81613,null
2018-09-20 01:24:04,2458381.55838,null
2018-09-20 03:10:49,2458381.63251,null
2018-10-25 12:44:30,2458417.03090,null
2018-10-25 14:31:15,2458417.10503,null
2018-11-21 18:31:02,2458444.27155,null
2018-11-21 20:17:47,2458444.34568,null
2018-12-25 07:43:37,2458477.82196,null
2019-02-24 23:10:16,2458539.46546,null
2019-03-26 04:53:24,2458568.70375,null
2019-03-26 06:40:09,2458568.77788,null
2019-04-29 16:21:47,2458603.18179,null
2019-04-29 18:08:32,2458603.25593,null
2019-05-28 11:54:00,2458631.99583,null
2019-07-03 21:30:16,2458668.39602,null
2019-07-03 23:16:26,2458668.46975,null
2019-07-26 17:25:03,2458691.22573,null
2019-07-26 19:11:48,2458691.29986,null
2019-08-30 12:59:35,2458726.04138,null
2019-08-30 14:45:45,2458726.11510,null
2019-09-29 14:12:33,2458756.09205,null
2019-09-29 15:59:18,2458756.16618,null
2019-11-02 15:49:25,2458790.15932,null
2019-11-02 17:36:10,2458790.23345,null
2019-11-30 06:43:08,2458817.77995,null
2020-01-03 12:41:22,2458852.02873,null
2020-01-03 14:28:07,2458852.10286,null
2020-01-29 07:42:56,2458877.82148,null
2020-01-29 09:29:41,2458877.89561,null
2020-03-30 16:33:43,2458939.19008,null
2020-05-05 06:19:24,2458974.76347,null
2020-05-05 08:06:09,2458974.83760,null
2020-06-03 01:27:07,2459003.56050,null
2020-06-03 03:13:52,2459003.63463,null
2020-08-24 21:19:40,2459086.38866,null
2020-09-20 19:22:13,2459113.30709,18.76
2020-09-20 21:08:47,2459113.38110,18.79
2020-10-26 06:42:43,2459148.77966,19.33

