Gaia20emu
#Date,JD,averagemag.
2014-09-12 03:18:30,2456912.638,untrusted
2015-01-13 18:23:47,2457036.267,18.53
2015-02-10 13:50:03,2457064.076,18.55
2015-03-23 16:54:36,2457105.205,18.55
2015-03-23 18:41:10,2457105.279,18.52
2015-03-23 22:54:49,2457105.455,18.57
2015-03-30 22:59:55,2457112.458,18.52
2015-03-31 00:46:29,2457112.532,18.54
2015-05-21 17:00:39,2457164.209,null
2015-05-21 21:14:00,2457164.385,18.51
2015-05-21 23:00:34,2457164.459,untrusted
2015-05-22 03:14:15,2457164.635,18.53
2015-05-22 05:01:05,2457164.709,null
2015-05-22 09:14:30,2457164.885,18.59
2015-05-22 11:01:04,2457164.959,18.55
2015-05-22 15:14:44,2457165.135,18.52
2015-05-22 17:01:19,2457165.209,18.58
2015-05-22 21:14:59,2457165.385,18.55
2015-05-23 03:15:13,2457165.636,18.54
2015-05-23 09:15:28,2457165.886,18.52
2015-05-23 15:15:43,2457166.136,18.59
2015-05-23 21:15:57,2457166.386,18.52
2015-05-23 23:02:31,2457166.460,18.56
2015-05-24 03:16:12,2457166.636,18.48
2015-05-24 05:02:46,2457166.710,18.53
2015-05-24 09:16:36,2457166.887,null
2015-05-24 11:03:01,2457166.960,18.55
2015-05-24 15:16:41,2457167.137,18.53
2015-05-24 17:03:16,2457167.211,18.54
2015-05-24 21:17:03,2457167.387,null
2015-05-24 23:03:31,2457167.461,18.54
2015-07-09 15:58:45,2457213.166,18.51
2015-08-06 03:50:32,2457240.660,null
2015-09-04 01:57:35,2457269.582,18.47
2015-09-04 03:44:09,2457269.656,18.49
2015-12-30 07:39:58,2457386.819,18.41
2016-01-27 21:07:07,2457415.380,18.37
2016-05-29 04:07:28,2457537.672,18.49
2016-05-29 05:54:02,2457537.746,18.39
2016-05-29 10:07:43,2457537.922,18.41
2016-06-08 10:15:01,2457547.927,18.40
2016-06-08 12:01:35,2457548.001,18.39
2016-07-19 23:07:11,2457589.463,untrusted
2016-08-20 15:05:41,2457621.129,18.55
2016-09-14 10:55:32,2457645.955,18.40
2016-09-14 15:09:13,2457646.131,18.38
2016-09-14 16:55:47,2457646.205,18.38
2017-02-09 21:38:48,2457794.402,18.35
2017-03-02 11:20:39,2457814.973,18.36
2017-06-07 20:14:36,2457912.343,18.34
2017-06-08 00:28:17,2457912.520,18.35
2017-06-23 06:35:19,2457927.775,18.35
2017-06-23 08:21:54,2457927.849,18.36
2017-07-31 11:52:57,2457965.995,18.31
2017-09-05 17:32:40,2458002.231,18.32
2017-09-05 19:19:15,2458002.305,18.29
2017-09-25 13:29:38,2458022.062,null
2017-09-25 17:43:24,2458022.238,null
2017-09-25 19:29:34,2458022.312,null
2017-11-27 23:40:53,2458085.487,18.27
2017-11-28 05:41:07,2458085.737,18.36
2017-11-28 07:27:41,2458085.811,18.28
2017-11-28 13:27:54,2458086.061,18.31
2017-12-13 17:49:52,2458101.243,18.28
2017-12-13 19:36:26,2458101.317,18.25
2017-12-13 23:50:05,2458101.493,18.28
2018-01-20 05:18:55,2458138.721,18.26
2018-01-20 07:05:29,2458138.795,18.26
2018-03-12 12:21:43,2458190.015,18.26
2018-06-18 03:16:13,2458287.636,18.28
2018-06-18 07:29:54,2458287.812,18.27
2018-07-07 19:33:23,2458307.315,18.31
2018-07-07 21:19:58,2458307.389,untrusted
2018-08-12 01:03:30,2458342.544,18.32
2018-08-12 02:50:05,2458342.618,18.29
2018-09-24 00:42:33,2458385.530,18.30
2018-09-24 02:29:08,2458385.604,18.30
2018-09-24 06:42:49,2458385.780,18.32
2018-09-24 08:29:23,2458385.854,18.33
2018-09-24 14:29:38,2458386.104,18.37
2018-10-05 02:38:39,2458396.610,18.36
2018-10-05 06:52:20,2458396.786,18.33
2018-10-05 08:38:54,2458396.860,18.31
2018-10-05 12:52:34,2458397.037,18.32
2018-10-05 14:39:09,2458397.111,18.28
2018-10-05 18:52:49,2458397.287,18.31
2018-10-05 20:39:24,2458397.361,18.32
2018-10-06 00:53:05,2458397.537,18.30
2018-12-08 12:50:09,2458461.035,18.26
2018-12-08 14:36:43,2458461.109,18.28
2018-12-30 00:53:11,2458482.537,untrusted
2018-12-30 02:39:45,2458482.611,18.26
2019-01-31 02:12:33,2458514.592,18.26
2019-03-09 17:28:22,2458552.228,untrusted
2019-03-22 05:33:37,2458564.732,18.20
2019-03-22 07:20:11,2458564.806,18.24
2019-06-28 22:20:46,2458663.431,18.14
2019-08-04 06:41:03,2458699.779,18.25
2019-08-04 10:54:44,2458699.955,18.21
2019-09-12 19:06:27,2458739.296,18.18
2019-09-12 20:53:02,2458739.370,18.22
2019-09-25 07:24:27,2458751.809,18.24
2019-09-25 09:11:02,2458751.883,18.11
2019-12-29 15:13:57,2458847.135,null
2020-01-21 02:13:26,2458869.593,18.11
2020-02-20 05:15:40,2458899.719,18.13
2020-06-18 19:29:19,2459019.312,18.03
2020-06-18 21:15:53,2459019.386,18.01
2020-07-16 08:27:49,2459046.853,18.00
2020-07-16 10:14:23,2459046.927,18.01
2020-08-12 14:48:58,2459074.117,17.96
2020-09-25 12:41:58,2459118.029,17.92
2020-09-25 14:28:33,2459118.103,17.90
2020-09-25 18:42:13,2459118.279,17.95
2020-09-25 20:28:48,2459118.353,17.93
2020-09-26 00:42:28,2459118.529,17.97
2020-09-26 02:29:03,2459118.604,17.94
2020-10-05 08:37:18,2459127.859,17.96
2020-10-05 12:50:58,2459128.035,17.94
2020-10-05 14:37:33,2459128.109,17.96
2020-10-05 18:51:13,2459128.286,17.88
2020-10-05 20:37:48,2459128.360,17.90
2020-10-06 00:51:28,2459128.536,17.93
2020-10-06 02:38:03,2459128.610,17.93
