Gaia20erm
#Date,JD,averagemag.
2014-09-11 11:09:34,2456911.965,untrusted
2014-10-15 14:18:20,2456946.096,untrusted
2014-10-15 16:04:54,2456946.170,untrusted
2015-02-26 15:14:52,2457080.135,null
2015-02-26 17:01:38,2457080.209,null
2015-04-18 21:03:49,2457131.378,null
2015-09-04 03:51:03,2457269.660,18.73
2015-09-04 05:37:36,2457269.734,18.94
2015-10-03 05:16:42,2457298.720,18.55
2015-10-25 15:25:00,2457321.142,18.81
2016-03-07 22:25:11,2457455.434,18.88
2016-04-07 22:06:13,2457486.421,16.63
2016-04-07 23:52:48,2457486.495,16.60
2016-04-27 11:58:51,2457505.999,16.85
2016-04-27 16:12:33,2457506.175,null
2016-10-17 10:25:17,2457678.934,null
2016-10-17 12:12:01,2457679.008,null
2016-11-02 10:29:02,2457694.937,19.20
2016-11-02 12:15:36,2457695.011,untrusted
2017-03-18 08:45:15,2457830.865,17.40
2017-03-18 12:58:57,2457831.041,untrusted
2017-04-24 06:30:10,2457867.771,18.51
2017-04-24 08:16:45,2457867.845,18.56
2017-04-24 12:30:26,2457868.021,18.39
2017-04-24 14:17:01,2457868.095,18.34
2017-05-05 06:39:12,2457878.777,16.98
2017-05-05 08:25:47,2457878.851,17.04
2017-05-05 12:39:28,2457879.027,17.30
2017-05-05 14:26:03,2457879.101,17.38
2017-08-08 02:04:11,2457973.586,18.05
2017-08-08 03:50:45,2457973.660,18.13
2017-08-08 08:04:24,2457973.836,18.42
2017-08-08 09:50:58,2457973.910,18.48
2017-08-16 08:10:11,2457981.840,null
2017-08-16 09:56:56,2457981.915,null
2017-08-16 14:10:16,2457982.090,19.13
2017-08-16 15:56:49,2457982.164,null
2017-11-03 20:32:37,2458061.356,null
2017-11-04 00:46:20,2458061.532,null
2017-11-04 02:33:05,2458061.606,null
2017-11-04 06:46:49,2458061.783,null
2017-11-04 08:32:58,2458061.856,null
2017-11-04 12:46:42,2458062.032,null
2017-11-07 18:49:14,2458065.284,18.61
2017-11-07 20:35:48,2458065.358,18.49
2017-11-08 00:49:27,2458065.534,18.83
2017-11-08 02:36:00,2458065.608,null
2017-11-08 06:49:39,2458065.784,18.97
2017-11-08 08:36:13,2458065.858,18.87
2017-11-08 12:49:52,2458066.035,18.74
2017-11-08 14:36:26,2458066.109,18.51
2018-02-08 14:29:33,2458158.104,18.69
2018-02-08 16:16:16,2458158.178,null
2018-03-29 02:10:21,2458206.591,19.06
2018-03-29 03:56:56,2458206.665,19.05
2018-08-15 09:05:46,2458345.879,untrusted
2018-08-15 10:52:20,2458345.953,18.72
2018-09-02 22:55:40,2458364.455,null
2018-10-05 08:39:03,2458396.860,19.04
2018-10-05 10:25:36,2458396.934,18.95
2019-02-17 03:34:51,2458531.649,18.82
2019-02-17 05:21:44,2458531.723,null
2019-03-10 03:37:03,2458552.651,18.24
2019-03-10 05:23:38,2458552.725,18.10
2019-04-08 17:08:26,2458582.214,null
2019-08-22 08:19:06,2458717.847,null
2019-09-13 10:45:09,2458739.948,null
2019-10-12 22:08:32,2458769.423,18.27
2019-10-12 23:55:06,2458769.497,18.12
2020-02-21 07:34:22,2458900.816,19.05
2020-02-21 09:20:57,2458900.890,untrusted
2020-03-16 08:29:32,2458924.854,null
2020-03-16 10:15:39,2458924.928,18.19
2020-04-12 09:36:50,2458951.901,18.86
2020-04-12 11:23:25,2458951.975,18.77
2020-08-15 15:04:07,2459077.128,19.04
2020-08-15 16:50:40,2459077.202,19.01
2020-09-03 21:06:49,2459096.380,null
2020-09-03 22:53:01,2459096.453,18.73
2020-10-05 20:37:48,2459128.360,16.53
2020-10-05 22:24:21,2459128.434,16.56
2021-02-17 11:20:00,2459262.972,19.05
2021-02-17 15:33:41,2459263.148,18.91
2021-03-11 03:35:03,2459284.649,18.77

