Gaia20euy
#Date,JD,averagemag.
2014-09-18 20:37:50,2456919.360,untrusted
2014-10-24 07:40:09,2456954.820,untrusted
2015-02-19 17:44:53,2457073.240,18.66
2015-02-19 19:31:27,2457073.314,18.62
2015-03-17 07:23:59,2457098.808,18.19
2015-09-11 07:19:29,2457276.805,null
2015-09-11 09:05:44,2457276.879,18.35
2015-11-04 07:04:57,2457330.795,18.55
2015-11-04 08:51:32,2457330.869,18.52
2016-03-01 12:53:53,2457449.037,18.77
2016-03-01 14:40:28,2457449.111,null
2016-03-31 00:33:56,2457478.524,18.59
2016-04-24 00:24:04,2457502.517,18.77
2016-04-24 02:10:38,2457502.591,18.76
2016-08-02 21:15:11,2457603.386,null
2016-08-02 23:01:21,2457603.459,null
2016-08-03 03:14:57,2457603.635,18.74
2016-08-03 05:01:31,2457603.709,18.59
2016-08-10 03:21:03,2457610.640,18.71
2016-08-10 05:07:38,2457610.714,18.66
2016-08-10 09:21:19,2457610.890,18.66
2016-08-10 11:07:53,2457610.964,18.71
2016-09-21 04:14:23,2457652.677,18.62
2016-09-21 08:28:04,2457652.853,18.73
2016-10-22 14:10:57,2457684.091,18.70
2016-11-13 22:02:25,2457706.418,18.61
2016-11-14 02:16:06,2457706.595,18.65
2017-03-12 15:25:27,2457825.143,null
2017-03-12 17:11:47,2457825.217,18.61
2017-04-14 10:38:13,2457857.943,18.87
2017-05-04 10:36:28,2457877.942,18.96
2017-08-11 17:34:26,2457977.232,18.84
2017-08-11 19:21:01,2457977.306,18.92
2017-08-25 17:42:35,2457991.238,null
2017-08-25 19:28:45,2457991.312,null
2017-10-02 06:46:54,2458028.783,18.66
2017-11-07 16:37:49,2458065.193,18.69
2017-11-07 18:24:24,2458065.267,18.69
2017-11-23 12:34:36,2458081.024,18.63
2017-11-23 16:48:17,2458081.200,18.57
2017-11-23 18:34:52,2458081.274,18.63
2017-11-23 22:48:32,2458081.450,18.57
2018-01-31 04:56:48,2458149.706,18.56
2018-01-31 06:43:22,2458149.780,18.64
2018-01-31 10:57:01,2458149.956,18.58
2018-01-31 12:43:50,2458150.030,null
2018-02-13 12:51:35,2458163.036,19.03
2018-02-13 17:05:14,2458163.212,18.93
2018-02-13 18:51:47,2458163.286,18.97
2018-03-23 16:33:29,2458201.190,18.66
2018-03-23 18:20:03,2458201.264,18.56
2018-04-28 23:33:10,2458237.481,18.81
2018-05-14 09:50:59,2458252.910,null
2018-05-14 11:37:22,2458252.984,18.94
2018-08-21 12:36:02,2458352.025,18.71
2018-08-21 14:22:37,2458352.099,18.90
2018-09-09 12:40:19,2458371.028,18.28
2018-09-09 14:26:53,2458371.102,18.36
2018-10-13 12:11:15,2458405.008,18.64
2019-02-09 12:04:38,2458524.003,18.53
2019-02-09 13:51:12,2458524.077,untrusted
2019-03-02 07:54:15,2458544.829,18.62
2019-03-02 12:07:54,2458545.005,18.70
2019-04-03 17:41:03,2458577.237,18.84
2019-04-03 19:27:37,2458577.311,18.83
2019-05-13 22:41:55,2458617.446,18.62
2019-05-14 00:28:29,2458617.520,18.63
2019-05-14 04:42:08,2458617.696,18.69
2019-05-23 10:47:56,2458626.950,18.84
2019-05-23 12:34:30,2458627.024,18.86
2019-08-14 05:34:03,2458709.732,18.69
2019-08-14 07:20:38,2458709.806,18.80
2019-09-05 12:12:54,2458732.009,18.77
2019-09-05 13:59:28,2458732.083,untrusted
2019-10-08 01:40:24,2458764.570,18.94
2019-11-16 15:56:10,2458804.164,19.18
2019-11-16 17:42:45,2458804.238,19.12
2019-11-25 04:06:48,2458812.671,18.74
2019-11-25 05:53:23,2458812.745,18.76
2019-11-25 10:07:04,2458812.922,18.72
2020-02-28 00:04:57,2458907.503,19.64
2020-03-21 23:04:59,2458930.462,19.08
2020-04-21 06:17:59,2458960.762,19.36
2020-04-21 08:04:33,2458960.836,19.27
2020-08-22 00:34:24,2459083.524,19.90
2020-09-10 06:38:01,2459102.776,19.39
2020-09-10 08:24:36,2459102.850,19.29
2020-10-14 00:10:12,2459136.507,20.00
2020-10-14 01:56:47,2459136.581,19.86
2021-02-10 00:03:27,2459255.502,19.45
2021-02-10 01:50:01,2459255.576,19.41
2021-03-03 07:52:14,2459276.828,19.17
2021-04-04 05:39:40,2459308.736,19.56
2021-04-04 07:26:13,2459308.810,19.52

