Gaia20ewj
#Date,JD(TCB),averagemag
2015-02-16 14:28:34,2457070.10317,null
2015-02-16 16:14:45,2457070.17691,null
2015-03-15 08:24:59,2457096.85068,null
2015-03-15 10:11:45,2457096.92483,null
2015-04-13 02:11:56,2457125.59162,null
2015-04-13 03:58:41,2457125.66575,null
2015-05-24 07:12:37,2457166.80043,null
2015-05-24 08:58:48,2457166.87417,null
2015-07-23 01:25:35,2457226.55943,null
2015-07-23 05:39:20,2457226.73565,null
2015-07-23 07:26:04,2457226.80977,null
2015-08-01 01:31:32,2457235.56356,null
2015-08-01 05:45:16,2457235.73977,null
2015-09-12 22:34:04,2457278.44032,null
2015-10-09 22:18:49,2457305.42973,null
2015-10-10 00:04:59,2457305.50346,null
2015-11-07 10:04:52,2457333.92005,null
2015-11-07 11:51:36,2457333.99417,null
2016-01-02 17:36:16,2457390.23352,null
2016-01-02 23:36:11,2457390.48346,null
2016-01-03 05:36:41,2457390.73381,null
2016-01-03 11:36:36,2457390.98375,null
2016-01-03 15:50:21,2457391.15997,null
2016-01-03 17:37:06,2457391.23410,null
2016-01-03 21:50:52,2457391.41032,null
2016-01-03 23:37:37,2457391.48446,null
2016-01-04 03:50:47,2457391.66027,null
2016-01-04 05:37:32,2457391.73440,null
2016-01-04 09:51:17,2457391.91061,null
2016-01-04 11:38:02,2457391.98475,null
2016-01-04 15:51:47,2457392.16096,null
2016-01-04 17:37:57,2457392.23469,null
2016-01-04 21:51:42,2457392.41090,null
2016-01-04 23:38:27,2457392.48503,null
2016-01-05 03:52:12,2457392.66125,null
2016-01-05 05:38:22,2457392.73498,null
2016-01-05 11:38:52,2457392.98532,null
2016-01-05 17:39:23,2457393.23568,null
2016-01-05 23:39:18,2457393.48563,null
2016-02-28 03:39:26,2457446.65238,null
2016-03-28 21:26:02,2457476.39308,null
2016-03-28 23:12:12,2457476.46681,null
2016-04-23 05:05:44,2457501.71231,null
2016-06-06 08:08:59,2457545.83957,null
2016-06-06 09:55:44,2457545.91370,null
2016-06-13 02:14:33,2457552.59344,null
