Gaia20fdk
#Date,JD,averagemag.
2014-11-21 03:30:42,2456982.646,20.20
2015-04-28 14:25:22,2457141.101,null
2015-04-28 16:12:07,2457141.175,null
2015-05-27 22:00:04,2457170.417,null
2015-06-20 02:15:05,2457193.594,20.39
2015-06-20 04:01:40,2457193.668,20.38
2015-11-05 15:06:49,2457332.130,20.63
2015-12-05 20:38:34,2457362.360,20.66
2015-12-05 22:25:39,2457362.434,null
2015-12-24 20:38:19,2457381.360,untrusted
2015-12-24 22:24:53,2457381.434,20.58
2016-05-08 09:36:41,2457516.900,20.68
2016-06-11 21:13:22,2457551.384,null
2016-06-11 22:59:53,2457551.458,20.57
2016-06-28 09:22:40,2457567.891,null
2016-06-28 11:08:51,2457567.964,null
2016-06-28 15:22:37,2457568.141,null
2016-11-15 00:01:31,2457707.501,untrusted
2016-12-20 09:34:35,2457742.899,20.70
2016-12-20 11:21:08,2457742.973,null
2016-12-31 15:40:34,2457754.153,untrusted
2016-12-31 17:27:08,2457754.227,untrusted
2017-04-01 18:34:01,2457845.274,null
2017-04-01 20:20:18,2457845.347,20.84
2017-04-02 00:34:00,2457845.524,20.72
2017-04-02 02:20:43,2457845.598,null
2017-04-10 12:41:33,2457854.029,untrusted
2017-04-10 14:28:09,2457854.103,null
2017-04-10 18:41:55,2457854.279,null
2017-04-10 20:28:23,2457854.353,20.72
2017-05-19 07:57:26,2457892.832,20.53
2017-07-01 05:41:10,2457935.737,20.62
2017-07-01 11:41:38,2457935.987,null
2017-07-01 13:28:23,2457936.061,null
2017-07-01 17:41:42,2457936.237,20.49
2017-07-01 19:28:17,2457936.311,untrusted
2017-07-01 23:42:06,2457936.488,null
2017-07-02 01:28:33,2457936.561,20.44
2017-07-02 05:42:37,2457936.738,null
2017-07-02 07:28:48,2457936.812,null
2017-07-02 11:42:30,2457936.988,20.43
2017-07-02 13:29:05,2457937.062,20.48
2017-07-02 17:42:46,2457937.238,20.53
2017-07-02 19:29:21,2457937.312,20.51
2017-07-02 23:43:02,2457937.488,untrusted
2017-07-03 01:29:37,2457937.562,20.52
2017-07-03 05:43:18,2457937.738,untrusted
2017-07-03 07:29:53,2457937.812,20.58
2017-07-03 11:44:05,2457937.989,null
2017-10-08 01:17:31,2458034.554,null
2017-10-08 03:03:41,2458034.628,null
2017-10-08 07:17:19,2458034.804,20.51
2017-10-08 09:03:53,2458034.878,20.45
2017-10-22 07:22:54,2458048.808,20.29
2017-10-22 09:09:27,2458048.882,20.34
2017-11-25 12:46:03,2458083.032,null
2017-11-25 14:32:29,2458083.106,untrusted
2018-04-09 01:36:45,2458217.567,null
2018-04-09 03:22:49,2458217.641,untrusted
2018-04-09 07:36:30,2458217.817,20.41
2018-04-27 09:29:49,2458235.896,20.44
2018-05-30 07:23:04,2458268.808,null
2018-10-16 20:21:07,2458408.348,untrusted
2018-10-16 22:07:40,2458408.422,20.30
2018-11-06 20:18:37,2458429.346,20.30
2018-12-05 19:53:57,2458458.329,20.07
2018-12-05 21:40:31,2458458.403,20.13
2019-04-18 14:44:00,2458592.114,20.07
2019-04-18 16:30:34,2458592.188,20.11
2019-05-12 20:42:41,2458616.363,20.05
2019-05-12 22:29:13,2458616.437,null
2019-06-10 02:34:04,2458644.607,null
2019-10-22 17:04:59,2458779.212,20.11
2019-10-22 18:51:33,2458779.286,20.06
2019-11-15 13:39:30,2458803.069,20.17
2019-12-12 00:52:47,2458829.537,null
2019-12-12 02:39:11,2458829.611,20.24
2020-04-23 06:03:01,2458962.752,19.97
2020-05-20 11:22:55,2458989.974,19.94
2020-05-20 13:09:58,2458990.049,null
2020-06-14 20:07:04,2459015.338,19.78
2020-06-15 00:20:45,2459015.514,19.89
2020-10-17 02:19:28,2459139.597,19.27
2020-10-17 04:06:02,2459139.671,19.28
2020-11-07 14:15:58,2459161.094,18.76
2020-11-07 16:02:32,2459161.168,18.74
2020-12-06 07:52:40,2459189.828,untrusted
2020-12-06 09:39:13,2459189.902,19.67
2021-04-18 22:29:10,2459323.437,19.79
2021-04-19 02:42:51,2459323.613,19.69
2021-05-13 20:40:37,2459348.362,19.73

