Gaia20feu
#Date,JD(TCB),averagemag
2014-08-30 09:35:19,2456899.89953,18.60
2014-10-04 06:35:48,2456934.77486,untrusted
2014-10-04 10:49:28,2456934.95102,untrusted
2015-01-06 19:50:00,2457029.32639,19.09
2015-01-06 21:36:34,2457029.40039,19.02
2015-01-25 07:48:42,2457047.82549,18.58
2015-02-28 01:07:39,2457081.54698,null
2015-02-28 02:54:24,2457081.62111,null
2015-04-07 20:24:37,2457120.35043,null
2015-04-08 00:38:14,2457120.52655,18.74
2015-04-25 18:48:21,2457138.28358,null
2015-04-25 20:34:31,2457138.35730,null
2015-04-26 00:48:16,2457138.53352,null
2015-04-26 02:35:01,2457138.60765,null
2015-06-25 00:40:12,2457198.52792,18.52
2015-06-25 02:26:46,2457198.60192,18.51
2015-06-25 06:40:27,2457198.77809,18.54
2015-07-18 18:48:27,2457222.28365,18.55
2015-07-18 20:35:02,2457222.35766,18.54
2015-08-22 12:29:51,2457257.02073,18.83
2015-09-29 05:44:19,2457294.73911,18.61
2015-09-29 07:30:54,2457294.81313,18.60
2015-10-14 13:36:50,2457310.06725,18.54
2015-11-30 16:13:17,2457357.17589,18.57
2015-11-30 17:59:52,2457357.24991,18.58
2015-11-30 22:13:32,2457357.42606,18.58
2015-12-01 00:00:06,2457357.50007,18.56
2015-12-01 04:13:45,2457357.67622,18.56
2015-12-01 06:00:20,2457357.75023,18.55
2015-12-01 10:13:59,2457357.92638,18.54
2015-12-01 12:00:33,2457358.00038,18.56
2015-12-01 18:00:47,2457358.25054,18.49
2015-12-03 00:01:54,2457359.50132,18.62
2015-12-03 04:16:02,2457359.67780,null
2015-12-03 06:02:08,2457359.75148,18.67
2015-12-03 10:15:47,2457359.92763,18.76
2015-12-03 12:02:21,2457360.00163,18.70
2015-12-03 16:16:01,2457360.17779,18.76
2015-12-03 18:02:35,2457360.25179,18.75
2015-12-03 22:16:15,2457360.42795,18.81
2015-12-04 00:02:49,2457360.50196,18.80
2016-01-17 02:51:41,2457404.61922,18.59
2016-02-07 22:30:39,2457426.43795,18.53
2016-03-10 08:15:27,2457457.84406,18.62
2016-03-10 10:02:00,2457457.91806,18.58
2016-04-26 03:36:18,2457504.65021,18.62
2016-04-26 07:50:29,2457504.82672,null
2016-04-26 09:36:32,2457504.90037,18.61
2016-04-26 13:50:12,2457505.07653,18.61
2016-04-26 15:36:46,2457505.15053,18.62
2016-04-26 19:50:26,2457505.32669,18.71
2016-04-26 21:37:03,2457505.40073,null
2016-04-27 01:50:39,2457505.57684,18.75
2016-05-05 19:57:56,2457514.33190,18.73
2016-05-05 21:44:30,2457514.40590,18.71
2016-05-06 01:58:10,2457514.58206,18.68
2016-05-06 03:44:44,2457514.65606,18.66
2016-05-06 07:58:23,2457514.83221,18.67
2016-05-06 09:44:58,2457514.90623,18.65
2016-05-06 13:58:37,2457515.08237,18.64
2016-05-06 15:45:12,2457515.15639,18.67
2016-05-06 21:45:26,2457515.40655,18.59
2016-07-06 03:38:35,2457575.65179,18.95
2016-07-06 07:52:15,2457575.82795,18.90
2016-08-02 13:52:28,2457603.07810,18.68
2016-08-02 15:39:03,2457603.15212,18.64
2016-09-01 21:25:13,2457633.39251,18.59
2016-10-12 00:41:15,2457673.52865,18.60
2016-10-12 02:27:49,2457673.60265,18.57
2016-10-23 08:34:49,2457684.85751,18.62
2016-10-23 12:48:29,2457685.03367,18.62
2016-10-23 14:35:04,2457685.10769,18.62
2016-12-08 23:05:30,2457731.46215,18.59
2016-12-09 00:52:04,2457731.53616,18.58
2016-12-09 05:05:44,2457731.71231,18.53
2016-12-09 06:52:18,2457731.78632,18.52
2016-12-16 05:10:49,2457738.71584,18.62
2016-12-16 06:57:23,2457738.78985,18.63
2016-12-16 11:11:03,2457738.96601,18.67
2017-01-26 11:41:39,2457779.98726,null
2017-02-20 23:03:12,2457805.46056,18.49
2017-02-21 00:49:46,2457805.53456,18.46
2017-03-21 22:46:51,2457834.44920,18.60
2017-03-22 00:33:25,2457834.52321,18.63
2017-07-18 04:26:18,2457952.68493,null
2017-07-18 06:12:50,2457952.75891,18.92
2017-08-17 16:16:38,2457983.17822,18.83
2017-08-17 18:03:13,2457983.25223,18.84
2017-09-13 04:08:49,2458009.67279,null
2017-10-25 21:00:13,2458052.37515,18.87
2017-10-25 22:46:47,2458052.44916,18.88
2017-11-01 22:52:30,2458059.45313,18.76
2017-11-02 03:06:10,2458059.62928,18.65
2017-11-02 04:52:45,2458059.70330,18.73
2017-12-18 13:22:30,2458106.05729,18.87
2017-12-18 15:09:04,2458106.13130,18.94
2017-12-29 15:14:24,2458117.13500,18.80
2017-12-29 19:28:04,2458117.31116,18.83
2018-02-06 06:22:38,2458155.76572,untrusted
2018-02-06 08:09:12,2458155.83972,18.68
2018-03-07 07:47:46,2458184.82484,18.71
2018-03-07 12:01:25,2458185.00098,18.81
2018-04-02 11:56:13,2458210.99737,18.79
2018-04-02 13:42:47,2458211.07138,18.78
2018-06-01 01:31:45,2458270.56372,null
2018-06-01 05:45:27,2458270.73990,untrusted
2018-06-01 07:32:01,2458270.81390,18.82
2018-06-01 11:45:42,2458270.99007,18.79
2018-06-01 13:32:16,2458271.06407,18.65
2018-06-01 17:45:56,2458271.24023,18.74
2018-06-01 19:32:31,2458271.31425,18.77
2018-06-01 23:46:11,2458271.49041,18.78
2018-06-02 05:46:25,2458271.74057,18.78
2018-06-11 11:54:37,2458280.99626,18.79
2018-06-11 13:41:12,2458281.07028,18.80
2018-06-11 17:54:52,2458281.24644,18.79
