Gaia20fnc
#Date,JD(TCB),averagemag
2014-09-19 10:36:32,2456919.94204,untrusted
2014-09-26 06:16:49,2456926.76168,untrusted
2014-09-26 08:03:24,2456926.83569,untrusted
2014-10-26 00:04:53,2456956.50339,untrusted
2014-10-26 01:51:28,2456956.57741,untrusted
2015-02-16 05:40:18,2457069.73632,18.58
2015-02-16 07:26:51,2457069.81031,18.54
2015-03-16 17:25:26,2457098.22600,18.55
2015-05-25 03:57:38,2457167.66502,null
2015-05-25 05:44:12,2457167.73903,18.59
2015-05-25 09:57:52,2457167.91519,18.64
2015-06-01 22:03:21,2457175.41899,18.63
2015-06-01 23:49:55,2457175.49300,18.62
2015-07-21 08:22:09,2457224.84872,18.58
2015-07-21 10:08:43,2457224.92272,18.57
2015-08-01 08:30:06,2457235.85424,null
2015-08-01 10:16:16,2457235.92796,null
2015-09-11 15:17:54,2457277.13743,18.57
2015-10-11 01:18:14,2457306.55433,null
2015-10-11 03:05:00,2457306.62847,null
2015-11-06 13:16:06,2457333.05285,18.55
2015-11-06 15:02:41,2457333.12686,18.53
2016-01-03 19:08:11,2457391.29735,null
2016-01-03 20:54:21,2457391.37108,null
2016-01-04 01:08:06,2457391.54729,null
2016-01-04 02:54:51,2457391.62142,null
2016-01-04 07:08:09,2457391.79733,18.61
2016-01-04 08:54:44,2457391.87134,18.60
2016-01-04 13:08:23,2457392.04749,18.60
2016-01-04 14:54:57,2457392.12149,18.59
2016-01-04 19:08:37,2457392.29765,18.59
2016-01-04 20:55:11,2457392.37166,18.58
2016-01-05 01:08:51,2457392.54781,18.62
2016-01-05 02:55:25,2457392.62182,18.58
2016-01-05 08:55:38,2457392.87197,18.58
2016-01-05 14:55:52,2457393.12213,18.58
2016-01-09 08:59:09,2457396.87441,18.62
2016-01-09 14:59:23,2457397.12457,18.58
2016-01-09 19:13:02,2457397.30072,18.59
2016-01-09 20:59:36,2457397.37472,18.60
2016-01-10 01:13:16,2457397.55088,18.58
2016-01-10 02:59:50,2457397.62488,18.60
2016-01-10 07:13:29,2457397.80103,18.60
2016-01-10 09:00:03,2457397.87503,18.57
2016-01-10 13:13:43,2457398.05119,untrusted
2016-01-10 15:00:17,2457398.12520,18.59
2016-01-10 19:13:57,2457398.30135,18.61
2016-01-10 21:00:31,2457398.37536,18.57
