Gaia20fqa
#Date,JD,averagemag.
2014-10-28 13:59:54,2456959.083,untrusted
2014-10-28 15:46:28,2456959.157,19.65
2014-11-20 09:39:39,2456981.903,null
2015-04-29 16:04:25,2457142.170,null
2015-05-25 21:59:52,2457168.417,null
2015-06-21 09:54:41,2457194.913,null
2015-06-21 14:08:10,2457195.089,19.75
2015-11-07 15:06:49,2457334.130,19.50
2015-11-07 16:53:23,2457334.204,19.48
2015-12-05 02:47:05,2457361.616,19.89
2015-12-27 14:40:11,2457384.111,19.53
2015-12-27 16:26:45,2457384.185,19.58
2016-05-09 05:14:55,2457517.719,19.65
2016-06-09 09:12:10,2457548.883,null
2016-06-09 10:58:45,2457548.957,19.44
2016-06-30 11:03:23,2457569.961,null
2016-06-30 15:17:09,2457570.137,null
2016-11-16 22:14:41,2457709.427,null
2016-11-17 00:01:25,2457709.501,null
2016-12-18 21:41:56,2457741.404,null
2016-12-18 23:28:41,2457741.478,null
2017-01-04 09:45:28,2457757.907,null
2017-01-04 11:31:45,2457757.980,19.65
2017-05-20 01:49:01,2457893.576,19.63
2017-06-25 11:34:59,2457929.983,null
2017-06-25 13:21:45,2457930.057,null
2017-07-09 05:44:49,2457943.739,null
2017-07-09 07:31:34,2457943.814,null
2017-07-09 11:44:45,2457943.989,19.84
2017-10-12 19:24:26,2458039.309,null
2017-10-13 01:24:07,2458039.558,untrusted
2017-10-13 03:10:41,2458039.632,19.68
2017-10-13 07:24:20,2458039.809,19.58
2017-10-13 09:10:53,2458039.883,19.55
2017-10-19 19:29:30,2458046.312,null
2017-10-19 21:15:36,2458046.386,19.55
2017-10-20 01:29:23,2458046.562,null
2017-10-20 03:16:08,2458046.636,null
2018-01-05 00:03:10,2458123.502,null
2018-01-05 01:49:39,2458123.576,19.79
2018-01-05 06:03:18,2458123.752,19.72
2018-01-05 07:50:23,2458123.827,null
2018-01-05 12:03:31,2458124.002,null
2018-01-10 00:07:00,2458128.505,19.79
2018-01-10 01:53:32,2458128.579,null
2018-01-10 06:07:12,2458128.755,untrusted
2018-01-10 07:53:46,2458128.829,19.69
2018-01-10 12:07:25,2458129.005,19.62
2018-01-10 13:53:59,2458129.079,19.72
2018-04-11 15:18:35,2458220.138,null
2018-04-11 19:32:21,2458220.314,null
2018-04-11 21:19:06,2458220.388,null
2018-04-24 13:41:48,2458233.071,null
2018-04-24 15:27:57,2458233.144,19.55
2018-05-31 01:14:45,2458269.552,null
2018-05-31 03:00:56,2458269.626,null
2018-10-19 20:23:53,2458411.350,untrusted
2018-10-19 22:10:27,2458411.424,untrusted
2018-11-05 20:27:17,2458428.352,null
2018-12-07 19:53:45,2458460.329,untrusted
2018-12-07 21:40:42,2458460.403,null
2019-04-20 02:37:48,2458593.610,null
2019-04-20 04:23:58,2458593.683,null
2019-05-10 20:42:52,2458614.363,null
2019-06-11 02:26:00,2458645.601,19.79
2019-10-23 23:14:33,2458780.468,null
2019-10-24 01:01:17,2458780.543,null
2019-11-13 13:36:04,2458801.067,null
2020-04-25 16:20:09,2458965.181,19.58
2020-04-25 18:07:13,2458965.255,null
2020-05-19 17:12:51,2458989.217,null
2020-05-19 18:59:36,2458989.291,null
2020-06-17 06:24:54,2459017.767,null
2020-06-17 08:11:05,2459017.841,null
2020-10-20 02:22:05,2459142.599,19.43
2020-10-20 04:08:59,2459142.673,null
2020-11-06 16:10:47,2459160.174,19.41
2020-11-06 20:24:34,2459160.350,null
2020-12-08 07:52:29,2459191.828,17.53
2020-12-08 09:39:02,2459191.902,17.55

