Gaia21ahe
#Date,JD,averagemag.
2015-05-04 05:46:10,2457146.740,null
2015-05-04 07:32:54,2457146.815,null
2015-05-29 07:22:31,2457171.807,null
2015-05-29 11:35:40,2457171.983,null
2015-06-26 23:20:45,2457200.473,null
2015-06-27 01:07:30,2457200.547,null
2015-11-03 19:24:17,2457330.309,null
2015-11-03 23:37:28,2457330.484,null
2015-11-30 11:29:47,2457356.979,null
2015-11-30 13:16:33,2457357.053,null
2015-12-24 23:23:42,2457381.475,null
2016-05-13 18:52:48,2457522.287,null
2016-05-13 20:39:33,2457522.361,null
2016-06-12 18:31:52,2457552.272,null
2016-06-12 20:18:36,2457552.346,null
2016-07-06 14:16:01,2457576.094,null
2016-07-06 18:29:45,2457576.271,null
2016-11-13 08:35:16,2457705.858,null
2016-11-13 12:49:02,2457706.034,null
2016-12-13 20:14:37,2457736.343,null
2017-01-02 14:16:20,2457756.095,null
2017-04-08 22:14:08,2457852.426,null
2017-04-09 04:14:37,2457852.677,null
2017-04-09 06:00:46,2457852.751,null
2017-04-09 10:14:30,2457852.927,null
2017-04-09 12:01:15,2457853.001,null
2017-04-09 16:14:59,2457853.177,null
2017-04-09 18:01:44,2457853.251,null
2017-04-09 22:14:53,2457853.427,null
2017-04-10 00:01:37,2457853.501,null
2017-04-10 04:15:21,2457853.677,null
2017-04-10 06:02:06,2457853.751,null
2017-04-10 10:15:15,2457853.927,null
2017-04-10 12:02:00,2457854.001,null
2017-04-10 16:15:44,2457854.178,null
2017-04-10 18:02:28,2457854.252,null
2017-04-10 22:16:12,2457854.428,null
2017-04-11 00:02:22,2457854.502,null
2017-04-11 04:16:06,2457854.678,null
2017-04-11 06:02:51,2457854.752,null
2017-04-11 10:16:35,2457854.928,null
2017-04-11 12:02:44,2457855.002,null
2017-04-11 16:16:28,2457855.178,null
2017-04-11 18:03:13,2457855.252,null
2017-04-11 22:16:57,2457855.428,null
2017-06-29 02:52:54,2457933.620,null
2017-06-29 04:39:04,2457933.694,null
2017-07-16 02:59:27,2457950.625,null
2017-07-16 04:45:36,2457950.698,null
2017-07-16 08:59:20,2457950.875,null
2017-07-16 10:46:05,2457950.949,null
2017-11-24 03:22:56,2458081.641,null
2017-12-28 08:48:38,2458115.867,null
2017-12-28 10:35:23,2458115.941,null
2018-01-11 10:42:12,2458129.946,null
2018-01-11 14:55:58,2458130.122,null
2018-04-15 05:08:56,2458223.715,null
2018-04-15 06:55:41,2458223.789,null
2018-04-29 05:14:27,2458237.718,null
2018-04-29 07:01:12,2458237.793,null
2018-06-04 22:31:16,2458274.438,null
2018-06-05 00:18:00,2458274.513,null
2018-10-15 22:47:23,2458407.450,null
2018-10-16 00:34:09,2458407.524,null
2018-10-16 04:47:20,2458407.700,null
2018-10-31 04:57:21,2458422.706,null
2018-10-31 06:44:07,2458422.781,null
2018-10-31 10:57:18,2458422.956,null
2018-12-04 16:33:27,2458457.190,null
2019-01-13 03:48:23,2458496.659,null
2019-01-13 05:35:08,2458496.733,null
2019-01-13 09:48:19,2458496.909,null
2019-01-13 11:35:05,2458496.983,null
2019-01-13 17:35:36,2458497.233,null
2019-01-17 23:39:15,2458501.486,null
2019-01-18 03:53:01,2458501.662,null
2019-01-18 05:39:47,2458501.736,null
2019-01-18 09:53:33,2458501.912,null
2019-01-18 11:39:43,2458501.986,null
2019-04-24 12:10:33,2458598.007,null
