Gaia21aji
#Date,JD(TCB),averagemag
2014-08-25 21:01:42,2456895.37618,null
2015-01-31 15:59:23,2457054.16624,null
2015-03-07 13:30:09,2457089.06260,null
2015-03-07 15:16:54,2457089.13674,null
2015-04-05 20:59:14,2457118.37447,null
2015-05-08 18:51:23,2457151.28568,null
2015-05-08 20:38:08,2457151.35981,null
2015-06-12 12:30:49,2457186.02140,null
2015-06-12 14:17:34,2457186.09553,null
2015-07-15 08:01:46,2457218.83456,null
2015-08-16 23:58:30,2457251.49896,null
2015-08-17 01:45:16,2457251.57310,null
2015-09-20 23:26:58,2457286.47706,null
2015-09-21 01:13:43,2457286.55119,null
2015-10-16 23:17:18,2457312.47035,null
2015-10-17 01:03:28,2457312.54407,null
2015-11-22 16:25:27,2457349.18434,null
2015-12-14 18:06:05,2457371.25422,null
2016-02-13 09:13:02,2457431.88405,null
2016-02-13 10:59:47,2457431.95818,null
2016-03-18 20:34:46,2457466.35748,null
2016-04-18 14:16:38,2457497.09488,null
2016-05-21 01:57:39,2457529.58170,null
2016-05-21 03:44:24,2457529.65583,null
2016-06-25 03:23:59,2457564.64166,null
2016-06-25 07:37:44,2457564.81787,null
2016-07-28 09:07:05,2457597.87992,null
2016-08-28 19:04:20,2457629.29468,null
2016-10-03 06:28:33,2457664.76983,null
2016-10-03 08:15:18,2457664.84396,null
2016-10-28 00:20:21,2457689.51413,null
2016-10-28 02:06:31,2457689.58786,null
2016-12-03 19:12:07,2457726.30008,null
2016-12-25 23:19:36,2457748.47194,null
2017-01-30 22:26:05,2457784.43478,null
2017-02-25 07:22:59,2457809.80763,null
2017-03-31 05:02:14,2457843.70988,null
2017-03-31 06:48:59,2457843.78402,null
2017-05-02 06:29:21,2457875.77038,null
2017-05-02 10:43:06,2457875.94660,null
2017-06-03 18:12:55,2457908.25897,null
2017-07-08 17:53:21,2457943.24538,null
2017-08-11 09:46:48,2457976.90750,null
2017-08-11 11:33:33,2457976.98163,null
2017-09-10 09:32:30,2458006.89757,null
2017-11-09 02:44:59,2458066.61457,null
2017-12-15 19:48:36,2458103.32542,null
2017-12-15 21:35:21,2458103.39955,null
2018-01-07 01:42:07,2458125.57091,null
2018-01-07 03:28:17,2458125.64464,null
2018-02-11 18:51:25,2458161.28571,null
2018-03-10 08:23:50,2458187.84988,null
2018-03-10 12:37:34,2458188.02609,null
2018-04-13 00:07:53,2458221.50547,null
2018-05-16 05:47:59,2458254.74166,null
2018-06-17 17:32:57,2458287.23122,null
2018-07-22 01:00:01,2458321.54168,null
2018-07-22 05:13:47,2458321.71791,null
2018-08-25 04:50:33,2458355.70177,null
2018-08-25 06:37:18,2458355.77590,null
2018-09-22 18:24:04,2458384.26671,null
2018-11-20 23:32:58,2458443.48123,null
2018-12-27 16:35:46,2458480.19150,null
2019-01-19 10:28:23,2458502.93638,null
2019-03-23 15:25:45,2458566.14288,null
2019-03-23 19:39:30,2458566.31910,null
2019-04-25 19:13:36,2458599.30111,null
2019-04-25 21:00:20,2458599.37523,null
2019-05-30 00:53:32,2458633.53718,null
2019-05-30 02:40:17,2458633.61131,null
2019-07-01 12:38:45,2458666.02691,null
2019-07-01 14:24:55,2458666.10064,null
2019-07-23 02:16:58,2458687.59512,null
2019-07-23 04:03:43,2458687.66925,null
2019-08-29 05:59:01,2458724.74932,null
2019-09-27 01:08:32,2458753.54759,null
2019-10-30 00:49:39,2458786.53448,null
2019-12-01 20:13:38,2458819.34280,null
2020-01-01 09:28:29,2458849.89478,null
2020-01-01 11:15:14,2458849.96891,null
2020-02-01 22:48:19,2458881.45022,null
2020-02-02 00:35:04,2458881.52435,null
2020-03-06 00:20:08,2458914.51398,null
2020-05-08 21:20:46,2458978.38942,null
2020-05-08 23:07:30,2458978.46354,null
2020-06-01 10:10:27,2459001.92392,null
2020-06-01 11:57:12,2459001.99806,null
2020-07-10 08:05:09,2459040.83691,null
2020-08-25 22:48:46,2459087.45053,null
2020-08-26 00:35:31,2459087.52466,null
2020-09-23 10:36:07,2459115.94175,null
2020-09-23 12:22:52,2459116.01588,null
2020-10-29 15:51:10,2459152.16053,null
2020-10-29 17:37:20,2459152.23426,null
2020-11-21 15:44:25,2459175.15584,null
2020-12-28 08:47:28,2459211.86630,19.69
2021-01-20 02:39:34,2459234.61081,18.55
2021-01-20 04:26:08,2459234.68481,18.56
2021-02-24 07:53:04,2459269.82852,18.99
2021-02-24 09:39:38,2459269.90252,19.04
2021-03-24 09:23:36,2459297.89139,19.66
2021-04-26 13:12:13,2459331.05015,19.91
2021-04-26 14:58:47,2459331.12416,19.91

