Gaia21apt
#Date,JD(TCB),averagemag
2014-11-29 20:23:17,2456991.34950,18.50
2015-02-17 21:45:45,2457071.40677,null
2015-02-18 01:59:30,2457071.58299,null
2015-02-18 03:46:15,2457071.65712,null
2015-02-18 07:59:25,2457071.83293,null
2015-02-18 09:46:10,2457071.90706,null
2015-02-18 13:59:42,2457072.08313,19.49
2015-03-02 20:10:10,2457084.34039,null
2015-03-02 21:56:13,2457084.41404,untrusted
2015-03-03 02:09:53,2457084.59020,untrusted
2015-03-03 03:56:28,2457084.66421,19.90
2015-03-03 08:10:08,2457084.84037,19.84
2015-03-03 09:56:43,2457084.91439,19.77
2015-04-17 15:36:26,2457130.15030,19.67
2015-05-20 07:29:49,2457162.81237,null
2015-06-12 21:13:07,2457186.38411,18.67
2015-07-28 12:11:26,2457232.00794,null
2015-07-28 13:57:36,2457232.08167,null
2015-08-03 18:16:29,2457238.26145,null
2015-08-03 20:03:14,2457238.33558,null
2015-08-04 00:16:59,2457238.51179,null
2015-08-04 02:03:09,2457238.58552,null
2015-09-20 10:40:05,2457285.94450,null
2015-09-20 12:26:50,2457286.01863,null
2015-10-06 04:43:38,2457301.69697,null
2015-10-06 06:30:22,2457301.77109,null
2015-11-12 03:49:54,2457338.65965,untrusted
2015-12-14 11:10:01,2457370.96529,17.71
2015-12-14 15:23:40,2457371.14144,17.46
2016-01-06 15:25:47,2457394.14291,18.47
2016-01-06 17:12:21,2457394.21691,18.45
2016-03-01 10:57:28,2457448.95657,17.67
2016-03-01 15:11:09,2457449.13274,17.73
2016-03-01 16:57:43,2457449.20675,17.80
2016-03-01 21:11:23,2457449.38291,17.92
2016-03-20 03:22:12,2457467.64042,19.62
2016-03-20 05:08:46,2457467.71442,untrusted
2016-03-20 09:22:27,2457467.89059,19.76
2016-03-20 11:09:02,2457467.96461,19.80
2016-04-28 09:00:44,2457506.87551,null
2016-04-28 10:47:30,2457506.94965,null
2016-06-02 14:28:25,2457542.10307,19.61
2016-06-02 16:15:00,2457542.17708,untrusted
2016-06-22 22:17:12,2457562.42861,19.08
2016-08-09 07:05:57,2457609.79580,19.44
2016-08-09 08:52:31,2457609.86980,19.33
2016-08-09 13:06:11,2457610.04596,19.48
2016-08-09 14:52:46,2457610.11998,untrusted
2016-08-13 19:09:57,2457614.29858,19.47
2016-08-13 20:56:31,2457614.37258,19.50
2016-08-14 01:10:11,2457614.54874,19.16
2016-08-14 02:56:45,2457614.62274,untrusted
2016-08-14 07:10:25,2457614.79890,19.17
2016-10-18 23:38:47,2457680.48527,null
2016-10-19 01:25:18,2457680.55924,17.20
2016-11-22 04:56:49,2457714.70612,18.24
2016-11-22 06:43:23,2457714.78013,18.19
2016-12-29 04:27:22,2457751.68567,untrusted
2016-12-29 06:13:56,2457751.75968,19.16
2016-12-29 10:27:35,2457751.93582,19.16
2017-01-17 04:35:46,2457770.69150,19.03
2017-01-17 06:22:20,2457770.76551,18.81
2017-01-17 10:36:00,2457770.94167,18.09
2017-01-17 12:22:34,2457771.01567,17.68
2017-03-13 11:45:01,2457825.98959,19.02
2017-03-13 13:31:36,2457826.06361,19.33
2017-03-13 17:45:16,2457826.23977,19.31
2017-04-05 13:38:59,2457849.06874,null
2017-04-05 17:52:14,2457849.24461,untrusted
2017-05-10 01:19:16,2457883.55505,19.27
2017-06-16 22:49:15,2457921.45087,17.60
2017-06-17 00:35:49,2457921.52487,17.62
2017-07-03 16:55:21,2457938.20510,null
2017-07-03 18:41:31,2457938.27883,19.44
2017-08-20 15:22:06,2457986.14035,untrusted
2017-08-20 17:08:40,2457986.21435,18.97
2017-08-20 21:22:20,2457986.39051,18.90
2017-08-20 23:08:54,2457986.46451,19.27
2017-08-26 11:13:25,2457991.96765,18.88
2017-08-26 15:27:04,2457992.14380,18.55
2017-08-26 17:13:39,2457992.21781,18.46
2017-08-26 21:27:19,2457992.39397,18.19
2017-10-10 14:04:23,2458037.08638,null
2017-11-01 19:57:13,2458059.33140,null
2017-11-01 21:43:58,2458059.40553,null
2017-12-03 13:27:14,2458091.06058,19.01
2017-12-03 15:13:47,2458091.13457,18.91
2018-01-15 12:59:02,2458134.04100,19.13
2018-01-15 14:45:36,2458134.11500,18.97
2018-01-15 18:59:16,2458134.29116,18.98
2018-01-15 20:45:50,2458134.36516,18.87
2018-01-16 00:59:29,2458134.54131,19.09
2018-01-29 01:08:53,2458147.54784,17.59
2018-01-29 07:09:06,2458147.79799,17.55
2018-01-29 08:55:41,2458147.87200,17.54
2018-01-29 13:09:20,2458148.04815,17.60
2018-01-29 14:56:03,2458148.12226,null
2018-03-25 08:42:55,2458202.86314,19.09
2018-03-25 12:56:36,2458203.03931,18.85
2018-04-21 00:56:03,2458229.53892,19.29
2018-04-21 02:42:37,2458229.61293,19.37
2018-05-21 14:28:08,2458260.10287,19.08
2018-06-30 23:47:05,2458300.49103,null
2018-07-01 01:33:12,2458300.56472,19.30
2018-07-14 05:54:02,2458313.74586,19.00
2018-07-14 07:40:37,2458313.81987,18.93
