Gaia21bga
#Date,JD,averagemag.
2014-08-31 15:48:41,2456901.159,null
2014-08-31 17:35:26,2456901.233,null
2014-08-31 21:49:12,2456901.409,null
2014-08-31 23:35:22,2456901.483,null
2014-11-10 02:52:40,2456971.620,null
2015-01-16 13:33:35,2457039.065,null
2015-02-01 11:49:16,2457054.993,null
2015-02-01 13:36:01,2457055.067,null
2015-03-17 00:01:19,2457098.501,null
2015-03-17 04:15:04,2457098.677,null
2015-03-27 16:21:43,2457109.182,null
2015-03-27 18:08:28,2457109.256,null
2015-05-08 21:09:59,2457151.382,null
2015-06-02 21:04:58,2457176.378,null
2015-07-05 14:46:22,2457209.116,null
2015-08-19 20:26:52,2457254.352,null
2015-08-19 22:13:37,2457254.426,null
2015-08-20 02:26:48,2457254.602,null
2015-08-20 04:13:33,2457254.676,null
2015-09-07 16:25:45,2457273.185,null
2015-09-07 20:38:55,2457273.360,null
2015-09-07 22:25:40,2457273.434,null
2015-09-08 02:39:25,2457273.611,null
2015-10-27 14:17:37,2457323.096,null
2015-10-27 16:04:22,2457323.170,null
2015-11-24 15:53:22,2457351.162,null
2015-12-22 07:47:51,2457378.825,null
2015-12-22 09:34:36,2457378.899,null
2016-01-29 12:42:02,2457417.029,null
2016-01-29 14:28:47,2457417.103,null
2016-02-11 18:46:54,2457430.283,null
2016-02-11 20:33:04,2457430.356,null
2016-03-26 17:10:58,2457474.216,null
2016-03-26 18:57:44,2457474.290,null
2016-04-08 17:17:39,2457487.221,null
2016-05-19 04:16:14,2457527.678,null
2016-05-19 06:02:25,2457527.752,null
2016-06-16 10:05:49,2457555.921,null
2016-06-16 11:52:00,2457555.994,null
2016-07-16 21:57:32,2457586.415,null
2016-07-16 23:44:17,2457586.489,null
2016-09-04 15:39:59,2457636.153,null
2016-09-04 17:26:44,2457636.227,null
2016-09-04 21:40:30,2457636.403,null
2016-09-04 23:26:40,2457636.477,null
2016-09-22 21:51:49,2457654.411,null
2016-09-22 23:38:34,2457654.485,null
2016-09-23 03:52:19,2457654.661,null
2016-09-23 05:38:28,2457654.735,null
2016-11-07 09:26:36,2457699.893,null
2016-11-07 11:13:21,2457699.968,null
2016-12-07 15:04:33,2457730.128,null
2016-12-07 16:51:17,2457730.202,null
2017-01-01 04:38:36,2457754.693,null
2017-02-10 04:46:01,2457794.699,null
2017-02-10 08:59:11,2457794.874,null
2017-02-21 09:05:05,2457805.879,null
2017-02-21 10:51:50,2457805.953,null
2017-04-06 09:18:22,2457849.888,null
2017-04-22 01:37:09,2457865.567,null
2017-05-30 18:45:54,2457904.282,null
2017-05-30 20:32:39,2457904.356,null
2017-07-01 14:17:15,2457936.095,null
2017-07-29 12:31:18,2457964.022,null
2017-07-29 14:18:04,2457964.096,null
2017-09-19 12:15:03,2458016.010,null
2017-09-19 14:01:48,2458016.085,null
2017-09-19 18:14:58,2458016.260,null
2017-09-19 20:01:43,2458016.335,null
2017-10-09 20:11:53,2458036.342,null
