Gaia21bxm
#Date,JD(TCB),averagemag
2014-11-21 02:24:18,2456982.60021,null
2014-11-21 06:38:02,2456982.77641,null
2014-11-21 08:24:12,2456982.85014,null
2014-11-28 00:42:59,2456989.52985,null
2014-11-28 02:29:08,2456989.60356,null
2014-11-28 06:42:53,2456989.77978,null
2014-11-28 08:29:38,2456989.85391,null
2015-03-03 23:35:16,2457085.48282,null
2015-03-30 03:39:45,2457111.65260,null
2015-03-30 05:26:31,2457111.72675,null
2015-04-27 15:32:41,2457140.14770,null
2015-04-27 17:18:51,2457140.22142,null
2015-08-27 21:20:10,2457262.38900,null
2015-08-27 23:06:54,2457262.46313,null
2015-09-26 15:02:58,2457292.12706,null
2015-09-26 16:49:43,2457292.20119,null
2016-01-24 23:47:17,2457412.49117,null
2016-01-25 01:33:27,2457412.56490,null
2016-01-25 05:47:13,2457412.74112,null
2016-02-02 23:54:12,2457421.49597,null
2016-02-03 01:40:22,2457421.56970,null
2016-03-13 16:56:54,2457461.20618,null
2016-03-13 18:43:04,2457461.27991,null
2016-04-13 00:27:36,2457491.51917,null
2016-05-08 00:30:24,2457516.52111,null
2016-05-08 04:44:10,2457516.69734,null
2016-09-07 10:29:30,2457638.93715,null
2016-09-07 12:16:14,2457639.01127,null
2016-10-10 03:59:12,2457671.66611,null
2016-10-31 03:54:44,2457692.66301,null
2016-10-31 05:40:53,2457692.73672,null
2017-02-02 02:30:46,2457786.60470,null
2017-02-16 02:13:14,2457800.59252,null
2017-02-16 03:59:59,2457800.66666,null
2017-03-24 19:28:42,2457837.31160,null
2017-04-29 01:07:51,2457872.54712,null
2017-04-29 02:54:36,2457872.62125,null
2017-05-19 07:17:52,2457892.80407,null
2017-05-19 09:04:37,2457892.87821,null
2017-05-19 13:18:23,2457893.05443,null
2017-07-25 07:19:53,2457959.80547,null
2017-07-25 09:06:38,2457959.87961,null
2017-07-25 13:20:22,2457960.05581,null
2017-07-25 15:07:07,2457960.12994,null
2017-08-09 19:30:02,2457975.31252,null
2017-08-09 21:16:11,2457975.38624,null
2017-08-10 01:29:55,2457975.56244,null
2017-10-24 06:16:49,2458050.76168,null
2017-11-10 06:18:22,2458067.76275,null
2018-02-11 16:54:24,2458161.20444,null
2018-02-11 21:08:10,2458161.38067,null
2018-03-01 21:10:53,2458179.38256,null
2018-03-01 22:57:04,2458179.45630,null
2018-04-04 22:25:00,2458213.43403,null
2018-04-05 02:38:46,2458213.61025,null
2018-05-17 08:17:33,2458255.84552,null
2018-05-17 10:03:43,2458255.91925,null
2018-05-17 14:17:29,2458256.09547,null
2018-05-17 16:04:14,2458256.16961,null
2018-05-28 22:13:59,2458267.42638,null
2018-05-29 02:27:45,2458267.60260,null
2018-05-29 04:13:55,2458267.67633,null
2018-05-29 08:27:40,2458267.85255,null
2018-05-29 10:14:26,2458267.92669,null
2018-05-29 14:28:11,2458268.10291,null
2018-08-05 02:29:23,2458335.60374,null
2018-08-05 04:16:08,2458335.67787,null
2018-08-27 08:34:05,2458357.85700,null
2018-08-27 10:20:49,2458357.93112,null
2018-09-30 03:54:16,2458391.66269,null
2018-11-07 02:58:04,2458429.62366,null
2018-11-07 07:11:48,2458429.79986,null
2018-11-19 19:16:36,2458442.30319,null
2019-02-21 17:58:08,2458536.24870,null
2019-02-21 22:11:54,2458536.42493,null
2019-03-15 23:55:24,2458558.49681,null
2019-04-16 09:49:57,2458589.90969,null
2019-04-16 11:36:08,2458589.98343,null
2019-08-27 01:51:53,2458722.57770,null
2019-08-27 03:38:37,2458722.65182,null
2019-09-19 08:38:15,2458745.85990,null
2019-10-20 15:55:59,2458777.16388,null
2020-02-13 09:38:01,2458892.90140,null
2020-03-10 02:47:05,2458918.61603,null
2020-03-10 04:33:51,2458918.69017,null
2020-04-07 17:47:27,2458947.24128,null
2020-05-20 06:29:36,2458989.77056,null
2020-05-20 08:16:22,2458989.84470,null
2020-05-20 12:30:07,2458990.02091,null
2020-05-20 14:16:18,2458990.09465,null
2020-05-27 02:23:50,2458996.59988,null
2020-05-27 06:37:36,2458996.77611,null
2020-05-27 08:24:21,2458996.85024,null
2020-05-27 12:38:07,2458997.02647,null
2020-07-19 22:04:33,2459050.41983,null
2020-07-20 04:04:28,2459050.66977,null
2020-07-20 05:51:12,2459050.74389,null
2020-07-20 10:04:57,2459050.92010,null
2020-07-20 11:51:07,2459050.99383,null
2020-07-20 16:04:51,2459051.17003,null
2020-07-20 17:51:36,2459051.24417,null
2020-07-20 22:05:21,2459051.42038,null
2020-07-20 23:52:05,2459051.49450,null
2020-07-21 04:05:15,2459051.67031,null
2020-07-21 05:52:00,2459051.74444,null
2020-07-21 10:05:44,2459051.92065,null
2020-07-21 11:52:29,2459051.99478,null
2020-07-21 16:05:38,2459052.17058,null
2020-07-21 17:52:23,2459052.24471,null
2020-07-21 22:06:08,2459052.42093,null
2020-08-05 14:28:10,2459067.10289,null
2020-08-05 16:14:54,2459067.17701,null
2020-08-28 08:32:37,2459089.85598,null
2020-08-28 10:18:46,2459089.92970,null
2020-11-08 01:09:18,2459161.54813,null
2020-11-20 01:14:20,2459173.55162,null
2020-11-20 03:01:05,2459173.62575,null
2021-02-22 05:56:31,2459267.74758,null
2021-04-16 21:48:26,2459321.40863,18.40
2021-04-16 23:35:01,2459321.48265,18.46

