Gaia21bzj
#Date,JD(TCB),averagemag
2014-10-29 06:39:35,2456959.77749,19.94
2014-10-29 10:53:17,2456959.95367,19.96
2014-11-20 12:39:42,2456982.02757,20.17
2014-12-18 12:26:32,2457010.01843,untrusted
2015-05-25 06:58:49,2457167.79084,20.10
2015-06-21 10:58:31,2457194.95730,untrusted
2015-06-21 12:45:04,2457195.03130,19.98
2015-11-08 06:02:14,2457334.75155,untrusted
2015-11-08 07:48:49,2457334.82557,untrusted
2015-12-28 07:36:20,2457384.81690,19.93
2016-05-09 02:17:07,2457517.59522,20.11
2016-06-08 18:07:37,2457548.25529,null
2016-06-30 13:51:52,2457570.07769,null
2016-11-17 13:12:44,2457710.05051,20.03
2016-11-17 14:59:19,2457710.12453,20.03
2016-12-19 00:50:38,2457741.53516,19.96
2016-12-19 02:37:13,2457741.60918,19.45
2017-01-05 06:57:29,2457758.78992,19.78
2017-01-05 08:44:03,2457758.86392,19.70
2017-05-19 22:48:19,2457893.45022,18.80
2017-06-24 14:25:29,2457929.10103,18.89
2017-06-24 16:12:03,2457929.17503,18.91
2017-07-09 14:31:10,2457944.10498,18.98
2017-07-09 16:17:44,2457944.17898,18.99
2017-10-14 00:01:45,2458040.50122,19.41
2017-10-14 04:15:26,2458040.67738,19.36
2017-10-14 06:02:01,2458040.75140,19.35
2017-10-14 10:15:42,2458040.92757,19.41
2017-10-14 12:02:17,2458041.00159,19.37
2017-10-14 16:15:58,2458041.17775,19.36
2017-10-19 10:20:38,2458045.93100,19.36
2017-10-19 12:07:13,2458046.00501,19.35
2017-10-19 16:20:54,2458046.18118,19.36
2017-10-19 18:07:29,2458046.25520,19.35
2017-10-19 22:21:10,2458046.43137,19.35
2017-10-20 00:07:45,2458046.50538,19.34
2017-11-27 23:32:54,2458085.48118,19.49
2018-01-04 15:15:28,2458123.13574,19.58
2018-01-04 17:02:03,2458123.20976,19.63
2018-01-04 21:15:44,2458123.38593,19.66
2018-01-04 23:02:18,2458123.45993,19.57
2018-01-11 15:22:04,2458130.14032,19.65
2018-01-11 17:08:39,2458130.21434,19.60
2018-01-11 21:22:20,2458130.39051,19.57
2018-01-11 23:08:55,2458130.46453,19.60
2018-01-12 03:22:36,2458130.64069,19.61
2018-04-12 04:41:46,2458220.69567,null
2018-04-12 06:28:14,2458220.76961,19.83
2018-04-23 10:48:14,2458231.95016,19.84
2018-04-23 12:34:48,2458232.02417,19.90
2018-04-23 16:48:27,2458232.20031,19.94
2018-05-30 22:10:39,2458269.42406,20.04
2018-05-30 23:57:13,2458269.49807,20.08
2018-10-20 13:01:59,2458412.04304,20.29
2018-10-20 17:15:40,2458412.21921,20.32
2018-11-05 23:23:14,2458428.47447,untrusted
2018-12-08 10:57:45,2458460.95677,20.34
2019-04-20 01:31:11,2458593.56332,20.55
2019-04-20 05:45:03,2458593.73962,null
2019-05-10 01:32:18,2458613.56410,20.63
2019-05-10 05:46:22,2458613.74053,null
2019-06-10 23:19:21,2458645.47177,20.65
2019-06-11 01:06:26,2458645.54613,null
2019-10-24 02:07:36,2458780.58861,null
2019-10-24 03:54:21,2458780.66274,null
2019-11-12 20:45:35,2458800.36499,null
2019-11-12 22:31:46,2458800.43873,null
2019-12-12 22:09:09,2458830.42302,null
2020-04-26 07:28:22,2458965.81137,null
2020-04-26 09:15:06,2458965.88549,null
2020-05-19 20:12:49,2458989.34223,null
2020-06-17 21:19:01,2459018.38821,null
2020-06-17 23:05:10,2459018.46192,null
2020-10-20 19:00:39,2459143.29212,null
2020-10-20 23:14:25,2459143.46834,null
2020-11-06 17:21:27,2459160.22323,null
2020-11-06 19:07:37,2459160.29696,null
2020-12-08 22:57:13,2459192.45640,null
2021-04-20 11:43:16,2459324.98838,20.98
2021-04-20 13:29:50,2459325.06238,21.24

