Gaia21bzw
#Date,JD(TCB),averagemag
2014-08-24 13:43:27,2456894.07184,14.26
2014-08-24 15:30:02,2456894.14586,14.25
2014-09-29 12:15:20,2456930.01065,untrusted
2014-11-11 03:01:12,2456972.62583,14.32
2014-11-26 15:04:11,2456988.12791,14.31
2014-11-26 16:50:45,2456988.20191,14.33
2015-01-03 02:01:12,2457025.58417,14.31
2015-01-03 03:47:45,2457025.65816,14.31
2015-01-30 15:30:08,2457053.14593,null
2015-02-28 13:29:21,2457082.06205,null
2015-02-28 15:16:06,2457082.13618,null
2015-04-14 02:50:59,2457126.61874,14.27
2015-04-14 07:04:39,2457126.79490,14.32
2015-04-14 08:51:13,2457126.86890,14.29
2015-05-07 13:14:03,2457150.05142,14.32
2015-05-07 15:00:37,2457150.12543,14.24
2015-06-18 18:53:27,2457192.28712,null
2015-06-18 20:39:37,2457192.36084,null
2015-07-21 20:21:11,2457225.34804,null
2015-08-16 18:27:47,2457251.26929,14.40
2015-09-26 17:20:47,2457292.22277,14.40
2015-09-26 19:07:21,2457292.29677,14.39
2015-10-10 17:26:56,2457306.22704,null
2015-10-10 19:13:03,2457306.30073,14.39
2015-11-21 21:59:36,2457348.41639,untrusted
2015-11-21 23:46:10,2457348.49039,14.37
2015-12-09 10:00:00,2457365.91667,14.39
2015-12-09 11:46:34,2457365.99067,14.39
2016-02-13 20:43:45,2457432.36372,14.39
2016-03-11 20:38:10,2457459.35984,14.39
2016-03-11 22:24:44,2457459.43384,14.38
2016-04-27 16:02:20,2457506.16829,null
2016-04-27 20:16:06,2457506.34451,null
2016-05-22 08:23:17,2457530.84950,14.39
2016-05-22 10:09:51,2457530.92351,14.39
2016-05-22 14:23:32,2457531.09968,14.37
2016-05-22 16:10:06,2457531.17368,14.40
2016-06-30 03:49:34,2457569.65942,null
2016-08-04 03:21:22,2457604.63984,null
2016-08-27 03:18:49,2457627.63807,null
2016-10-08 00:17:20,2457669.51204,null
2016-10-08 02:04:05,2457669.58617,null
2016-10-21 06:23:29,2457682.76631,null
2016-10-21 08:09:39,2457682.84003,null
2016-12-01 16:59:30,2457724.20799,null
2016-12-21 10:56:18,2457743.95576,null
2017-01-24 16:12:26,2457778.17530,null
2017-02-27 11:09:19,2457811.96480,null
2017-02-27 12:56:04,2457812.03894,null
2017-03-24 18:56:59,2457837.28957,null
2017-03-24 23:10:43,2457837.46578,null
2017-03-25 00:57:28,2457837.53991,null
2017-05-11 10:49:40,2457884.95116,null
2017-05-11 12:36:25,2457885.02529,null
2017-07-12 10:35:05,2457946.94103,null
2017-08-18 03:56:28,2457983.66421,null
2017-08-18 05:43:14,2457983.73836,null
2017-09-07 11:44:08,2458003.98898,null
2017-10-19 20:35:58,2458046.35831,14.37
2017-10-19 22:22:33,2458046.43233,14.36
2017-11-02 02:41:33,2458059.61219,14.36
2017-11-02 04:28:07,2458059.68619,14.37
2018-01-03 15:01:53,2458122.12631,14.37
2018-02-05 02:28:17,2458154.60297,14.35
2018-03-14 14:00:59,2458192.08402,14.36
2018-03-14 18:14:38,2458192.26016,14.35
2018-04-07 12:20:57,2458216.01455,14.39
2018-04-07 14:07:36,2458216.08861,null
2018-05-24 13:46:53,2458263.07422,14.36
2018-05-24 18:00:34,2458263.25039,14.37
2018-06-22 13:44:38,2458292.07266,14.37
