Gaia21clb
#Date,JD(TCB),averagemag
2014-09-19 03:22:04,2456919.64032,untrusted
2014-09-19 07:35:45,2456919.81649,untrusted
2014-09-19 09:22:20,2456919.89051,untrusted
2014-10-20 16:49:09,2456951.20080,untrusted
2014-10-20 18:35:43,2456951.27480,untrusted
2014-11-21 10:25:59,2456982.93471,19.97
2014-11-21 12:12:33,2456983.00872,20.21
2015-03-14 18:37:50,2457096.27627,19.93
2015-03-15 00:38:03,2457096.52642,19.95
2015-03-15 02:24:37,2457096.60043,19.93
2015-03-15 06:38:16,2457096.77657,19.83
2015-03-15 08:24:50,2457096.85058,19.48
2015-03-15 12:38:29,2457097.02672,untrusted
2015-03-15 14:25:03,2457097.10073,untrusted
2015-03-15 18:38:42,2457097.27688,19.25
2015-03-15 20:25:16,2457097.35088,19.68
2015-03-16 00:38:55,2457097.52703,19.68
2015-03-16 02:25:29,2457097.60103,untrusted
2015-03-16 06:39:08,2457097.77718,19.93
2015-03-16 08:25:42,2457097.85118,20.00
2015-03-16 12:39:21,2457098.02733,19.42
2015-03-16 14:25:55,2457098.10133,19.78
2015-03-16 18:39:34,2457098.27748,19.95
2015-04-28 01:36:12,2457140.56681,null
2015-06-17 11:22:48,2457190.97417,null
2015-06-17 13:09:32,2457191.04829,null
2015-06-17 17:23:16,2457191.22449,null
2015-06-17 19:09:26,2457191.29822,null
2015-10-31 12:00:44,2457327.00051,20.05
2015-12-06 11:24:41,2457362.97547,null
2015-12-06 13:11:26,2457363.04961,null
2015-12-17 13:19:11,2457374.05499,untrusted
2015-12-17 17:32:52,2457374.23116,20.37
2015-12-17 19:19:27,2457374.30517,20.32
2016-03-19 07:33:17,2457466.81478,null
2016-03-19 09:20:02,2457466.88891,null
2016-04-02 13:37:53,2457481.06797,untrusted
2016-04-02 15:24:27,2457481.14198,20.24
2016-05-08 00:58:04,2457516.54032,null
2016-05-08 02:44:21,2457516.61413,untrusted
2016-09-20 19:24:52,2457652.30894,20.08
2016-09-20 21:11:27,2457652.38295,20.25
2016-09-21 01:25:08,2457652.55912,20.09
2016-10-07 19:34:18,2457669.31549,20.64
2016-10-07 21:20:53,2457669.38950,untrusted
2016-11-10 01:11:45,2457702.54983,20.39
2017-03-28 03:57:52,2457840.66519,null
2017-03-28 05:44:19,2457840.73911,20.26
2017-04-17 21:55:27,2457861.41351,15.19
2017-05-19 03:29:18,2457892.64535,untrusted
2017-09-30 03:56:00,2458026.66389,20.20
2017-09-30 05:42:35,2458026.73791,untrusted
2017-10-23 09:57:38,2458049.91502,19.92
2017-11-20 09:44:25,2458077.90584,20.29
2017-11-20 11:31:00,2458077.97986,untrusted
2018-05-02 22:50:13,2458241.45154,19.61
2018-05-29 22:38:05,2458268.44311,19.76
2018-05-30 00:24:39,2458268.51712,19.98
2018-10-10 11:06:39,2458401.96295,20.25
2018-11-30 10:53:09,2458452.95358,19.00
2018-11-30 12:39:44,2458453.02759,19.03
2019-04-17 12:10:20,2458591.00718,null
2019-04-17 13:56:27,2458591.08087,20.25
2019-05-18 05:45:51,2458621.74017,20.15
2019-05-18 07:32:25,2458621.81418,19.98
2019-06-09 05:46:06,2458643.74035,20.06
2019-06-09 07:32:40,2458643.81435,20.16
2019-10-21 15:23:57,2458778.14163,untrusted
2019-12-10 23:25:15,2458828.47587,20.30
2019-12-11 03:38:56,2458828.65204,untrusted
2020-04-17 13:15:35,2458957.05249,20.22
2020-04-17 15:02:08,2458957.12648,20.51
2020-05-20 16:27:52,2458990.18602,19.79
2020-06-08 09:10:39,2459008.88240,20.43
2020-06-08 10:57:12,2459008.95639,20.36
2020-10-10 18:52:01,2459133.28612,20.13
2020-10-10 23:05:42,2459133.46229,19.81
2020-11-07 22:54:18,2459161.45438,19.98
2020-11-08 00:40:53,2459161.52839,untrusted
2020-11-30 18:38:16,2459184.27657,20.42
2020-11-30 22:52:12,2459184.45292,null
2021-04-18 00:08:36,2459322.50597,20.15
2021-04-18 01:55:10,2459322.57998,19.71
2021-05-19 05:43:34,2459353.73859,15.13
2021-05-19 07:30:08,2459353.81259,15.12

