Gaia21dic
#Date,JD(TCB),averagemag
2014-07-30 10:35:14,2456868.94113,null
2014-07-30 12:21:59,2456869.01527,null
2014-07-30 16:35:43,2456869.19147,null
2014-07-30 18:22:27,2456869.26559,null
2014-07-30 22:36:11,2456869.44179,null
2014-07-31 00:22:21,2456869.51552,null
2014-07-31 06:22:50,2456869.76586,null
2014-11-05 11:21:19,2456966.97314,null
2014-11-05 13:08:04,2456967.04727,null
2014-11-23 11:25:22,2456984.97595,null
2014-11-23 13:12:08,2456985.05009,null
2015-04-25 12:35:48,2457138.02486,null
2015-04-25 16:49:33,2457138.20108,null
2015-04-25 18:36:17,2457138.27520,null
2015-05-17 00:40:03,2457159.52781,null
2015-05-17 04:53:47,2457159.70402,null
2015-07-30 21:29:58,2457234.39581,null
2015-07-30 23:16:43,2457234.46994,null
2015-08-09 09:36:00,2457243.90000,null
2015-08-09 11:22:44,2457243.97412,null
2015-08-09 15:36:29,2457244.15034,null
2015-08-09 17:22:38,2457244.22405,null
2015-11-15 08:12:32,2457341.84204,null
2015-12-07 12:23:15,2457364.01615,null
2015-12-07 14:10:01,2457364.09029,null
2016-01-06 06:05:13,2457393.75362,null
2016-05-05 11:58:48,2457513.99917,null
2016-05-05 13:45:33,2457514.07330,null
2016-05-31 19:39:15,2457540.31892,null
2016-05-31 23:52:59,2457540.49513,null
2016-06-29 23:34:41,2457569.48242,null
2016-06-30 01:21:25,2457569.55654,null
2016-11-24 15:18:44,2457717.13801,null
2017-01-16 01:16:31,2457769.55314,null
2017-06-16 02:12:21,2457920.59191,null
2017-06-16 03:58:30,2457920.66563,null
2017-07-11 02:02:56,2457945.58537,null
2017-07-11 03:49:40,2457945.65949,null
2017-10-18 22:52:20,2458045.45301,null
2017-10-19 00:39:06,2458045.52715,null
2017-10-19 04:52:51,2458045.70337,null
2017-10-19 06:39:37,2458045.77751,null
2017-10-25 10:58:14,2458051.95711,null
2017-10-25 12:44:59,2458052.03124,null
2017-10-25 16:58:45,2458052.20747,null
2017-10-25 18:44:56,2458052.28120,null
2017-12-05 04:03:23,2458092.66902,null
2017-12-05 05:50:08,2458092.74315,null
2018-01-04 09:45:15,2458122.90642,null
2018-01-26 11:36:16,2458144.98352,null
2018-01-26 15:50:02,2458145.15975,null
2018-05-28 03:39:57,2458266.65274,null
2018-05-28 05:26:41,2458266.72686,null
2018-06-30 22:54:36,2458300.45458,null
2018-07-01 03:08:19,2458300.63078,null
2018-07-21 15:06:20,2458321.12940,null
2018-07-21 16:53:04,2458321.20352,null
2018-10-27 07:35:33,2458418.81635,null
2018-10-27 11:49:19,2458418.99258,null
2018-11-09 11:56:05,2458431.99728,null
2018-11-09 13:42:50,2458432.07141,null
