Gaia21eah
#Date,JD(TCB),averagemag
2014-08-29 15:48:52,2456899.15894,null
2014-08-29 17:35:02,2456899.23266,null
2014-08-29 21:48:47,2456899.40888,null
2014-08-29 23:35:32,2456899.48301,null
2014-11-09 19:02:19,2456971.29328,null
2015-01-15 13:31:57,2457038.06385,null
2015-02-01 17:46:03,2457055.24031,null
2015-02-01 19:32:48,2457055.31444,null
2015-03-15 22:17:05,2457097.42853,null
2015-03-16 00:03:50,2457097.50266,null
2015-03-29 00:09:41,2457110.50672,null
2015-07-06 14:48:48,2457210.11722,null
2015-07-06 16:35:34,2457210.19137,null
2015-08-18 14:28:34,2457253.10317,null
2015-08-18 16:14:44,2457253.17690,null
2015-09-09 22:25:06,2457275.43410,null
2015-09-10 02:38:51,2457275.61031,null
2015-09-10 04:25:36,2457275.68444,null
2015-10-26 08:15:29,2457321.84409,null
2015-10-26 10:01:39,2457321.91781,null
2015-11-24 02:02:39,2457350.58517,null
2015-11-24 03:49:23,2457350.65929,null
2015-12-21 19:44:06,2457378.32229,null
2015-12-21 21:30:50,2457378.39641,null
2016-01-28 08:27:18,2457415.85229,null
2016-02-12 12:44:08,2457431.03065,null
2016-03-26 01:00:43,2457473.54216,null
2016-04-09 19:06:15,2457488.29601,null
2016-05-19 18:06:30,2457528.25451,null
2016-06-17 04:09:37,2457556.67334,null
2016-07-18 03:59:48,2457587.66653,null
2016-07-18 05:45:58,2457587.74025,null
2016-09-02 09:39:41,2457633.90256,null
2016-09-02 11:25:51,2457633.97628,null
2016-09-02 15:39:36,2457634.15250,null
2016-09-02 17:26:21,2457634.22663,null
2016-09-24 11:36:25,2457655.98362,null
2016-09-24 15:50:10,2457656.15984,null
2016-09-24 17:36:20,2457656.23356,null
2016-11-06 09:23:52,2457698.89157,null
2016-11-06 11:10:37,2457698.96571,null
2016-12-06 22:48:07,2457729.45008,null
2016-12-31 20:48:05,2457754.36672,null
2016-12-31 22:34:49,2457754.44084,null
2017-02-08 20:58:59,2457793.37429,null
2017-02-08 22:45:09,2457793.44802,null
2017-02-22 09:04:01,2457806.87779,null
2017-04-06 01:35:35,2457849.56638,null
2017-04-23 01:39:31,2457866.56911,null
2017-04-23 03:26:17,2457866.64325,null
2017-05-31 12:49:50,2457905.03461,null
2017-07-02 00:34:50,2457936.52419,null
2017-07-02 02:21:36,2457936.59833,null
2017-07-30 20:19:40,2457965.34699,null
2017-07-31 00:33:26,2457965.52322,null
2017-09-17 12:13:33,2458014.00941,null
2017-09-17 14:00:18,2458014.08354,null
2017-10-10 12:21:33,2458037.01497,null
2017-10-10 14:08:17,2458037.08909,null
2017-10-10 18:22:02,2458037.26530,null
