Gaia22awg
#Date,JD(TCB),averagemag
2014-08-28 21:36:33,2456898.40038,null
2014-11-17 09:12:41,2456978.88381,null
2014-11-17 10:59:26,2456978.95794,null
2014-11-17 15:12:50,2456979.13391,20.28
2014-11-17 16:59:24,2456979.20792,untrusted
2014-11-22 17:04:01,2456984.21112,null
2014-11-22 21:17:11,2456984.38693,null
2014-11-22 23:03:47,2456984.46096,untrusted
2014-11-23 03:17:27,2456984.63712,20.47
2015-01-05 07:50:56,2457027.82704,null
2015-01-05 09:37:22,2457027.90095,20.32
2015-01-26 13:44:56,2457049.07287,20.34
2015-02-27 13:12:20,2457081.05023,null
2015-02-27 14:59:04,2457081.12435,null
2015-04-11 02:31:10,2457123.60498,null
2015-04-11 06:44:55,2457123.78119,null
2015-04-11 08:31:05,2457123.85492,null
2015-04-11 12:44:49,2457124.03112,null
2015-04-26 18:55:30,2457139.28854,null
2015-04-26 20:41:40,2457139.36227,null
2015-04-27 00:55:25,2457139.53848,null
2015-04-27 02:42:10,2457139.61262,null
2015-06-23 08:31:21,2457196.85510,null
2015-06-23 12:45:07,2457197.03133,null
2015-06-23 14:31:17,2457197.10506,null
2015-07-20 06:47:04,2457223.78269,null
2015-07-20 08:33:22,2457223.85650,untrusted
2015-08-21 00:31:58,2457255.52220,null
2015-08-21 02:18:43,2457255.59633,null
2015-09-29 05:38:26,2457294.73502,20.53
2015-09-29 07:25:01,2457294.80904,20.59
2015-10-12 19:32:04,2457308.31394,null
2015-10-12 23:45:49,2457308.49015,null
2015-11-27 16:05:57,2457354.17080,untrusted
2015-11-27 17:52:31,2457354.24480,20.97
2015-12-05 11:57:57,2457361.99858,untrusted
2015-12-05 16:11:36,2457362.17472,untrusted
2015-12-05 17:58:10,2457362.24873,20.78
2016-01-15 20:53:47,2457403.37068,20.85
2016-01-15 22:40:38,2457403.44488,null
2016-02-09 08:41:19,2457427.86203,untrusted
2016-03-10 02:20:50,2457457.59780,untrusted
2016-03-10 04:07:24,2457457.67181,20.28
2016-04-29 09:45:27,2457507.90656,null
2016-04-29 13:58:57,2457508.08260,untrusted
2016-04-29 15:45:56,2457508.15690,null
2016-04-29 19:59:41,2457508.33311,null
2016-04-29 21:45:45,2457508.40677,untrusted
2016-04-30 01:59:36,2457508.58306,null
2016-04-30 03:46:21,2457508.65719,null
2016-04-30 07:59:39,2457508.83309,untrusted
2016-05-09 14:07:34,2457518.08859,20.26
2016-05-09 15:54:08,2457518.16259,20.52
2016-05-09 20:07:48,2457518.33875,20.68
