Gaia22axo
#Date,JD(TCB),averagemag
2014-08-28 12:27:52,2456898.01935,null
2014-10-03 07:33:11,2456933.81471,untrusted
2014-10-03 09:19:45,2456933.88872,untrusted
2014-11-15 12:03:55,2456977.00272,null
2014-11-15 13:50:40,2456977.07685,null
2014-11-25 12:10:15,2456987.00712,19.01
2014-11-25 13:56:49,2456987.08112,19.04
2015-01-06 00:36:21,2457028.52524,18.88
2015-01-06 04:50:02,2457028.70141,18.76
2015-01-27 04:47:24,2457049.69958,null
2015-01-27 06:34:09,2457049.77372,null
2015-03-01 00:05:10,2457082.50359,null
2015-04-09 03:56:28,2457121.66421,null
2015-04-09 05:42:39,2457121.73795,null
2015-04-30 11:53:15,2457142.99531,null
2015-04-30 16:07:01,2457143.17154,null
2015-04-30 17:53:46,2457143.24567,null
2015-06-21 15:48:47,2457195.15888,null
2015-06-21 17:34:57,2457195.23260,null
2015-07-19 03:46:20,2457222.65718,19.34
2015-07-19 05:32:54,2457222.73118,19.45
2015-09-27 16:16:10,2457293.17789,18.98
2015-10-14 02:32:41,2457309.60603,18.95
2015-11-26 12:59:13,2457353.04112,19.02
2015-11-26 14:45:47,2457353.11513,19.11
2015-12-07 14:52:05,2457364.11950,18.07
2015-12-07 19:05:45,2457364.29566,18.15
2016-01-16 17:53:59,2457404.24582,18.67
2016-01-16 19:40:34,2457404.31984,18.73
2016-02-09 19:33:04,2457428.31463,18.74
2016-03-11 17:28:09,2457459.22788,18.23
2016-03-11 19:14:47,2457459.30193,null
2016-04-24 17:07:01,2457503.21321,untrusted
2016-04-24 18:53:53,2457503.28742,null
2016-04-24 23:07:16,2457503.46338,18.83
2016-04-25 00:53:50,2457503.53738,18.86
2016-05-14 05:19:16,2457522.72171,untrusted
2016-05-14 07:05:50,2457522.79572,17.28
2016-05-14 11:19:30,2457522.97188,17.28
2016-05-14 13:06:04,2457523.04588,17.25
2016-07-03 04:58:15,2457572.70712,18.80
2016-07-03 06:44:49,2457572.78112,18.76
2016-08-02 06:33:28,2457602.77324,18.44
2016-08-31 04:30:31,2457631.68786,18.68
2016-08-31 06:17:05,2457631.76186,18.56
2016-10-09 23:11:37,2457671.46640,18.02
2016-10-10 03:25:17,2457671.64256,17.95
2016-10-23 15:30:14,2457685.14600,18.54
2016-10-23 17:16:48,2457685.22000,18.55
2016-12-06 01:55:35,2457728.58027,18.09
2016-12-06 03:42:09,2457728.65427,18.21
2016-12-19 08:01:39,2457741.83448,18.23
2017-01-26 14:46:14,2457780.11544,18.47
2017-02-22 20:09:41,2457807.34006,17.67
2017-02-22 21:56:16,2457807.41407,untrusted
2017-03-23 14:01:07,2457836.08411,19.30
2017-03-23 15:47:41,2457836.15811,18.96
2017-05-11 01:42:23,2457884.57110,17.65
2017-05-11 07:42:37,2457884.82126,untrusted
2017-05-11 09:29:11,2457884.89527,17.56
2017-05-30 15:40:51,2457904.15337,17.75
2017-05-30 19:54:30,2457904.32951,17.76
2017-05-30 21:41:04,2457904.40352,17.73
2017-05-31 01:54:44,2457904.57968,17.74
2017-07-15 19:30:12,2457950.31264,18.32
2017-08-17 01:08:22,2457982.54748,18.94
2017-09-11 12:57:30,2458008.03993,untrusted
2017-09-11 14:44:04,2458008.11394,untrusted
2017-10-22 19:29:15,2458049.31198,18.93
2017-10-22 23:42:55,2458049.48814,18.36
2017-11-03 05:48:45,2458060.74219,18.49
2017-11-03 07:35:19,2458060.81619,18.56
2017-12-16 10:16:10,2458103.92789,18.04
2017-12-16 12:02:45,2458104.00191,17.96
2018-01-01 04:20:42,2458119.68104,19.12
2018-02-06 15:29:26,2458156.14544,null
2018-02-06 17:15:57,2458156.21941,19.11
2018-03-09 04:58:28,2458186.70727,18.60
2018-04-04 21:12:36,2458213.38375,null
2018-04-04 22:58:46,2458213.45748,19.05
2018-05-26 02:54:57,2458264.62149,18.73
2018-05-26 04:41:31,2458264.69550,18.98
2018-05-26 08:55:11,2458264.87166,untrusted
2018-05-26 10:41:45,2458264.94566,19.12
2018-06-16 21:04:51,2458286.37837,18.93
2018-06-16 22:51:25,2458286.45237,19.12
2018-06-17 03:05:05,2458286.62853,18.94
2018-07-27 22:25:11,2458327.43416,19.05
2018-08-31 08:05:50,2458361.83738,18.69
2018-08-31 09:52:24,2458361.91139,18.76
2018-09-22 14:00:26,2458384.08363,18.97
2018-09-22 15:47:01,2458384.15765,null
2018-11-04 02:24:08,2458426.60009,17.83
2018-11-04 06:37:48,2458426.77625,17.82
2018-11-04 08:24:22,2458426.85025,17.82
2018-11-14 06:43:56,2458436.78051,18.91
2018-11-14 08:30:31,2458436.85453,18.76
2018-12-26 23:16:28,2458479.46977,18.84
2019-01-14 05:17:57,2458497.72080,17.27
2019-01-14 07:04:31,2458497.79480,17.32
2019-02-17 22:37:44,2458532.44287,18.08
2019-03-24 10:16:51,2458566.92837,18.71
2019-03-24 12:03:26,2458567.00238,18.45
2019-04-17 10:23:31,2458590.93300,18.92
2019-04-17 12:10:06,2458591.00701,19.09
2019-04-17 16:23:46,2458591.18317,19.21
2019-06-08 22:06:29,2458643.42117,20.51
2019-06-08 23:53:03,2458643.49517,20.55
2019-07-03 11:58:07,2458667.99869,18.89
2019-07-03 16:11:46,2458668.17484,18.87
2019-07-17 11:30:34,2458681.97956,18.65
2019-07-17 13:17:08,2458682.05356,18.75
2019-08-23 01:17:47,2458718.55402,null
2019-08-23 03:03:56,2458718.62773,18.45
2019-09-27 20:45:20,2458754.36481,18.56
2019-09-27 22:31:51,2458754.43878,null
2019-10-21 15:23:28,2458778.14130,18.84
2019-10-21 17:10:02,2458778.21530,18.71
2019-10-21 21:23:42,2458778.39146,18.93
2019-10-21 23:10:16,2458778.46546,18.63
2019-12-10 23:18:10,2458828.47095,18.60
2019-12-11 01:04:44,2458828.54495,18.67
2019-12-11 05:18:25,2458828.72112,18.65
2020-01-03 07:45:35,2458851.82332,18.58
2020-01-03 11:59:16,2458851.99949,18.96
2020-02-06 07:30:27,2458885.81281,18.56
2020-03-30 23:45:35,2458939.48999,untrusted
2020-03-31 03:59:38,2458939.66641,null
2020-05-14 06:51:51,2458983.78601,18.30
2020-05-14 08:38:25,2458983.86001,18.17
2020-05-24 19:05:00,2458994.29514,17.66
2020-05-24 20:51:34,2458994.36914,17.77
2020-07-07 21:45:54,2459038.40688,18.89
2020-07-07 23:32:28,2459038.48088,18.94
2020-09-01 03:50:03,2459093.65976,19.06
2020-09-23 01:58:36,2459115.58236,19.34
2020-09-23 03:45:10,2459115.65637,19.16
2020-11-04 18:35:13,2459158.27446,19.16
2020-11-04 20:21:47,2459158.34846,19.08
2020-11-14 18:41:25,2459168.27876,18.73
2020-11-14 20:27:59,2459168.35277,19.12
2020-12-27 07:00:57,2459210.79233,18.65
2021-01-14 23:15:46,2459229.46928,18.70
2021-02-18 10:36:30,2459263.94201,untrusted
2021-03-25 06:01:49,2459298.75126,18.84
2021-03-25 10:15:30,2459298.92743,18.86
2021-04-18 04:22:47,2459322.68249,null
2021-04-18 06:09:13,2459322.75640,18.90
2021-06-09 10:05:17,2459374.92034,18.86
2021-06-09 11:51:51,2459374.99434,18.95
2021-06-09 16:05:31,2459375.17050,18.97
2021-06-09 17:52:05,2459375.24450,18.96
2021-07-04 11:56:33,2459399.99760,18.94
2021-07-04 16:10:12,2459400.17375,19.06
2021-08-09 15:45:13,2459436.15640,18.66
2021-09-15 03:00:06,2459472.62507,18.79
2021-10-04 03:11:58,2459491.63331,19.08
2021-11-16 07:30:33,2459534.81288,null
2021-11-16 09:16:39,2459534.88656,18.69
2021-11-26 07:36:23,2459544.81693,18.85
2021-11-26 09:22:57,2459544.89094,18.61
2022-01-06 20:03:23,2459586.33568,18.79
2022-01-28 06:13:58,2459607.75970,18.76
2022-01-28 08:00:32,2459607.83370,18.85
2022-03-01 19:32:12,2459640.31403,17.17
2022-03-01 23:45:53,2459640.49020,17.09

