SURVEY:  PS1MD
SNID:  PSc530302
IAUC:    UNKNOWN
RA:        242.1782000  deg
DECL:       54.0967833  deg
MWEBV: 0.0068 +- 0.0014 MW E(B-V)
REDSHIFT_FINAL:  0.3380 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 10.2090 +- 0.3650
SEARCH_PEAKMJD: 56482.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc530302.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: dsp055

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 54979.5 g NULL  -3.936 9.206 nan -2.539
OBS: 54982.4 g NULL  -7.304 9.403 nan -1.398
OBS: 54993.4 g NULL  3.365 14.676 -6.317 4.736
OBS: 54996.4 g NULL  -3.550 14.359 nan -4.392
OBS: 54999.4 g NULL  12.399 11.278 -7.733 0.988
OBS: 55011.4 g NULL  2.837 13.996 -6.132 5.357
OBS: 55014.3 g NULL  0.506 16.659 -4.261 35.738
OBS: 55029.3 g NULL  -13.261 24.424 nan -2.000
OBS: 55089.2 g NULL  6.846 9.486 -7.089 1.504
OBS: 55296.6 g NULL  3.285 45.356 -6.291 14.989
OBS: 55302.6 g NULL  5.992 12.019 -6.944 2.178
OBS: 55305.6 g NULL  12.685 13.680 -7.758 1.171
OBS: 55326.5 g NULL  -2.264 9.414 nan -4.514
OBS: 55329.5 g NULL  0.649 12.047 -4.531 20.149
OBS: 55332.4 g NULL  8.085 8.431 -7.269 1.132
OBS: 55335.4 g NULL  -4.654 12.202 nan -2.847
OBS: 55338.4 g NULL  35.884 22.963 -8.887 0.695
OBS: 55347.4 g NULL  -1.406 15.347 nan -11.848
OBS: 55350.5 g NULL  -13.600 14.842 nan -1.185
OBS: 55353.4 g NULL  2.406 8.427 -5.953 3.803
OBS: 55362.4 g NULL  -13.490 13.858 nan -1.115
OBS: 55365.3 g NULL  -11.962 7.705 nan -0.699
OBS: 55368.4 g NULL  -5.452 10.043 nan -2.000
OBS: 55377.4 g NULL  -21.137 14.094 nan -0.724
OBS: 55389.3 g NULL  -3.552 8.008 nan -2.448
OBS: 55407.3 g NULL  -5.207 15.762 nan -3.287
OBS: 55413.3 g NULL  14.600 11.461 -7.911 0.852
OBS: 55416.3 g NULL  -12.415 12.663 nan -1.107
OBS: 55422.3 g NULL  -51.058 39.667 nan -0.844
OBS: 55425.3 g NULL  7.916 15.950 -7.246 2.188
OBS: 55428.3 g NULL  -3.207 16.629 nan -5.630
