# SDSS CID:   3680 IAU:          RA: 351.037415 DEC:  -0.809664  (J2000)
# GALAXY_SB [ugriz] = [ 24.40 23.94 22.54 21.80 21.35 ] +/- [  0.54  0.11  0.04  0.02  0.06 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  2.314E-01  8.374E-01  3.429E+00  6.713E+00  9.610E+00 ] +/- [  5.358E-01  1.086E-01  1.183E-01  1.453E-01  6.275E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
    0  53622.304179  1  22.364  0.213  0.241  0.402   4.013e+00   7.897e-01   9.039e-01   1.506e+00  14  sdss  5582  82S  2 
  160  53622.300862  2  23.790  0.954  0.576  1.082   9.309e-01   1.087e+00   6.766e-01   1.270e+00  14  sdss  5582  82S  2 
   32  53622.301691  3  22.539  0.550  0.387  0.498   3.325e+00   1.702e+00   1.275e+00   1.643e+00  14  sdss  5582  82S  2 
   32  53622.303350  4  22.013  0.962  0.707  0.974   4.388e+00   6.151e+00   4.451e+00   6.130e+00  12  sdss  5582  82S  2 
   38  53622.302521  0  23.380  1.448  0.247  4.421   1.558e+00   2.281e+00   4.215e-01   7.533e+00  9  sdss  5582  82S  2 
  129  53627.261138  1  22.336  0.254  0.059  0.119   4.119e+00   9.595e-01   2.250e-01   4.585e-01  14  sdss  5607  82S  2 
   33  53627.257821  2  22.968  0.463  0.142  0.186   2.269e+00   9.923e-01   3.184e-01   4.178e-01  14  sdss  5607  82S  2 
   32  53627.258650  3  22.450  0.366  0.105  0.137   3.628e+00   1.263e+00   3.725e-01   4.874e-01  14  sdss  5607  82S  2 
   32  53627.260308  4  21.927  0.572  0.334  0.325   4.946e+00   3.747e+00   2.211e+00   2.150e+00  12  sdss  5607  82S  2 
    1  53627.259479  0  21.917  0.410  0.074  0.412   6.572e+00   2.352e+00   4.448e-01   2.471e+00  9  sdss  5607  82S  2 
  131  53634.253620  1  22.968  1.456  0.904  1.064   2.272e+00   2.287e+00   1.967e+00   2.316e+00  14  sdss  5619  82S  2 
  163  53634.250303  2  24.755  1.939  2.614  3.660   3.746e-02   2.514e+00   2.091e+00   2.927e+00  14  sdss  5619  82S  2 
   34  53634.251132  3  21.758  0.394  0.475  0.473   7.018e+00   2.500e+00   3.138e+00   3.126e+00  14  sdss  5619  82S  2 
    0  53634.252791  4  23.664  1.031  1.127  1.409  -4.461e+00   6.666e+00   7.141e+00   8.930e+00  12  sdss  5619  82S  2 
    3  53634.251962  0  20.688  0.389  0.037  0.862   2.050e+01   6.898e+00   6.853e-01   1.593e+01  9  sdss  5619  82S  2 
    9  53636.259061  1  23.167  0.672  0.925  0.532   1.874e+00   1.116e+00   1.691e+00   9.709e-01  14  sdss  5628  82S  2 
   25  53636.255744  2  22.212  0.325  0.965  0.151   4.672e+00   1.388e+00   4.236e+00   6.630e-01  14  sdss  5628  82S  2 
   56  53636.256573  3  22.162  0.334  0.769  0.148   4.793e+00   1.493e+00   3.530e+00   6.813e-01  14  sdss  5628  82S  2 
   32  53636.258232  4  21.409  0.546  0.484  0.454   9.111e+00   5.006e+00   4.641e+00   4.355e+00  12  sdss  5628  82S  2 
   13  53636.257403  0  22.008  0.538  0.165  0.755   6.037e+00   2.757e+00   9.107e-01   4.167e+00  9  sdss  5628  82S  2 
    0  53640.258872  1  22.092  0.164  0.169  0.283   5.169e+00   7.808e-01   8.126e-01   1.361e+00  14  sdss  5646  82S  2 
 1196  53640.255555  2  22.369  0.392  0.575  0.392   4.032e+00   1.436e+00   2.193e+00   1.495e+00  14  sdss  5646  82S  2 
 1164  53640.256384  3  26.117  1.369  3.038  0.382  -3.109e+00   3.380e+00   9.457e+00   1.190e+00  14  sdss  5646  82S  2 
 1164  53640.258043  4  19.809  4.857 13.757  0.168   4.273e+01   2.358e+02   5.374e+02   6.556e+00  12  sdss  5646  82S  2 
   35  53655.230316  1  24.392  1.991  1.388  3.774   4.604e-01   1.998e+00   1.008e+00   2.740e+00  14  sdss  5713  82S  2 
    3  53655.226999  2  25.265  1.609  1.485  2.268  -3.815e-01   1.843e+00   1.296e+00   1.981e+00  14  sdss  5713  82S  2 
