# SDSS CID:   3950 IAU:          RA:  40.530788 DEC:   0.504616  (J2000)
# GALAXY_SB [ugriz] = [ 24.61 25.12 24.25 23.77 22.59 ] +/- [  0.28  0.14  0.11  0.10  0.10 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  2.234E-02 -3.507E-03  4.646E-01  7.355E-01  1.186E+00 ] +/- [  2.726E-01  8.030E-02  9.709E-02  1.400E-01  4.889E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   16  53622.438764  1  22.820  0.195  0.280  0.129   2.614e+00   4.809e-01   6.982e-01   3.212e-01  15  sdss  5582  82S  5 
   16  53622.435447  2  23.011  0.337  0.485  0.173   2.175e+00   7.119e-01   1.049e+00   3.755e-01  15  sdss  5582  82S  5 
    0  53622.436276  3  23.846  0.831  1.115  0.358   6.349e-01   1.158e+00   1.475e+00   4.736e-01  15  sdss  5582  82S  5 
    0  53622.437935  4  21.914  0.508  0.375  0.255   5.038e+00   3.384e+00   2.527e+00   1.717e+00  15  sdss  5582  82S  5 
    0  53622.437106  0  23.561  0.908  0.628  0.790   1.265e+00   1.314e+00   9.535e-01   1.200e+00  8  sdss  5582  82S  5 
   16  53627.396471  1  22.888  0.220  0.364  0.162   2.451e+00   5.109e-01   8.531e-01   3.810e-01  15  sdss  5607  82S  5 
    0  53627.393153  2  23.337  0.459  0.615  0.264   1.559e+00   7.309e-01   1.015e+00   4.346e-01  15  sdss  5607  82S  5 
   16  53627.393982  3  22.804  0.455  0.728  0.228   2.547e+00   1.155e+00   1.921e+00   6.022e-01  15  sdss  5607  82S  5 
   32  53627.395641  4  22.743  0.631  0.799  0.441   4.386e-01   3.261e+00   3.911e+00   2.157e+00  15  sdss  5607  82S  5 
    0  53627.394812  0  23.018  0.652  0.525  0.808   2.284e+00   1.405e+00   1.221e+00   1.878e+00  8  sdss  5607  82S  5 
    1  53634.389048  1  22.485  0.542  0.591  0.170   3.587e+00   1.698e+00   1.995e+00   5.737e-01  15  sdss  5619  82S  5 
    1  53634.385731  2  23.147  0.862  0.766  0.254   1.898e+00   1.473e+00   1.478e+00   4.896e-01  15  sdss  5619  82S  5 
    1  53634.386561  3  23.948  1.155  1.623  0.468   5.020e-01   1.688e+00   2.065e+00   5.952e-01  15  sdss  5619  82S  5 
    0  53634.388219  4  21.396  0.445  0.384  0.238   9.240e+00   4.225e+00   3.768e+00   2.335e+00  15  sdss  5619  82S  5 
    1  53638.430663  1  22.899  0.266  0.336  0.133   2.425e+00   6.064e-01   7.810e-01   3.089e-01  15  sdss  5637  82S  5 
    0  53638.427346  2  22.865  0.325  0.322  0.124   2.510e+00   7.801e-01   7.901e-01   3.034e-01  15  sdss  5637  82S  5 
    0  53638.428176  3  23.110  0.608  0.788  0.272   1.835e+00   1.205e+00   1.632e+00   5.625e-01  15  sdss  5637  82S  5 
   32  53638.429834  4  22.623  0.671  0.547  0.307   1.029e+00   3.533e+00   2.717e+00   1.524e+00  15  sdss  5637  82S  5 
    1  53638.429005  0  23.791  1.222  0.580  0.928   9.426e-01   1.640e+00   7.566e-01   1.210e+00  8  sdss  5637  82S  5 
   16  53640.394749  1  22.857  0.256  0.511  0.187   2.524e+00   6.065e-01   1.235e+00   4.506e-01  15  sdss  5646  82S  5 
  128  53640.391431  2  23.250  0.478  0.708  0.286   1.708e+00   8.130e-01   1.253e+00   5.069e-01  15  sdss  5646  82S  5 
    0  53640.392261  3  23.063  0.610  0.846  0.298   1.934e+00   1.249e+00   1.816e+00   6.394e-01  15  sdss  5646  82S  5 
    0  53640.393919  4  23.250  0.673  0.663  0.415  -2.088e+00   3.680e+00   3.477e+00   2.178e+00  15  sdss  5646  82S  5 
    0  53640.393090  0  23.611  1.129  0.727  0.995   1.190e+00   1.601e+00   1.066e+00   1.460e+00  8  sdss  5646  82S  5 
   28  53646.456734  1  26.569  1.085 14.156  0.433  -1.132e+00   1.147e+00   1.703e+01   5.209e-01  15  sdss  5681  82S  5 
   28  53646.453417  2  23.477  0.895  3.796  0.331   1.342e+00   1.213e+00   5.606e+00   4.881e-01  15  sdss  5681  82S  5 
  156  53646.454246  3  22.314  0.593  2.481  0.151   4.141e+00   2.198e+00   9.950e+00   6.064e-01  15  sdss  5681  82S  5 
   28  53646.455905  4  24.119  1.177  2.606  0.285  -7.845e+00   9.328e+00   2.273e+01   2.484e+00  15  sdss  5681  82S  5 
 1180  53646.455076  0  26.938  0.997  2.305  0.512  -4.199e+00   3.254e+00   9.227e+00   2.050e+00  8  sdss  5681  82S  5 
   16  53655.367758  1  22.966  0.221  0.341  0.143   2.275e+00   4.789e-01   7.469e-01   3.126e-01  15  sdss  5713  82S  5 
   16  53655.364441  2  23.085  0.395  0.569  0.206   2.021e+00   7.770e-01   1.157e+00   4.186e-01  15  sdss  5713  82S  5 
   16  53655.365270  3  22.603  0.405  0.588  0.178   3.121e+00   1.223e+00   1.834e+00   5.542e-01  15  sdss  5713  82S  5 
    0  53655.366929  4  22.160  0.614  0.434  0.304   3.492e+00   3.627e+00   2.539e+00   1.779e+00  15  sdss  5713  82S  5 
    0  53655.366099  0  22.433  0.399  0.214  0.423   4.044e+00   1.483e+00   8.273e-01   1.636e+00  8  sdss  5713  82S  5 
    1  53657.275567  1  26.825  2.533  4.135  1.249  -1.474e+00   3.573e+00   6.151e+00   1.858e+00  15  sdss  5730  82S  5 
    3  53657.272250  2  23.673  1.781  7.848  1.495   1.074e+00   2.374e+00   1.000e+01   1.906e+00  15  sdss  5730  82S  5 
   19  53657.273079  3  25.280  1.616  8.623  1.529  -1.220e+00   2.919e+00   1.411e+01   2.502e+00  15  sdss  5730  82S  5 
   34  53657.274738  4  22.666  1.450  3.888  2.172   8.164e-01   9.396e+00   1.918e+01   1.072e+01  15  sdss  5730  82S  5 
    1  53663.457594  1  23.506  1.251  0.671  0.242   1.338e+00   1.430e+00   9.220e-01   3.328e-01  15  sdss  5745  82S  5 
    1  53663.454277  2  23.138  0.836  0.657  0.231   1.915e+00   1.446e+00   1.278e+00   4.489e-01  15  sdss  5745  82S  5 
    1  53663.455106  3  23.859  1.156  1.580  0.459   6.165e-01   1.714e+00   2.076e+00   6.040e-01  15  sdss  5745  82S  5 
    0  53663.456764  4  22.256  0.712  0.450  0.292   2.945e+00   4.096e+00   2.514e+00   1.628e+00  15  sdss  5745  82S  5 
  129  53663.455935  0  26.402  2.057  0.473  0.581  -2.497e+00   4.175e+00   1.185e+00   1.456e+00  8  sdss  5745  82S  5 
    1  53664.392746  1  24.284  1.281  0.938  0.422   5.407e-01   1.044e+00   7.252e-01   3.260e-01  15  sdss  5754  82S  5 
    1  53664.389429  2  23.420  0.875  0.582  0.222   1.427e+00   1.233e+00   8.974e-01   3.427e-01  15  sdss  5754  82S  5 
   25  53664.390258  3  23.291  0.862  4.348  0.237   1.484e+00   1.500e+00   7.885e+00   4.295e-01  15  sdss  5754  82S  5 
    0  53664.391916  4  22.090  0.641  0.500  0.250   3.915e+00   3.910e+00   3.036e+00   1.519e+00  15  sdss  5754  82S  5 
    1  53664.391087  0  25.808  1.582  0.790  0.698  -1.322e+00   2.447e+00   1.233e+00   1.089e+00  8  sdss  5754  82S  5 
    1  53665.457517  1  22.877  0.454  0.393  0.147   2.477e+00   1.023e+00   9.312e-01   3.481e-01  15  sdss  5760  82S  5 
    1  53665.454199  2  23.187  0.646  0.549  0.201   1.823e+00   1.120e+00   1.025e+00   3.742e-01  15  sdss  5760  82S  5 
    1  53665.455029  3  23.013  0.754  0.821  0.215   2.042e+00   1.567e+00   1.830e+00   4.796e-01  15  sdss  5760  82S  5 
    1  53665.456687  4  22.979  0.824  0.735  0.283  -7.138e-01   4.438e+00   3.617e+00   1.394e+00  15  sdss  5760  82S  5 
 1153  53665.455858  0  25.339  1.879  1.024  1.043  -6.950e-01   2.950e+00   1.191e+00   1.212e+00  8  sdss  5760  82S  5 
    1  53668.446222  1  23.752  1.092  1.992  0.964   1.034e+00   1.098e+00   2.241e+00   1.084e+00  15  sdss  5771  82S  5 
    0  53668.442905  2  23.317  0.890  1.984  0.698   1.592e+00   1.339e+00   3.324e+00   1.169e+00  15  sdss  5771  82S  5 
  128  53668.443734  3  24.076  1.264  4.160  1.199   3.431e-01   1.879e+00   5.100e+00   1.470e+00  15  sdss  5771  82S  5 
    0  53668.445393  4  21.332  0.558  0.684  0.396   9.884e+00   5.479e+00   7.066e+00   4.096e+00  15  sdss  5771  82S  5 
    3  53668.444563  0  22.503  1.218  0.916  1.190   3.782e+00   3.394e+00   3.329e+00   4.324e+00  8  sdss  5771  82S  5 
 1168  53669.351891  1  22.598  0.329  1.526  0.226   3.226e+00   9.761e-01   4.653e+00   6.902e-01  15  sdss  5776  82S  5 
    0  53669.348573  2  23.274  0.674  1.579  0.597   1.665e+00   1.087e+00   2.740e+00   1.036e+00  15  sdss  5776  82S  5 
   18  53669.349403  3  23.504  1.210  4.880  1.456   1.125e+00   1.970e+00   7.700e+00   2.297e+00  15  sdss  5776  82S  5 
 1152  53669.351061  4  23.706  0.828  1.596  0.815  -4.734e+00   5.386e+00   1.044e+01   5.334e+00  15  sdss  5776  82S  5 
