# SDSS CID:   9428 IAU:          RA: 337.291992 DEC:   0.024460  (J2000)
# GALAXY_SB [ugriz] = [ 22.96 22.57 22.24 21.83 21.33 ] +/- [  0.14  0.03  0.03  0.03  0.07 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  2.341E+00  3.303E+00  4.548E+00  6.581E+00  9.811E+00 ] +/- [  3.341E-01  1.077E-01  1.207E-01  1.622E-01  6.762E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
  144  53622.265930  1  26.560  0.712 12.531  1.106  -1.122e+00   7.857e-01   1.486e+01   1.311e+00  10  sdss  5582  82S  4 
   16  53622.262613  2  25.796  0.932 10.227  0.901  -9.102e-01   1.050e+00   1.182e+01   1.041e+00  11  sdss  5582  82S  4 
   48  53622.263442  3  24.351  1.118 13.889  1.000   1.289e-02   1.571e+00   1.645e+01   1.185e+00  11  sdss  5582  82S  4 
   32  53622.265101  4  21.873  0.918  2.365  0.772   5.312e+00   6.213e+00   1.631e+01   5.327e+00  10  sdss  5582  82S  4 
  180  53622.264272  0  22.996  1.104  3.860  1.450   2.335e+00   2.161e+00   8.930e+00   3.355e+00  9  sdss  5582  82S  4 
   48  53625.261617  1  24.777  0.838  6.111  0.520   2.044e-01   5.594e-01   3.775e+00   3.212e-01  10  sdss  5597  82S  4 
   48  53625.258300  2  24.221  0.775  2.940  0.254   4.870e-01   7.354e-01   2.691e+00   2.322e-01  11  sdss  5597  82S  4 
   16  53625.259129  3  24.799  0.815  4.024  0.238  -5.313e-01   1.111e+00   5.150e+00   3.050e-01  11  sdss  5597  82S  4 
   32  53625.260788  4  21.805  0.513  0.626  0.238   5.793e+00   3.630e+00   4.519e+00   1.715e+00  10  sdss  5597  82S  4 
    0  53625.259958  0  26.422  0.864  0.565  0.387  -2.548e+00   1.891e+00   1.405e+00   9.639e-01  9  sdss  5597  82S  4 
   17  53627.222783  1  27.635  0.386  2.417  0.207  -3.214e+00   1.116e+00   7.270e+00   6.234e-01  10  sdss  5607  82S  4 
   49  53627.219466  2  23.927  0.998  4.858  0.414   7.774e-01   1.074e+00   5.205e+00   4.429e-01  11  sdss  5607  82S  4 
   48  53627.220295  3  24.210  1.061  9.240  0.529   1.804e-01   1.473e+00   1.105e+01   6.326e-01  11  sdss  5607  82S  4 
   32  53627.221954  4  22.614  0.910  1.773  0.648   1.073e+00   5.033e+00   8.823e+00   3.227e+00  10  sdss  5607  82S  4 
   33  53627.221124  0  22.671  1.479  1.109  0.663   3.219e+00   3.361e+00   3.387e+00   2.026e+00  9  sdss  5607  82S  4 
 1169  53634.215122  1  27.160  2.302 16.420  1.443  -2.048e+00   3.291e+00   3.233e+01   2.842e+00  10  sdss  5619  82S  4 
  179  53634.211805  2  23.901  1.651 22.327  2.153   8.055e-01   2.025e+00   2.430e+01   2.343e+00  11  sdss  5619  82S  4 
   50  53634.212635  3  22.555  0.943 14.923  1.092   3.275e+00   2.605e+00   4.811e+01   3.519e+00  11  sdss  5619  82S  4 
    0  53634.214293  4  23.783  1.117  4.013  1.467  -5.250e+00   7.620e+00   2.752e+01   1.006e+01  10  sdss  5619  82S  4 
  131  53634.213464  0  25.152  2.548 16.960  7.694  -4.877e-01   5.468e+00   1.804e+01   8.183e+00  9  sdss  5619  82S  4 
   49  53636.220522  1  24.165  0.948  6.819  0.570   6.362e-01   7.729e-01   5.654e+00   4.725e-01  10  sdss  5628  82S  4 
   48  53636.217205  2  23.135  0.508  2.390  0.196   1.921e+00   9.353e-01   4.623e+00   3.790e-01  11  sdss  5628  82S  4 
   48  53636.218034  3  22.947  0.607  3.562  0.212   2.191e+00   1.338e+00   8.300e+00   4.945e-01  11  sdss  5628  82S  4 
   32  53636.219693  4  22.472  0.801  1.103  0.476   1.794e+00   4.415e+00   5.678e+00   2.449e+00  10  sdss  5628  82S  4 
