# SDSS CID:  17242 IAU:          RA:  10.539227 DEC:  -0.751071  (J2000)
# GALAXY_SB [ugriz] = [ 21.48 20.53 19.86 19.52 19.25 ] +/- [  0.06  0.01  0.00  0.00  0.01 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  9.583E+00  2.181E+01  4.094E+01  5.559E+01  7.150E+01 ] +/- [  5.473E-01  1.489E-01  1.617E-01  1.977E-01  6.369E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   40  54357.312656  1  20.126  0.029  0.009  0.020   3.174e+01   8.650e-01   2.794e-01   5.968e-01  11  sdss  6955  82S  2 
   32  54357.309338  2  20.030  0.037  0.001  0.017   3.516e+01   1.223e+00   3.502e-02   5.401e-01  11  sdss  6955  82S  2 
   32  54357.310168  3  20.210  0.056  0.012  0.024   2.943e+01   1.536e+00   3.283e-01   6.432e-01  9  sdss  6955  82S  2 
   32  54357.311826  4  20.636  0.239  0.084  0.120   1.968e+01   4.376e+00   1.555e+00   2.215e+00  11  sdss  6955  82S  2 
   36  54357.310997  0  22.302  0.438  0.018  0.624   4.578e+00   1.798e+00   7.953e-02   2.690e+00  9  sdss  6955  82S  2 
   32  54362.362499  1  20.681  0.060  0.016  0.072   1.903e+01   1.065e+00   2.924e-01   1.271e+00  11  sdss  6976  82S  2 
   32  54362.359182  2  20.405  0.060  0.007  0.038   2.488e+01   1.393e+00   1.515e-01   8.847e-01  11  sdss  6976  82S  2 
   32  54362.360011  3  20.577  0.090  0.022  0.054   2.098e+01   1.738e+00   4.328e-01   1.049e+00  9  sdss  6976  82S  2 
   32  54362.361670  4  21.363  0.597  0.432  0.385   9.562e+00   5.625e+00   4.304e+00   3.838e+00  11  sdss  6976  82S  2 
   36  54362.360840  0  22.938  1.029  0.119  1.782   2.476e+00   2.156e+00   2.945e-01   4.400e+00  9  sdss  6976  82S  2 
   32  54379.352736  1  22.342  0.273  0.087  0.377   4.096e+00   1.032e+00   3.350e-01   1.454e+00  11  sdss  7024  82S  2 
 1212  54379.349419  2  22.496  1.699 11.657  0.605   3.577e+00   3.857e+00   3.983e+01   2.069e+00  11  sdss  7024  82S  2 
  172  54379.350249  3  20.031  0.162  0.455  0.056   3.470e+01   5.174e+00   1.460e+01   1.794e+00  9  sdss  7024  82S  2 
  128  54379.351907  4  23.179  1.136  1.193  0.916  -1.718e+00   6.736e+00   6.111e+00   4.692e+00  11  sdss  7024  82S  2 
   36  54379.351078  0  23.484  1.610  0.102  3.085   1.384e+00   2.524e+00   1.625e-01   4.926e+00  9  sdss  7024  82S  2 
   34  54382.342858  1  22.222  0.265  0.183  0.592   4.580e+00   1.119e+00   7.895e-01   2.547e+00  11  sdss  7038  82S  2 
