# SDSS CID:  20448 IAU:          RA:   8.230529 DEC:   0.577799  (J2000)
# GALAXY_SB [ugriz] = [ 24.24 23.21 21.95 21.55 21.06 ] +/- [  0.31  0.06  0.03  0.02  0.05 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  3.911E-01  1.791E+00  5.954E+00  8.536E+00  1.301E+01 ] +/- [  3.221E-01  9.891E-02  1.461E-01  1.678E-01  6.584E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   32  54357.306496  1  23.102  0.263  0.123  0.194   1.996e+00   5.011e-01   2.381e-01   3.760e-01  11  sdss  6955  82S  5 
   40  54357.303179  2  23.043  0.364  0.134  0.245   2.106e+00   7.463e-01   2.824e-01   5.169e-01  9  sdss  6955  82S  5 
   32  54357.304008  3  22.814  0.465  0.051  0.198   2.521e+00   1.171e+00   1.346e-01   5.189e-01  11  sdss  6955  82S  5 
   32  54357.305667  4  21.048  0.272  0.033  0.202   1.319e+01   3.529e+00   4.290e-01   2.666e+00  11  sdss  6955  82S  5 
    0  54357.304837  0  22.964  0.659  0.136  0.615   2.411e+00   1.457e+00   3.253e-01   1.475e+00  6  sdss  6955  82S  5 
   32  54362.356327  1  23.292  0.342  0.207  0.317   1.658e+00   5.472e-01   3.407e-01   5.202e-01  11  sdss  6976  82S  5 
   32  54362.353010  2  22.793  0.351  0.031  0.308   2.691e+00   8.935e-01   8.154e-02   8.052e-01  9  sdss  6976  82S  5 
   32  54362.353839  3  22.691  0.503  0.176  0.281   2.857e+00   1.389e+00   5.103e-01   8.161e-01  11  sdss  6976  82S  5 
   32  54362.355498  4  21.122  0.351  0.183  0.265   1.225e+01   4.236e+00   2.262e+00   3.281e+00  11  sdss  6976  82S  5 
    0  54362.354668  0  22.190  0.372  0.086  0.430   5.089e+00   1.697e+00   4.084e-01   2.032e+00  6  sdss  6976  82S  5 
 1156  54379.346518  1  22.228  0.289  0.103  0.152   4.558e+00   1.205e+00   4.393e-01   6.485e-01  11  sdss  7024  82S  5 
 1052  54379.343201  2  25.000  2.352 91.699  2.469  -1.589e-01   3.737e+00   7.449e+01   2.005e+00  9  sdss  7024  82S  5 
 1212  54379.344030  3  22.475  2.339 11.261  0.571   3.542e+00   6.476e+00   3.932e+01   1.995e+00  11  sdss  7024  82S  5 
 1192  54379.345689  4  21.207  0.517  0.665  0.397   1.125e+01   5.669e+00   7.660e+00   4.573e+00  11  sdss  7024  82S  5 
