#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                            cmpfile
 2009-10-14T01:45:09.98 55118.073032      g      -     -     -      -      -      -  -      -    -      0x1613 -17656.13 1354.56  33.2959 -15068.00 1147.56 33.124 0x00000011   ut091014i_templi/12/md01s074.g.091014i.31647_12_g.091214i.38232_12.diff.cut.dcmp
 2009-10-14T01:45:09.98 55118.073032      g      -     -     -      -      -      -  -      -    -      0x1613 -29924.42 3091.52  33.2959 -22046.81 2268.52 32.964 0x00000011   ut091014i_templi/12/md01s074.g.091014i.31647_12_g.091226i.40627_12.diff.cut.dcmp
 2009-12-08T08:26:35.51 55173.351800      g      -     -     -      -      -      -  -      -    -      0x1613   1509.81 2664.09  33.2959   1509.81 2664.05 33.296 0x00000011   ut091208i_templi/12/md01s074.g.091208i.37417_12_g.091214i.38232_12.diff.cut.dcmp
 2009-12-08T08:26:35.51 55173.351800      g      -     -     -      -      -      -  -      -    -      0x1613 -12768.53 4321.00  33.2959  -9966.46 3371.49 33.027 0x00000011   ut091208i_templi/12/md01s074.g.091208i.37417_12_g.091226i.40627_12.diff.cut.dcmp
 2009-12-11T10:21:41.21 55176.431727      g      -     -     -      -      -      -  -      -    -      0x1613    289.88 2335.55  33.2959    253.27 2040.56 33.149 0x00000011   ut091211i_templi/12/md01s074.g.091211i.43901_12_g.091214i.38232_12.diff.cut.dcmp
 2009-12-11T10:21:41.21 55176.431727      g      -     -     -      -      -      -  -      -    -      0x1613 -13980.42 4630.38  33.2959 -10849.26 3591.92 33.021 0x00000011   ut091211i_templi/12/md01s074.g.091211i.43901_12_g.091226i.40627_12.diff.cut.dcmp
 2009-12-14T08:35:31.26 55179.358001      g      -     -     -      -      -      -  -      -    -      0x1613  -9212.10 3029.92  33.2959  -8086.46 2658.64 33.154 0x00000011   ut091214i_templi/12/md01s074.g.091214i.38232_12_g.091226i.40627_12.diff.cut.dcmp
 2009-12-23T07:52:08.51 55188.327876      g      -     -     -      -      -      -  -      -    -      0x1613   9034.09 3621.12  33.2959   7740.42 3101.75 33.128 0x00000011   ut091223i_templi/12/md01s074.g.091223i.44675_12_g.091214i.38232_12.diff.cut.dcmp
 2009-12-23T07:52:08.51 55188.327876      g      -     -     -      -      -      -  -      -    -      0x1613  -7103.81 5751.69  33.2959  -5291.90 4284.37 32.976 0x00000011   ut091223i_templi/12/md01s074.g.091223i.44675_12_g.091226i.40627_12.diff.cut.dcmp
 2009-12-26T05:46:45.44 55191.240804      g 23.366 0.350 0.661  0.502      -      -  -      -    1      0x1613   9372.42 3026.07  33.2959   9372.42 3024.83 33.296 0x00000011   ut091226i_templi/12/md01s074.g.091226i.40627_12_g.091214i.38232_12.diff.cut.dcmp
 2010-01-07T05:55:27.26 55203.246843      g 23.243 0.164 0.898  0.222      -      -  -      -    1      0x1613  10498.01 1593.00  33.2959  10498.01 1590.04 33.296 0x00000011   ut100107i_templi/12/md01s074.g.100107i.35943_12_g.091214i.38232_12.diff.cut.dcmp
 2010-01-07T05:55:27.26 55203.246843      g      -     -     -      -      -      -  -      -    -      0x1613   1342.24 2955.56  33.2959    987.35 2174.08 32.962 0x00000011   ut100107i_templi/12/md01s074.g.100107i.35943_12_g.091226i.40627_12.diff.cut.dcmp
 2010-01-10T06:43:54.17 55206.280488      g 23.022 0.117 0.420  0.218      -      -  -      -    1      0x1613  12866.57 1395.98  33.2959  12866.57 1390.89 33.296 0x00000011   ut100110i_templi/12/md01s074.g.100110i.41712_12_g.091214i.38232_12.diff.cut.dcmp
 2010-01-10T06:43:54.17 55206.280488      g      -     -     -      -      -      -  -      -    -      0x1613   3208.33 3629.05  33.2959   2486.56 2812.54 33.019 0x00000011   ut100110i_templi/12/md01s074.g.100110i.41712_12_g.091226i.40627_12.diff.cut.dcmp
 2010-01-19T05:12:28.29 55215.216994      g 23.218 0.239 0.708  0.317      -      -  -      -    1      0x1613  10741.52 2365.67  33.2959  10741.52 2363.58 33.296 0x00000011   ut100119i_templi/12/md01s074.g.100119i.51665_12_g.091214i.38232_12.diff.cut.dcmp
 2010-01-19T05:12:28.29 55215.216994      g      -     -     -      -      -      -  -      -    -      0x1613    377.68 3054.63  33.2959    270.77 2189.97 32.935 0x00000011   ut100119i_templi/12/md01s074.g.100119i.51665_12_g.091226i.40627_12.diff.cut.dcmp
 2010-08-05T14:04:23.50 55413.586383      g      -     -     -      -      -      -  -      -    -      0x1613   1178.29 2204.20  33.2959   1178.29 2204.17 33.296 0x00000011  ut100805i_templi/12/md01s074.g.100805i.135262_12_g.091214i.38232_12.diff.cut.dcmp
 2010-08-05T14:04:23.50 55413.586383      g      -     -     -      -      -      -  -      -    -      0x1613  -7034.29 3544.31  33.2959  -5260.90 2650.32 32.980 0x00000011  ut100805i_templi/12/md01s074.g.100805i.135262_12_g.091226i.40627_12.diff.cut.dcmp
 2010-08-08T14:23:30.56 55416.599659      g      -     -     -      -      -      -  -      -    -      0x1613  -1083.55 2340.13  33.2959  -1083.55 2340.11 33.296 0x00000011  ut100808i_templi/12/md01s074.g.100808i.136674_12_g.091214i.38232_12.diff.cut.dcmp
 2010-08-08T14:23:30.56 55416.599659      g      -     -     -      -      -      -  -      -    -      0x1613 -11587.05 3285.88  33.2959  -9530.88 2701.35 33.084 0x00000011  ut100808i_templi/12/md01s074.g.100808i.136674_12_g.091226i.40627_12.diff.cut.dcmp
 2010-08-14T14:12:10.32 55422.591786      g      -     -     -      -      -      -  -      -    -      0x1613  -5160.37 2953.11  33.2959  -4395.83 2515.26 33.122 0x00000011  ut100814i_templi/12/md01s074.g.100814i.138647_12_g.091214i.38232_12.diff.cut.dcmp
