#               DATEOBS        MJDim filter      m    dm    gr gr_err ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                            cmpfile
 2009-10-14T01:45:09.98 55118.073032      g      -     -     -      -  -      -      -      -    -      0x1613   -707.47  1895.57  33.8189   -418.86 1122.27 33.250 0x00000011   ut091014j_templj/14/md01s089.g.091014j.31660_14_g.091214j.38246_14.diff.cut.dcmp
 2009-10-14T01:45:09.98 55118.073032      g      -     -     -      -  -      -      -      -    -      0x1613   8421.98  4160.91  33.8189   4563.04 2253.99 33.154 0x00000011   ut091014j_templj/14/md01s089.g.091014j.31660_14_g.091226j.40642_14.diff.cut.dcmp
 2009-12-08T08:28:45.47 55173.353304      g 23.738 0.178     -      -  -      -      -      -    -      0x1613  10770.86  1765.60  33.8189  10876.53 1780.08 33.830 0x00000011   ut091208j_templj/14/md01s089.g.091208j.37431_14_g.091214j.38246_14.diff.cut.dcmp
 2009-12-08T08:28:45.47 55173.353304      g 22.705 0.202     -      -  -      -      -      -    -      0x1613  27897.68  5192.24  33.8189  14316.87 2661.32 33.095 0x00000011   ut091208j_templj/14/md01s089.g.091208j.37431_14_g.091226j.40642_14.diff.cut.dcmp
 2009-12-11T10:21:41.21 55176.431727      g      -     -     -      -  -      -      -      -    -      0x1613    303.70  1450.24  33.8189    285.37 1362.70 33.751 0x00000011   ut091211j_templj/14/md01s089.g.091211j.43916_14_g.091214j.38246_14.diff.cut.dcmp
 2009-12-11T10:21:41.21 55176.431727      g      -     -     -      -  -      -      -      -    -      0x1613   8744.64  4850.78  33.8189   4171.21 2313.51 33.015 0x00000011   ut091211j_templj/14/md01s089.g.091211j.43916_14_g.091226j.40642_14.diff.cut.dcmp
 2009-12-14T08:36:00.97 55179.358345      g      -     -     -      -  -      -      -      -    -      0x1613   2529.93  4713.00  33.8189   1136.55 2117.25 32.950 0x00000011   ut091214j_templj/14/md01s089.g.091214j.38246_14_g.091226j.40642_14.diff.cut.dcmp
 2009-12-23T07:42:44.18 55188.321345      g      -     -     -      -  -      -      -      -    -      0x1613    155.37  2974.25  33.8189    170.78 3269.32 33.922 0x00000011   ut091223j_templj/14/md01s089.g.091223j.44690_14_g.091214j.38246_14.diff.cut.dcmp
 2009-12-23T07:42:44.18 55188.321345      g      -     -     -      -  -      -      -      -    -      0x1613   7147.11  4212.53  33.8189   6952.33 4097.22 33.789 0x00000011   ut091223j_templj/14/md01s089.g.091223j.44690_14_g.091226j.40642_14.diff.cut.dcmp
 2009-12-26T05:46:45.44 55191.240804      g      -     -     -      -  -      -      -      -    -      0x1613  -1347.58  2515.04  33.8189  -1347.58 2515.01 33.819 0x00000011   ut091226j_templj/14/md01s089.g.091226j.40642_14_g.091214j.38246_14.diff.cut.dcmp
 2010-01-07T05:57:54.37 55203.248546      g      -     -     -      -  -      -      -      -    -      0x1613   2128.46  1592.32  33.8189   2036.79 1523.62 33.771 0x00000011   ut100107j_templj/14/md01s089.g.100107j.35956_14_g.091214j.38246_14.diff.cut.dcmp
 2010-01-07T05:57:54.37 55203.248546      g      -     -     -      -  -      -      -      -    -      0x1613   4248.93  3161.87  33.8189   3434.94 2555.94 33.588 0x00000011   ut100107j_templj/14/md01s089.g.100107j.35956_14_g.091226j.40642_14.diff.cut.dcmp
 2010-01-10T06:45:44.36 55206.281763      g      -     -     -      -  -      -      -      -    -      0x1613   -180.17  1187.00  33.8189   -180.17 1187.00 33.819 0x00000011   ut100110j_templj/14/md01s089.g.100110j.41726_14_g.091214j.38246_14.diff.cut.dcmp
 2010-01-10T06:45:44.36 55206.281763      g      -     -     -      -  -      -      -      -    -      0x1613   1629.13  2762.64  33.8189   1236.62 2097.00 33.520 0x00000011   ut100110j_templj/14/md01s089.g.100110j.41726_14_g.091226j.40642_14.diff.cut.dcmp
 2010-01-19T05:12:28.29 55215.216994      g 22.418 0.085 0.663  0.095  -      -      -      -    1      0x1613  36322.69  2874.03  33.8189  19922.23 1565.53 33.167 0x00000011   ut100119j_templj/14/md01s089.g.100119j.51678_14_g.091214j.38246_14.diff.cut.dcmp
 2010-01-19T05:12:28.29 55215.216994      g 22.281 0.127 0.526  0.134  -      -      -      -    1      0x1613  41222.12  4833.67  33.8189  19327.26 2259.23 32.996 0x00000011   ut100119j_templj/14/md01s089.g.100119j.51678_14_g.091226j.40642_14.diff.cut.dcmp
 2010-08-05T14:04:23.50 55413.586383      g      -     -     -      -  -      -      -      -    -      0x1613  -4779.53  2884.82  33.8189  -2540.65 1533.30 33.133 0x00000011  ut100805j_templj/14/md01s089.g.100805j.135275_14_g.091214j.38246_14.diff.cut.dcmp
 2010-08-05T14:04:23.50 55413.586383      g      -     -     -      -  -      -      -      -    -      0x1613    462.72  4445.64  33.8189    216.77 2082.64 32.996 0x00000011  ut100805j_templj/14/md01s089.g.100805j.135275_14_g.091226j.40642_14.diff.cut.dcmp
 2010-08-08T14:23:30.56 55416.599659      g      -     -     -      -  -      -      -      -    -      0x1613   3454.89  2851.69  33.8189   1785.15 1473.38 33.102 0x00000011  ut100808j_templj/14/md01s089.g.100808j.136687_14_g.091214j.38246_14.diff.cut.dcmp
