#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err    iz iz_err cflg photcodehex     flux_c   dflux_c ZPTMAG_c       flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-11-26T12:33:49.87 55161.523494      g      -     -      -      -      -      -     -      -    -      0x1613    4368.31   1994.50  32.6814    4125.47  1883.24 32.619 0x00000011  ut091126g_templg/33/md03s056.g.091126g.32863_33_g.100107g.36256_33.diff.cut.dcmp
 2009-11-26T12:33:49.87 55161.523494      g      -     -      -      -      -      -     -      -    -      0x1613    2045.09   1969.86  32.6814    1971.30  1898.70 32.642 0x00000011  ut091126g_templg/33/md03s056.g.091126g.32863_33_g.100119g.51836_33.diff.cut.dcmp
 2009-12-08T12:03:41.18 55173.502560      g 23.271 0.245  0.409  0.289      -      -     -      -    1      0x1613    5808.54   1313.40  32.6814    5808.54  1312.30 32.681 0x00000011  ut091208g_templg/33/md03s056.g.091208g.37614_33_g.100107g.36256_33.diff.cut.dcmp
 2009-12-08T12:03:41.18 55173.502560      g      -     -      -      -      -      -     -      -    -      0x1613    1992.96   1164.14  32.6814    2076.72  1212.92 32.726 0x00000011  ut091208g_templg/33/md03s056.g.091208g.37614_33_g.100119g.51836_33.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g 23.306 0.237 -0.166  0.350      -      -     -      -    1      0x1613    5624.11   1226.87  32.6814    5572.55  1214.53 32.671 0x00000011  ut091214g_templg/33/md03s056.g.091214g.38432_33_g.100107g.36256_33.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -      -      -      -      -     -      -    -      0x1613     242.91   1144.77  32.6814     244.80  1153.66 32.690 0x00000011  ut091214g_templg/33/md03s056.g.091214g.38432_33_g.100119g.51836_33.diff.cut.dcmp
 2009-12-17T11:47:42.14 55182.491460      g 23.087 0.163  0.047  0.231      -      -     -      -    1      0x1613    6884.67   1032.71  32.6814    6556.06   981.55 32.628 0x00000011  ut091217g_templg/33/md03s056.g.091217g.39599_33_g.100107g.36256_33.diff.cut.dcmp
 2009-12-17T11:47:42.14 55182.491460      g      -     -      -      -      -      -     -      -    -      0x1613   -1584.40    958.05  32.6814   -1543.78   933.38 32.653 0x00000011  ut091217g_templg/33/md03s056.g.091217g.39599_33_g.100119g.51836_33.diff.cut.dcmp
 2009-12-23T13:13:29.86 55188.551040      g      -     -      -      -      -      -     -      -    -      0x1613     170.52   1241.53  32.6814     168.72  1228.45 32.670 0x00000011  ut091223g_templg/33/md03s056.g.091223g.45086_33_g.100107g.36256_33.diff.cut.dcmp
 2009-12-23T13:13:29.86 55188.551040      g      -     -      -      -      -      -     -      -    -      0x1613   -2474.64   1191.82  32.6814   -2445.41  1177.53 32.669 0x00000011  ut091223g_templg/33/md03s056.g.091223g.45086_33_g.100119g.51836_33.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -      -      -      -      -     -      -    -      0x1613     334.77   1077.51  32.6814     334.77  1077.51 32.681 0x00000011  ut091226g_templg/33/md03s056.g.091226g.41032_33_g.100107g.36256_33.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -      -      -      -      -     -      -    -      0x1613   -1454.36   1006.68  32.6814   -1320.42   913.89 32.577 0x00000011  ut091226g_templg/33/md03s056.g.091226g.41032_33_g.100119g.51836_33.diff.cut.dcmp
 2010-01-07T10:34:28.70 55203.440610      g      -     -      -      -      -      -     -      -    -      0x1613   -2873.66    956.57  32.6814   -2869.69   954.88 32.680 0x00000011  ut100107g_templg/33/md03s056.g.100107g.36256_33_g.100119g.51836_33.diff.cut.dcmp
 2010-01-10T12:00:56.16 55206.500650      g      -     -      -      -      -      -     -      -    -      0x1613    2720.06   1049.54  32.6814    2720.06  1049.24 32.681 0x00000011  ut100110g_templg/33/md03s056.g.100110g.41912_33_g.100107g.36256_33.diff.cut.dcmp
 2010-01-10T12:00:56.51 55206.500654      g      -     -      -      -      -      -     -      -    -      0x1613    -978.02   1052.49  32.6814    -934.09  1005.18 32.632 0x00000011  ut100110g_templg/33/md03s056.g.100110g.41912_33_g.100119g.51836_33.diff.cut.dcmp
 2010-01-16T10:25:01.06 55212.434040      g 23.392 0.231 -0.037  0.367      -      -     -      -    1      0x1613    5195.50   1108.00  32.6814    5195.50  1106.96 32.681 0x00000011  ut100116g_templg/33/md03s056.g.100116g.45687_33_g.100107g.36256_33.diff.cut.dcmp
 2010-01-16T10:25:01.06 55212.434040      g      -     -      -      -      -      -     -      -    -      0x1613     -37.50   1194.00  32.6814     -34.52  1099.22 32.592 0x00000011  ut100116g_templg/33/md03s056.g.100116g.45687_33_g.100119g.51836_33.diff.cut.dcmp
 2010-01-19T09:46:23.81 55215.407220      g 24.041 0.362  0.522  0.445      -      -     -      -    1      0x1613    2857.57    952.39  32.6814    2857.57   952.02 32.681 0x00000011  ut100119g_templg/33/md03s056.g.100119g.51836_33_g.100107g.36256_33.diff.cut.dcmp
 2010-01-25T10:31:04.37 55221.438245      g 22.317 0.114 -1.150  0.333      -      -     -      -    1      0x1613   13991.32   1479.70  32.6814   13991.32  1474.03 32.681 0x00000011  ut100125g_templg/33/md03s056.g.100125g.96620_33_g.100107g.36256_33.diff.cut.dcmp
 2010-01-25T10:31:04.37 55221.438245      g 22.883 0.199 -0.584  0.370      -      -     -      -    1      0x1613    8303.51   1525.02  32.6814    8410.50  1542.71 32.695 0x00000011  ut100125g_templg/33/md03s056.g.100125g.96620_33_g.100119g.51836_33.diff.cut.dcmp
 2010-02-03T10:51:09.51 55230.452193      g 22.926 0.294  0.418  0.353      -      -     -      -    1      0x1613    7981.09   2165.27  32.6814    7981.09  2164.01 32.681 0x00000011  ut100203g_templg/33/md03s056.g.100203g.99207_33_g.100107g.36256_33.diff.cut.dcmp
 2010-02-03T10:51:09.51 55230.452193      g      -     -      -      -      -      -     -      -    -      0x1613    4262.35   2431.62  32.6814    4406.86  2513.73 32.718 0x00000011  ut100203g_templg/33/md03s056.g.100203g.99207_33_g.100119g.51836_33.diff.cut.dcmp
 2010-02-06T09:45:03.19 55233.406287      g 22.509 0.156  0.305  0.197      -      -     -      -    1      0x1613   11724.31   1685.20  32.6814   12148.63  1742.57 32.720 0x00000011 ut100206g_templg/33/md03s056.g.100206g.100621_33_g.100107g.36256_33.diff.cut.dcmp
 2010-02-06T09:45:03.19 55233.406287      g 22.906 0.220  0.703  0.251      -      -     -      -    1      0x1613    8130.12   1649.28  32.6814    8482.76  1719.02 32.727 0x00000011 ut100206g_templg/33/md03s056.g.100206g.100621_33_g.100119g.51836_33.diff.cut.dcmp
 2010-02-09T07:51:12.21 55236.327225      g 22.993 0.281  0.504  0.335      -      -     -      -    1      0x1613    7505.63   1945.11  32.6814    7401.29  1916.85 32.666 0x00000011 ut100209g_templg/33/md03s056.g.100209g.102156_33_g.100107g.36256_33.diff.cut.dcmp
 2010-02-09T07:51:12.21 55236.327225      g      -     -      -      -      -      -     -      -    -      0x1613    3771.37   1927.01  32.6814    3742.99  1912.20 32.673 0x00000011 ut100209g_templg/33/md03s056.g.100209g.102156_33_g.100119g.51836_33.diff.cut.dcmp
 2010-02-12T09:35:34.08 55239.399700      g 23.231 0.201  0.210  0.305      -      -     -      -    1      0x1613    6026.75   1117.19  32.6814    6026.75  1115.80 32.681 0x00000011  ut100212g_templg/33/md03s056.g.100212g.58948_33_g.100107g.36256_33.diff.cut.dcmp
 2010-02-12T09:35:34.08 55239.399700      g      -     -      -      -      -      -     -      -    -      0x1613    2229.18   1269.27  32.6814    2107.39  1199.77 32.620 0x00000011  ut100212g_templg/33/md03s056.g.100212g.58948_33_g.100119g.51836_33.diff.cut.dcmp
 2010-02-15T08:01:23.52 55242.334300      g 23.033 0.168  0.722  0.199      -      -     -      -    1      0x1613    7230.81   1119.07  32.6814    7230.81  1117.07 32.681 0x00000011  ut100215g_templg/33/md03s056.g.100215g.60700_33_g.100107g.36256_33.diff.cut.dcmp
 2010-02-15T08:01:23.52 55242.334300      g 23.430 0.257  1.119  0.278      -      -     -      -    1      0x1613    5016.73   1187.25  32.6814    4575.31  1081.96 32.581 0x00000011  ut100215g_templg/33/md03s056.g.100215g.60700_33_g.100119g.51836_33.diff.cut.dcmp
 2010-02-21T09:26:46.54 55248.393594      g 22.721 0.150      -      -      -      -     -      -    -      0x1613    9637.50   1331.62  32.6814    9637.50  1328.63 32.681 0x00000011  ut100221g_templg/33/md03s056.g.100221g.62903_33_g.100107g.36256_33.diff.cut.dcmp
 2010-02-21T09:26:46.54 55248.393594      g 23.383 0.282      -      -      -      -     -      -    -      0x1613    5241.91   1361.73  32.6814    5265.14  1366.90 32.686 0x00000011  ut100221g_templg/33/md03s056.g.100221g.62903_33_g.100119g.51836_33.diff.cut.dcmp
 2010-03-20T08:45:00.12 55275.364585      g      -     -      -      -      -      -     -      -    -      0x1613    3756.11   1935.37  32.6814    3933.49  2026.44 32.731 0x00000011  ut100320g_templg/33/md03s056.g.100320g.74729_33_g.100107g.36256_33.diff.cut.dcmp
 2010-03-20T08:45:00.12 55275.364585      g      -     -      -      -      -      -     -      -    -      0x1613    -491.99   1920.83  32.6814    -511.77  1998.06 32.724 0x00000011  ut100320g_templg/33/md03s056.g.100320g.74729_33_g.100119g.51836_33.diff.cut.dcmp
 2010-10-13T14:36:18.74 55482.608550      g      -     -      -      -      -      -     -      -    -      0x1613     -14.61   1443.55  32.6814     -14.61  1443.55 32.681 0x00000011 ut101013g_templg/33/md03s056.g.101013g.170875_33_g.100107g.36256_33.diff.cut.dcmp
 2010-10-13T14:36:18.74 55482.608550      g      -     -      -      -      -      -     -      -    -      0x1613   -4236.72   1193.24  32.6814   -4219.59  1187.77 32.677 0x00000011 ut101013g_templg/33/md03s056.g.101013g.170875_33_g.100119g.51836_33.diff.cut.dcmp
 2010-10-16T14:30:11.23 55485.604297      g      -     -      -      -      -      -     -      -    -      0x1613   -4971.42   1783.36  32.6814   -4971.42  1782.77 32.681 0x00000011 ut101016g_templg/33/md03s056.g.101016g.172749_33_g.100107g.36256_33.diff.cut.dcmp
 2010-10-16T14:30:11.23 55485.604297      g      -     -      -      -      -      -     -      -    -      0x1613  -13731.69   1963.36  32.6814  -14315.42  2042.53 32.727 0x00000011 ut101016g_templg/33/md03s056.g.101016g.172749_33_g.100119g.51836_33.diff.cut.dcmp
 2010-11-03T13:57:52.51 55503.581858      g      -     -      -      -      -      -     -      -    -      0x1613   -7424.58   1444.83  32.6814   -7424.58  1443.20 32.681 0x00000011 ut101103g_templg/33/md03s056.g.101103g.178081_33_g.100107g.36256_33.diff.cut.dcmp
 2010-11-03T13:57:52.51 55503.581858      g      -     -      -      -      -      -     -      -    -      0x1613  -11170.22   1264.87  32.6814  -11579.82  1306.87 32.721 0x00000011 ut101103g_templg/33/md03s056.g.101103g.178081_33_g.100119g.51836_33.diff.cut.dcmp
 2010-11-09T14:34:23.79 55509.607220      g      -     -      -      -      -      -     -      -    -      0x1613   -4291.04   1352.76  32.6814   -4291.04  1352.18 32.681 0x00000011 ut101109g_templg/33/md03s056.g.101109g.180339_33_g.100107g.36256_33.diff.cut.dcmp
 2010-11-09T14:34:23.79 55509.607220      g      -     -      -      -      -      -     -      -    -      0x1613   -8626.53   1529.57  32.6814   -8430.17  1492.72 32.656 0x00000011 ut101109g_templg/33/md03s056.g.101109g.180339_33_g.100119g.51836_33.diff.cut.dcmp
 2010-11-15T14:12:58.10 55515.592339      g      -     -      -      -      -      -     -      -    -      0x1613   -5569.48   1237.23  32.6814   -5569.48  1236.16 32.681 0x00000011 ut101115g_templg/33/md03s056.g.101115g.182631_33_g.100107g.36256_33.diff.cut.dcmp
 2010-11-15T14:12:58.10 55515.592339      g      -     -      -      -      -      -     -      -    -      0x1613   -8926.70   1168.09  32.6814   -8934.93  1166.24 32.682 0x00000011 ut101115g_templg/33/md03s056.g.101115g.182631_33_g.100119g.51836_33.diff.cut.dcmp
 2010-11-18T14:05:38.00 55518.587245      g      -     -      -      -      -      -     -      -    -      0x1613   -4249.34   1296.58  32.6814   -4249.34  1295.98 32.681 0x00000011 ut101118g_templg/33/md03s056.g.101118g.185258_33_g.100107g.36256_33.diff.cut.dcmp
 2010-11-18T14:05:38.00 55518.587245      g      -     -      -      -      -      -     -      -    -      0x1613  -10373.46   1324.76  32.6814  -10422.30  1327.50 32.687 0x00000011 ut101118g_templg/33/md03s056.g.101118g.185258_33_g.100119g.51836_33.diff.cut.dcmp
 2010-11-30T14:05:22.20 55530.587062      g      -     -      -      -      -      -     -      -    -      0x1613   -3797.42   1873.52  32.6814   -3797.42  1873.19 32.681 0x00000011 ut101130g_templg/33/md03s056.g.101130g.191761_33_g.100107g.36256_33.diff.cut.dcmp
 2010-11-30T14:05:22.20 55530.587062      g      -     -      -      -      -      -     -      -    -      0x1613   -7551.68   1991.43  32.6814   -7698.46  2028.89 32.702 0x00000011 ut101130g_templg/33/md03s056.g.101130g.191761_33_g.100119g.51836_33.diff.cut.dcmp
 2010-12-15T11:31:25.30 55545.480154      g      -     -      -      -      -      -     -      -    -      0x1613   -8603.99   1427.46  32.6814   -8603.99  1425.24 32.681 0x00000011 ut101215g_templg/33/md03s056.g.101215g.203943_33_g.100107g.36256_33.diff.cut.dcmp
 2010-12-15T11:31:25.30 55545.480154      g      -     -      -      -      -      -     -      -    -      0x1613  -12646.91   1179.17  32.6814  -12820.48  1189.45 32.696 0x00000011 ut101215g_templg/33/md03s056.g.101215g.203943_33_g.100119g.51836_33.diff.cut.dcmp
 2010-12-18T14:46:57.02 55548.615938      g      -     -      -      -      -      -     -      -    -      0x1613  -10182.87   1262.91  32.6814  -10182.87  1259.39 32.681 0x00000011 ut101218g_templg/33/md03s056.g.101218g.204670_33_g.100107g.36256_33.diff.cut.dcmp
 2010-12-18T14:46:57.02 55548.615938      g      -     -      -      -      -      -     -      -    -      0x1613  -14505.89   1331.35  32.6814  -14588.96  1332.15 32.688 0x00000011 ut101218g_templg/33/md03s056.g.101218g.204670_33_g.100119g.51836_33.diff.cut.dcmp
 2010-12-30T09:24:48.24 55560.392225      g      -     -      -      -      -      -     -      -    -      0x1613   -9056.36   1801.70  32.6814   -9056.36  1799.75 32.681 0x00000011 ut101230g_templg/33/md03s056.g.101230g.211740_33_g.100107g.36256_33.diff.cut.dcmp
 2010-12-30T09:24:48.24 55560.392225      g      -     -      -      -      -      -     -      -    -      0x1613  -12937.83   1978.42  32.6814  -13828.70  2110.77 32.754 0x00000011 ut101230g_templg/33/md03s056.g.101230g.211740_33_g.100119g.51836_33.diff.cut.dcmp
 2011-01-02T13:26:05.69 55563.559788      g      -     -      -      -      -      -     -      -    -      0x1613   -7510.69   2211.96  32.6814   -7510.69  2210.87 32.681 0x00000011 ut110102g_templg/33/md03s056.g.110102g.212242_33_g.100107g.36256_33.diff.cut.dcmp
 2011-01-02T13:26:05.69 55563.559788      g      -     -      -      -      -      -     -      -    -      0x1613  -11401.27   2493.36  32.6814  -11749.87  2567.30 32.714 0x00000011 ut110102g_templg/33/md03s056.g.110102g.212242_33_g.100119g.51836_33.diff.cut.dcmp
 2011-01-05T13:55:33.22 55566.580246      g      -     -      -      -      -      -     -      -    -      0x1613  -11568.90   1417.89  32.6814  -11568.90  1413.84 32.681 0x00000011 ut110105g_templg/33/md03s056.g.110105g.212726_33_g.100107g.36256_33.diff.cut.dcmp
 2011-01-05T13:55:33.22 55566.580246      g      -     -      -      -      -      -     -      -    -      0x1613  -15697.76   1617.58  32.6814  -15781.84  1619.67 32.687 0x00000011 ut110105g_templg/33/md03s056.g.110105g.212726_33_g.100119g.51836_33.diff.cut.dcmp
 2011-01-23T11:26:07.15 55584.476472      g      -     -      -      -      -      -     -      -    -      0x1613   -4735.68   1938.17  32.6814   -4735.68  1937.67 32.681 0x00000011 ut110123g_templg/33/md03s056.g.110123g.215901_33_g.100107g.36256_33.diff.cut.dcmp
 2011-01-23T11:26:07.15 55584.476472      g      -     -      -      -      -      -     -      -    -      0x1613   -9065.23   1766.65  32.6814   -9175.27  1786.08 32.694 0x00000011 ut110123g_templg/33/md03s056.g.110123g.215901_33_g.100119g.51836_33.diff.cut.dcmp
 2011-01-26T13:38:31.73 55587.568423      g      -     -      -      -      -      -     -      -    -      0x1613   -4337.81   1790.14  32.6814   -4337.81  1789.69 32.681 0x00000011 ut110126g_templg/33/md03s056.g.110126g.216970_33_g.100107g.36256_33.diff.cut.dcmp
 2011-01-26T13:38:31.73 55587.568423      g      -     -      -      -      -      -     -      -    -      0x1613  -12414.74   1939.78  32.6814  -12898.45  2011.82 32.723 0x00000011 ut110126g_templg/33/md03s056.g.110126g.216970_33_g.100119g.51836_33.diff.cut.dcmp
 2011-01-29T12:56:57.37 55590.539553      g      -     -      -      -      -      -     -      -    -      0x1613   -8386.74   1233.78  32.6814   -8386.74  1231.34 32.681 0x00000011 ut110129g_templg/33/md03s056.g.110129g.218796_33_g.100107g.36256_33.diff.cut.dcmp
 2011-01-29T12:56:57.37 55590.539553      g      -     -      -      -      -      -     -      -    -      0x1613  -12911.63   1079.16  32.6814  -13234.30  1099.33 32.708 0x00000011 ut110129g_templg/33/md03s056.g.110129g.218796_33_g.100119g.51836_33.diff.cut.dcmp
 2011-02-01T13:20:39.30 55593.556010      g      -     -      -      -      -      -     -      -    -      0x1613  -11318.99   1492.16  32.6814  -11318.99  1488.48 32.681 0x00000011 ut110201g_templg/33/md03s056.g.110201g.220315_33_g.100107g.36256_33.diff.cut.dcmp
 2011-02-01T13:20:39.30 55593.556010      g      -     -      -      -      -      -     -      -    -      0x1613  -14986.45   1897.23  32.6814  -15953.60  2014.27 32.749 0x00000011 ut110201g_templg/33/md03s056.g.110201g.220315_33_g.100119g.51836_33.diff.cut.dcmp
