#               DATEOBS        MJDim filter m dm gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-02-03T14:27:18.16 55230.602294      g -  -  -      -  -      -  -      -    -      0x1613   6077.01  3540.02  32.5474   6919.10  4030.06 32.688 0x00000011  ut100203i_templi/62/md06s077.g.100203i.99702_62_g.100116i.46359_62.diff.cut.dcmp
 2010-02-06T12:45:13.19 55233.531403      g -  -  -      -  -      -  -      -    -      0x1613   2998.82  3018.67  32.5474   3092.50  3112.84 32.581 0x00000011 ut100206i_templi/62/md06s077.g.100206i.101108_62_g.100116i.46359_62.diff.cut.dcmp
 2010-02-09T14:17:59.51 55236.595828      g -  -  -      -  -      -  -      -    -      0x1613   3326.29  3055.66  32.5474   3542.58  3254.19 32.616 0x00000011 ut100209i_templi/62/md06s077.g.100209i.102650_62_g.100116i.46359_62.diff.cut.dcmp
 2010-02-12T12:56:35.68 55239.539302      g -  -  -      -  -      -  -      -    -      0x1613   2299.82  2499.17  32.5474   2468.39  2682.26 32.624 0x00000011  ut100212i_templi/62/md06s077.g.100212i.59493_62_g.100116i.46359_62.diff.cut.dcmp
 2010-02-15T12:54:09.61 55242.537611      g -  -  -      -  -      -  -      -    -      0x1613   3730.96  2731.06  32.5474   3731.65  2731.34 32.548 0x00000011  ut100215i_templi/62/md06s077.g.100215i.61240_62_g.100116i.46359_62.diff.cut.dcmp
 2010-02-21T12:36:22.05 55248.525255      g -  -  -      -  -      -  -      -    -      0x1613   3887.97  3040.60  32.5474   4288.67  3353.74 32.654 0x00000011  ut100221i_templi/62/md06s077.g.100221i.63412_62_g.100116i.46359_62.diff.cut.dcmp
 2010-02-24T12:13:14.10 55251.509191      g -  -  -      -  -      -  -      -    -      0x1613   4836.42  3064.20  32.5474   5606.91  3551.98 32.708 0x00000011  ut100224i_templi/62/md06s077.g.100224i.64667_62_g.100116i.46359_62.diff.cut.dcmp
 2010-03-11T12:57:16.27 55266.539772      g -  -  -      -  -      -  -      -    -      0x1613   2192.48  4465.32  32.5474   2263.89  4610.71 32.582 0x00000011  ut100311i_templi/62/md06s077.g.100311i.80447_62_g.100116i.46359_62.diff.cut.dcmp
 2010-03-17T13:36:50.38 55272.567250      g -  -  -      -  -      -  -      -    -      0x1613   3970.05  4289.06  32.5474   4737.57  5118.07 32.739 0x00000011  ut100317i_templi/62/md06s077.g.100317i.73479_62_g.100116i.46359_62.diff.cut.dcmp
 2010-03-20T12:21:47.99 55275.515139      g -  -  -      -  -      -  -      -    -      0x1613   2257.37  2847.45  32.5474   2520.24  3178.96 32.667 0x00000011  ut100320i_templi/62/md06s077.g.100320i.75219_62_g.100116i.46359_62.diff.cut.dcmp
 2010-04-15T07:57:43.61 55301.331755      g -  -  -      -  -      -  -      -    -      0x1613   1403.49  2994.86  32.5474   1549.56  3306.53 32.655 0x00000011  ut100415i_templi/62/md06s077.g.100415i.90724_62_g.100116i.46359_62.diff.cut.dcmp
 2010-04-19T08:02:03.22 55305.334759      g -  -  -      -  -      -  -      -    -      0x1613   5127.58  3480.72  32.5474   6113.26  4149.43 32.738 0x00000011  ut100419i_templi/62/md06s077.g.100419i.94646_62_g.100116i.46359_62.diff.cut.dcmp
 2010-05-10T09:52:05.66 55326.411177      g -  -  -      -  -      -  -      -    -      0x1613   6492.40  3269.21  32.5474   7552.40  3802.33 32.712 0x00000011 ut100510i_templi/62/md06s077.g.100510i.106585_62_g.100116i.46359_62.diff.cut.dcmp
 2010-05-13T08:47:50.64 55329.366558      g -  -  -      -  -      -  -      -    -      0x1613   2801.67  2919.92  32.5474   2767.56  2884.26 32.534 0x00000011 ut100513i_templi/62/md06s077.g.100513i.107747_62_g.100116i.46359_62.diff.cut.dcmp
 2010-06-06T08:26:03.56 55353.351430      g -  -  -      -  -      -  -      -    -      0x1613   2019.15  2727.94  32.5474   2215.79  2993.54 32.648 0x00000011 ut100606i_templi/62/md06s077.g.100606i.115964_62_g.100116i.46359_62.diff.cut.dcmp
 2010-06-12T07:01:56.28 55359.293013      g -  -  -      -  -      -  -      -    -      0x1613  -2360.32  5671.34  32.5474  -2648.08  6362.71 32.672 0x00000011 ut100612i_templi/62/md06s077.g.100612i.116908_62_g.100116i.46359_62.diff.cut.dcmp
 2010-06-15T06:22:45.02 55362.265799      g -  -  -      -  -      -  -      -    -      0x1613   2263.95  2677.99  32.5474   2382.47  2818.09 32.603 0x00000011 ut100615i_templi/62/md06s077.g.100615i.118325_62_g.100116i.46359_62.diff.cut.dcmp
 2011-02-04T14:53:25.39 55596.620433      g -  -  -      -  -      -  -      -    -      0x1613   3419.89  2577.23  32.5474   3574.80  2693.77 32.596 0x00000011 ut110204i_templi/62/md06s077.g.110204i.223912_62_g.100116i.46359_62.diff.cut.dcmp
 2011-02-10T12:09:19.12 55602.506471      g -  -  -      -  -      -  -      -    -      0x1613   2348.76  2091.41  32.5474   2662.43  2370.59 32.684 0x00000011 ut110210i_templi/62/md06s077.g.110210i.225363_62_g.100116i.46359_62.diff.cut.dcmp
 2011-02-13T14:51:56.71 55605.619406      g -  -  -      -  -      -  -      -    -      0x1613   1381.92  4088.07  32.5474   1298.98  3842.70 32.480 0x00000011 ut110213i_templi/62/md06s077.g.110213i.225850_62_g.100116i.46359_62.diff.cut.dcmp
 2011-03-12T14:48:13.10 55632.616818      g -  -  -      -  -      -  -      -    -      0x1613   3250.16  3037.30  32.5474   3984.97  3723.80 32.769 0x00000011 ut110312i_templi/62/md06s077.g.110312i.248510_62_g.100116i.46359_62.diff.cut.dcmp
 2011-03-15T11:26:50.61 55635.476975      g -  -  -      -  -      -  -      -    -      0x1613   5089.27  2988.24  32.5474   5680.36  3334.89 32.667 0x00000011 ut110315i_templi/62/md06s077.g.110315i.249725_62_g.100116i.46359_62.diff.cut.dcmp
 2011-03-30T13:31:57.65 55650.563862      g -  -  -      -  -      -  -      -    -      0x1613  -3973.91  5122.77  32.5474  -4311.79  5558.19 32.636 0x00000011 ut110330i_templi/62/md06s077.g.110330i.254365_62_g.100116i.46359_62.diff.cut.dcmp
 2011-04-02T12:26:21.94 55653.518309      g -  -  -      -  -      -  -      -    -      0x1613   1676.99  4299.42  32.5474   1902.00  4876.26 32.684 0x00000011 ut110402i_templi/62/md06s077.g.110402i.258745_62_g.100116i.46359_62.diff.cut.dcmp
 2011-04-14T07:31:35.15 55665.313601      g -  -  -      -  -      -  -      -    -      0x1613   2568.25  3456.64  32.5474   3024.67  4070.84 32.725 0x00000011 ut110414i_templi/62/md06s077.g.110414i.263519_62_g.100116i.46359_62.diff.cut.dcmp
 2011-04-26T09:48:59.63 55677.409024      g -  -  -      -  -      -  -      -    -      0x1613   2480.65  2388.64  32.5474   2497.38  2404.64 32.555 0x00000011 ut110426i_templi/62/md06s077.g.110426i.269497_62_g.100116i.46359_62.diff.cut.dcmp
 2011-04-29T06:57:11.23 55680.289713      g -  -  -      -  -      -  -      -    -      0x1613   2517.18  4440.28  32.5474   2424.57  4276.85 32.507 0x00000011 ut110429i_templi/62/md06s077.g.110429i.270389_62_g.100116i.46359_62.diff.cut.dcmp
 2011-06-07T07:05:42.32 55719.295629      g -  -  -      -  -      -  -      -    -      0x1613   5464.66  3918.48  32.5474   5228.81  3749.05 32.499 0x00000011 ut110607i_templi/62/md06s077.g.110607i.304522_62_g.100116i.46359_62.diff.cut.dcmp
 2011-06-10T07:06:51.23 55722.296426      g -  -  -      -  -      -  -      -    -      0x1613   8226.73  5307.82  32.5474   8365.80  5396.99 32.566 0x00000011 ut110610i_templi/62/md06s077.g.110610i.305854_62_g.100116i.46359_62.diff.cut.dcmp
 2011-06-19T07:19:41.92 55731.305346      g -  -  -      -  -      -  -      -    -      0x1613   2702.51  5348.53  32.5474   3032.83  6002.19 32.673 0x00000011 ut110619i_templi/62/md06s077.g.110619i.311985_62_g.100116i.46359_62.diff.cut.dcmp
 2010-02-19T11:04:23.42 55246.461382      i -  -  -      -  -      -  -      -    -      0x1615  -6316.69  6051.43  32.7872  -5939.22  5689.55 32.720 0x00000011  ut100219i_templi/62/md06s077.i.100219i.62440_62_i.091227i.34738_62.diff.cut.dcmp
 2010-02-25T13:15:25.27 55252.552376      i -  -  -      -  -      -  -      -    -      0x1615  -7970.14  6803.90  32.7872  -7699.56  6572.53 32.750 0x00000011  ut100225i_templi/62/md06s077.i.100225i.64512_62_i.091227i.34738_62.diff.cut.dcmp
 2010-04-02T10:39:34.41 55288.444148      i -  -  -      -  -      -  -      -    -      0x1615  -8807.71  7643.09  32.7872  -7919.60  6872.02 32.672 0x00000011  ut100402i_templi/62/md06s077.i.100402i.79741_62_i.091227i.34738_62.diff.cut.dcmp
 2010-04-11T08:10:54.71 55297.340911      i -  -  -      -  -      -  -      -    -      0x1615 -10390.79  6226.86  32.7872  -9646.47  5780.13 32.706 0x00000011  ut100411i_templi/62/md06s077.i.100411i.81058_62_i.091227i.34738_62.diff.cut.dcmp
 2010-05-23T06:46:07.22 55339.282028      i -  -  -      -  -      -  -      -    -      0x1615   2757.24 12854.96  32.7872   2505.62 11681.80 32.683 0x00000011 ut100523i_templi/62/md06s077.i.100523i.112896_62_i.091227i.34738_62.diff.cut.dcmp
 2010-06-13T06:18:46.39 55360.263037      i -  -  -      -  -      -  -      -    -      0x1615 -12531.56  9436.32  32.7872 -10309.68  7762.65 32.575 0x00000011 ut100613i_templi/62/md06s077.i.100613i.117224_62_i.091227i.34738_62.diff.cut.dcmp
 2010-06-16T06:35:18.36 55363.274518      i -  -  -      -  -      -  -      -    -      0x1615  -7860.27  6476.09  32.7872  -7074.85  5828.62 32.673 0x00000011 ut100616i_templi/62/md06s077.i.100616i.118091_62_i.091227i.34738_62.diff.cut.dcmp
 2011-03-10T14:08:16.78 55630.589083      i -  -  -      -  -      -  -      -    -      0x1615  -8428.31  8291.89  32.7872  -7730.02  7604.56 32.693 0x00000011 ut110310i_templi/62/md06s077.i.110310i.242632_62_i.091227i.34738_62.diff.cut.dcmp
 2011-03-16T09:59:51.76 55636.416571      i -  -  -      -  -      -  -      -    -      0x1615  -9351.41  8223.45  32.7872  -8458.18  7437.55 32.678 0x00000011 ut110316i_templi/62/md06s077.i.110316i.249886_62_i.091227i.34738_62.diff.cut.dcmp
 2011-03-25T13:16:46.52 55645.553316      i -  -  -      -  -      -  -      -    -      0x1615  -7219.84  6436.02  32.7872  -6870.80  6124.55 32.733 0x00000011 ut110325i_templi/62/md06s077.i.110325i.252811_62_i.091227i.34738_62.diff.cut.dcmp
 2011-04-15T08:14:20.19 55666.343289      i -  -  -      -  -      -  -      -    -      0x1615  -8317.98  7385.63  32.7872  -7695.87  6832.88 32.703 0x00000011 ut110415i_templi/62/md06s077.i.110415i.264003_62_i.091227i.34738_62.diff.cut.dcmp
 2011-05-21T08:14:16.87 55702.343251      i -  -  -      -  -      -  -      -    -      0x1615   -471.03 11951.24  32.7872   -458.32 11628.75 32.758 0x00000011 ut110521i_templi/62/md06s077.i.110521i.301185_62_i.091227i.34738_62.diff.cut.dcmp
 2011-05-27T08:03:07.97 55708.335509      i -  -  -      -  -      -  -      -    -      0x1615  -1985.83 11534.56  32.7872  -1622.04  9421.51 32.568 0x00000011 ut110527i_templi/62/md06s077.i.110527i.302113_62_i.091227i.34738_62.diff.cut.dcmp
 2011-06-08T07:42:37.11 55720.321263      i -  -  -      -  -      -  -      -    -      0x1615  -5348.74  8431.82  32.7872  -4188.43  6602.58 32.522 0x00000011 ut110608i_templi/62/md06s077.i.110608i.304925_62_i.091227i.34738_62.diff.cut.dcmp
 2011-06-20T07:32:38.57 55732.314335      i -  -  -      -  -      -  -      -    -      0x1615  -9001.29  8777.59  32.7872  -8220.62  8015.96 32.689 0x00000011 ut110620i_templi/62/md06s077.i.110620i.312144_62_i.091227i.34738_62.diff.cut.dcmp
 2010-01-27T13:43:33.22 55223.571912      z -  -  -      -  -      -  -      -    -      0x1616   4938.76  3177.98  31.9334   4939.67  3178.24 31.934 0x00000011  ut100127i_templi/62/md06s077.z.100127i.98369_62_z.091228i.35073_62.diff.cut.dcmp
 2010-02-08T14:08:48.19 55235.589447      z -  -  -      -  -      -  -      -    -      0x1616   8377.32  3528.51  31.9334   9496.97  3999.14 32.070 0x00000011 ut100208i_templi/62/md06s077.z.100208i.102017_62_z.091228i.35073_62.diff.cut.dcmp
 2010-02-11T13:36:20.79 55238.566907      z -  -  -      -  -      -  -      -    -      0x1616   6848.64  2892.63  31.9334   6967.62  2942.18 31.952 0x00000011 ut100211i_templi/62/md06s077.z.100211i.103586_62_z.091228i.35073_62.diff.cut.dcmp
 2010-02-14T11:48:26.57 55241.491974      z -  -  -      -  -      -  -      -    -      0x1616   8516.73  4072.61  31.9334   7749.49  3705.03 31.831 0x00000011  ut100214i_templi/62/md06s077.z.100214i.60543_62_z.091228i.35073_62.diff.cut.dcmp
 2010-02-20T12:53:44.68 55247.537323      z -  -  -      -  -      -  -      -    -      0x1616   7082.85  3138.31  31.9334   7401.64  3278.85 31.981 0x00000011  ut100220i_templi/62/md06s077.z.100220i.62763_62_z.091228i.35073_62.diff.cut.dcmp
 2010-03-13T14:01:10.09 55268.584145      z -  -  -      -  -      -  -      -    -      0x1616   5091.58  3907.31  31.9334   5031.44  3860.88 31.921 0x00000011  ut100313i_templi/62/md06s077.z.100313i.73256_62_z.091228i.35073_62.diff.cut.dcmp
 2010-04-12T09:24:23.04 55298.391933      z -  -  -      -  -      -  -      -    -      0x1616   4999.08  2749.07  31.9334   5099.06  2803.65 31.955 0x00000011  ut100412i_templi/62/md06s077.z.100412i.81286_62_z.091228i.35073_62.diff.cut.dcmp
 2010-05-06T09:21:12.28 55322.389725      z -  -  -      -  -      -  -      -    -      0x1616   5323.43  2564.15  31.9334   4963.08  2390.14 31.857 0x00000011 ut100506i_templi/62/md06s077.z.100506i.106197_62_z.091228i.35073_62.diff.cut.dcmp
 2010-05-24T06:49:24.05 55340.284306      z -  -  -      -  -      -  -      -    -      0x1616   8596.61  4181.00  31.9334   8456.82  4112.27 31.916 0x00000011 ut100524i_templi/62/md06s077.z.100524i.112975_62_z.091228i.35073_62.diff.cut.dcmp
 2010-06-14T06:14:21.47 55361.259971      z -  -  -      -  -      -  -      -    -      0x1616   5915.62  3312.41  31.9334   5972.56  3343.83 31.944 0x00000011 ut100614i_templi/62/md06s077.z.100614i.117383_62_z.091228i.35073_62.diff.cut.dcmp
 2010-06-20T06:18:37.30 55367.262932      z -  -  -      -  -      -  -      -    -      0x1616   6078.47  2629.78  31.9334   6030.51  2608.44 31.925 0x00000011 ut100620i_templi/62/md06s077.z.100620i.119887_62_z.091228i.35073_62.diff.cut.dcmp
 2011-03-14T14:59:39.03 55634.624757      z -  -  -      -  -      -  -      -    -      0x1616   3569.46  3396.76  31.9334   3537.39  3366.08 31.924 0x00000011 ut110314i_templi/62/md06s077.z.110314i.249160_62_z.091228i.35073_62.diff.cut.dcmp
 2011-03-29T14:14:25.18 55649.593347      z -  -  -      -  -      -  -      -    -      0x1616   6823.04  3883.64  31.9334   7098.68  4040.00 31.976 0x00000011 ut110329i_templi/62/md06s077.z.110329i.253634_62_z.091228i.35073_62.diff.cut.dcmp
 2011-04-13T08:32:19.12 55664.355777      z -  -  -      -  -      -  -      -    -      0x1616   4362.40  2724.43  31.9334   4480.49  2797.87 31.962 0x00000011 ut110413i_templi/62/md06s077.z.110413i.262966_62_z.091228i.35073_62.diff.cut.dcmp
 2011-05-25T07:18:57.54 55706.304833      z -  -  -      -  -      -  -      -    -      0x1616   5087.05  3350.65  31.9334   4919.78  3240.16 31.897 0x00000011 ut110525i_templi/62/md06s077.z.110525i.302033_62_z.091228i.35073_62.diff.cut.dcmp
 2011-06-12T07:33:20.47 55724.314820      z -  -  -      -  -      -  -      -    -      0x1616   3028.17  3225.95  31.9334   2895.88  3084.90 31.885 0x00000011 ut110612i_templi/62/md06s077.z.110612i.306745_62_z.091228i.35073_62.diff.cut.dcmp
 2010-03-01T12:04:50.65 55256.503364      y -  -  -      -  -      -  -      -    -      0x1617   -243.74   628.37  29.5601   -250.18   644.96 29.588 0x00000011  ut100301i_templi/62/md06s077.y.100301i.66244_62_y.100129i.99052_62.diff.cut.dcmp
 2010-03-02T15:31:19.48 55257.646753      y -  -  -      -  -      -  -      -    -      0x1617   -290.28  1182.44  29.5601   -319.40  1301.06 29.664 0x00000011  ut100302i_templi/62/md06s077.y.100302i.72630_62_y.100129i.99052_62.diff.cut.dcmp
 2010-05-29T09:24:21.64 55345.391917      y -  -  -      -  -      -  -      -    -      0x1617   3740.03  1373.17  29.5601   3820.46  1402.25 29.583 0x00000011 ut100529i_templi/62/md06s077.y.100529i.113609_62_y.100129i.99052_62.diff.cut.dcmp
 2010-06-24T08:13:46.86 55371.342903      y -  -  -      -  -      -  -      -    -      0x1617    -22.51   483.07  29.5601    -22.51   483.07 29.560 0x00000011 ut100624i_templi/62/md06s077.y.100624i.120435_62_y.100129i.99052_62.diff.cut.dcmp
 2011-02-18T12:24:53.05 55610.517281      y -  -  -      -  -      -  -      -    -      0x1617    525.35   855.52  29.5601    525.35   855.51 29.560 0x00000011 ut110218i_templi/62/md06s077.y.110218i.231322_62_y.100129i.99052_62.diff.cut.dcmp
 2011-02-20T11:42:08.36 55612.487597      y -  -  -      -  -      -  -      -    -      0x1617    -16.14   432.68  29.5601    -16.14   432.68 29.560 0x00000011 ut110220i_templi/62/md06s077.y.110220i.232048_62_y.100129i.99052_62.diff.cut.dcmp
 2011-03-17T10:58:28.54 55637.457275      y -  -  -      -  -      -  -      -    -      0x1617   1339.19  1137.75  29.5601   1303.53  1107.39 29.531 0x00000011 ut110317i_templi/62/md06s077.y.110317i.250454_62_y.100129i.99052_62.diff.cut.dcmp
 2011-03-18T10:01:58.27 55638.418035      y -  -  -      -  -      -  -      -    -      0x1617    516.93  2273.48  29.5601    475.68  2092.04 29.470 0x00000011 ut110318i_templi/62/md06s077.y.110318i.250698_62_y.100129i.99052_62.diff.cut.dcmp
 2011-03-21T12:26:05.71 55641.518122      y -  -  -      -  -      -  -      -    -      0x1617    305.42   518.37  29.5601    324.92   551.46 29.627 0x00000011 ut110321i_templi/62/md06s077.y.110321i.251760_62_y.100129i.99052_62.diff.cut.dcmp
 2011-04-16T09:38:20.62 55667.401628      y -  -  -      -  -      -  -      -    -      0x1617    732.85   808.86  29.5601    755.33   833.64 29.593 0x00000011 ut110416i_templi/62/md06s077.y.110416i.264427_62_y.100129i.99052_62.diff.cut.dcmp
 2011-04-17T10:37:34.17 55668.442757      y -  -  -      -  -      -  -      -    -      0x1617    400.67   480.75  29.5601    424.45   509.27 29.623 0x00000011 ut110417i_templi/62/md06s077.y.110417i.264913_62_y.100129i.99052_62.diff.cut.dcmp
 2011-04-18T10:51:04.39 55669.452134      y -  -  -      -  -      -  -      -    -      0x1617     67.64   751.77  29.5601     69.79   775.68 29.594 0x00000011 ut110418i_templi/62/md06s077.y.110418i.265320_62_y.100129i.99052_62.diff.cut.dcmp
 2011-04-20T09:53:01.97 55671.411828      y -  -  -      -  -      -  -      -    -      0x1617   -216.53   465.69  29.5601   -216.53   465.69 29.560 0x00000011 ut110420i_templi/62/md06s077.y.110420i.266129_62_y.100129i.99052_62.diff.cut.dcmp
 2011-05-15T07:31:31.24 55696.313556      y -  -  -      -  -      -  -      -    -      0x1617   -188.98   671.37  29.5601   -188.98   671.37 29.560 0x00000011 ut110515i_templi/62/md06s077.y.110515i.298338_62_y.100129i.99052_62.diff.cut.dcmp
