#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-11T15:25:56.06 55176.643010      g      -     -     -      -      -      -      -      -    -      0x1613   -69.47  1249.62  32.7868   -63.63  1144.51 32.691 0x00000011  ut091211g_templg/42/md04s056.g.091211g.44080_42_g.100110g.42128_42.diff.cut.dcmp
 2009-12-11T15:25:56.06 55176.643010      g      -     -     -      -      -      -      -      -    -      0x1613   389.76  1049.21  32.7868   890.60  2397.40 33.684 0x00000011  ut091211g_templg/42/md04s056.g.091211g.44080_42_g.100121g.52983_42.diff.cut.dcmp
 2009-12-14T14:28:46.85 55179.603320      g      -     -     -      -      -      -      -      -    -      0x1613   710.32   763.77  32.7868   678.85   729.91 32.738 0x00000011  ut091214g_templg/42/md04s056.g.091214g.38645_42_g.100110g.42128_42.diff.cut.dcmp
 2009-12-14T14:28:46.85 55179.603320      g      -     -     -      -      -      -      -      -    -      0x1613  1031.70   645.08  32.7868  2420.78  1513.44 33.713 0x00000011  ut091214g_templg/42/md04s056.g.091214g.38645_42_g.100121g.52983_42.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g      -     -     -      -      -      -      -      -    -      0x1613 -2697.27  1135.60  32.7868 -2529.79  1064.83 32.717 0x00000011  ut091223g_templg/42/md04s056.g.091223g.45300_42_g.100110g.42128_42.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g      -     -     -      -      -      -      -      -    -      0x1613 -2015.69   956.61  32.7868 -4678.04  2219.70 33.701 0x00000011  ut091223g_templg/42/md04s056.g.091223g.45300_42_g.100121g.52983_42.diff.cut.dcmp
 2010-01-10T13:32:44.16 55206.564400      g      -     -     -      -      -      -      -      -    -      0x1613   290.08   672.40  32.7868   680.64  1577.71 33.713 0x00000011  ut100110g_templg/42/md04s056.g.100110g.42128_42_g.100121g.52983_42.diff.cut.dcmp
 2010-01-16T12:07:06.50 55212.504936      g      -     -     -      -      -      -      -      -    -      0x1613  -786.58  1432.35  32.7868  -786.58  1432.33 32.787 0x00000011  ut100116g_templg/42/md04s056.g.100116g.54142_42_g.100110g.42128_42.diff.cut.dcmp
 2010-01-16T12:07:06.50 55212.504936      g      -     -     -      -      -      -      -      -    -      0x1613   243.83  1247.48  32.7868   572.12  2927.08 33.713 0x00000011  ut100116g_templg/42/md04s056.g.100116g.54142_42_g.100121g.52983_42.diff.cut.dcmp
 2010-01-16T12:34:44.67 55212.524128      g      -     -     -      -      -      -      -      -    -      0x1613 -1116.17   952.52  32.7868 -2618.96  2234.85 33.713 0x00000011  ut100116g_templg/42/md04s056.g.100116g.45896_42_g.100121g.52983_42.diff.cut.dcmp
 2010-01-16T12:34:44.83 55212.524130      g      -     -     -      -      -      -      -      -    -      0x1613 -1681.43  1060.54  32.7868 -1681.43  1060.43 32.787 0x00000011  ut100116g_templg/42/md04s056.g.100116g.45896_42_g.100110g.42128_42.diff.cut.dcmp
 2010-01-16T12:48:33.76 55212.533724      g      -     -     -      -      -      -      -      -    -      0x1613 -2410.90  1501.43  32.7868 -2410.90  1501.26 32.787 0x00000011  ut100116g_templg/42/md04s056.g.100116g.54236_42_g.100110g.42128_42.diff.cut.dcmp
 2010-01-19T13:24:13.54 55215.558490      g      -     -     -      -      -      -      -      -    -      0x1613   706.08   998.81  32.7868   643.54   910.32 32.686 0x00000011  ut100119g_templg/42/md04s056.g.100119g.52192_42_g.100110g.42128_42.diff.cut.dcmp
 2010-01-19T13:24:13.54 55215.558490      g      -     -     -      -      -      -      -      -    -      0x1613   756.03   803.72  32.7868  1773.95  1885.76 33.713 0x00000011  ut100119g_templg/42/md04s056.g.100119g.52192_42_g.100121g.52983_42.diff.cut.dcmp
 2010-01-21T11:07:28.13 55217.463520      g      -     -     -      -      -      -      -      -    -      0x1613  -255.83   666.63  32.7868  -241.03   628.06 32.722 0x00000011  ut100121g_templg/42/md04s056.g.100121g.52983_42_g.100110g.42128_42.diff.cut.dcmp
 2010-01-25T11:13:11.41 55221.467493      g      -     -     -      -      -      -      -      -    -      0x1613  1406.67  1454.12  32.7868  1406.67  1454.06 32.787 0x00000011  ut100125g_templg/42/md04s056.g.100125g.96777_42_g.100110g.42128_42.diff.cut.dcmp
 2010-01-25T11:13:11.41 55221.467493      g      -     -     -      -      -      -      -      -    -      0x1613  2267.32  1457.44  32.7868  5320.01  3419.37 33.713 0x00000011  ut100125g_templg/42/md04s056.g.100125g.96777_42_g.100121g.52983_42.diff.cut.dcmp
 2010-02-03T08:58:16.45 55230.373802      g      -     -     -      -      -      -      -      -    -      0x1613  2858.53  5656.92  32.7868  2672.16  5288.05 32.714 0x00000011  ut100203g_templg/42/md04s056.g.100203g.99367_42_g.100110g.42128_42.diff.cut.dcmp
 2010-02-06T10:54:00.88 55233.454177      g      -     -     -      -      -      -      -      -    -      0x1613  1362.04  2042.85  32.7868  1270.08  1904.88 32.711 0x00000011 ut100206g_templg/42/md04s056.g.100206g.100780_42_g.100110g.42128_42.diff.cut.dcmp
 2010-02-06T10:54:00.88 55233.454177      g      -     -     -      -      -      -      -      -    -      0x1613  2295.25  1899.80  32.7868  5312.64  4397.04 33.698 0x00000011 ut100206g_templg/42/md04s056.g.100206g.100780_42_g.100121g.52983_42.diff.cut.dcmp
 2010-02-09T11:24:11.83 55236.475137      g      -     -     -      -      -      -      -      -    -      0x1613   538.48   976.91  32.7868   494.00   896.21 32.693 0x00000011 ut100209g_templg/42/md04s056.g.100209g.102317_42_g.100110g.42128_42.diff.cut.dcmp
 2010-02-09T11:24:11.83 55236.475137      g      -     -     -      -      -      -      -      -    -      0x1613   700.52   927.04  32.7868  1643.69  2175.15 33.713 0x00000011 ut100209g_templg/42/md04s056.g.100209g.102317_42_g.100121g.52983_42.diff.cut.dcmp
 2010-02-12T11:31:17.18 55239.480060      g      -     -     -      -      -      -      -      -    -      0x1613  -589.89  1079.56  32.7868  -544.47   996.42 32.700 0x00000011  ut100212g_templg/42/md04s056.g.100212g.59124_42_g.100110g.42128_42.diff.cut.dcmp
