#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-19T15:08:44.16 55215.631067      g      -     -  -      -  -      -  -      -    -      0x1613   1083.83  3414.87  32.7760    656.87  2069.63 32.232 0x00000011  ut100119i_templi/63/md06s077.g.100119i.52606_63_g.100125i.97114_63.diff.cut.dcmp
 2010-01-25T13:24:56.89 55221.558992      g      -     -  -      -  -      -  -      -    -      0x1613  -1039.23  3332.57  32.7760   -739.18  2370.38 32.406 0x00000011  ut100125i_templi/63/md06s077.g.100125i.97114_63_g.100119i.52606_63.diff.cut.dcmp
 2010-02-03T14:27:18.16 55230.602294      g      -     -  -      -  -      -  -      -    -      0x1613   5532.20  4317.45  32.7760   5460.32  4261.05 32.762 0x00000011  ut100203i_templi/63/md06s077.g.100203i.99702_63_g.100119i.52606_63.diff.cut.dcmp
 2010-02-03T14:27:18.16 55230.602294      g      -     -  -      -  -      -  -      -    -      0x1613   4731.02  2850.39  32.7760   2867.31  1727.32 32.232 0x00000011  ut100203i_templi/63/md06s077.g.100203i.99702_63_g.100125i.97114_63.diff.cut.dcmp
 2010-02-06T12:45:13.19 55233.531403      g      -     -  -      -  -      -  -      -    -      0x1613   8187.67  4273.39  32.7760   7032.02  3669.65 32.611 0x00000011 ut100206i_templi/63/md06s077.g.100206i.101108_63_g.100119i.52606_63.diff.cut.dcmp
 2010-02-06T12:45:13.19 55233.531403      g      -     -  -      -  -      -  -      -    -      0x1613   6388.96  2449.82  32.7760   3872.13  1484.32 32.232 0x00000011 ut100206i_templi/63/md06s077.g.100206i.101108_63_g.100125i.97114_63.diff.cut.dcmp
 2010-02-09T14:17:59.51 55236.595828      g      -     -  -      -  -      -  -      -    -      0x1613   3306.73  3510.61  32.7760   2854.95  3030.86 32.617 0x00000011 ut100209i_templi/63/md06s077.g.100209i.102650_63_g.100119i.52606_63.diff.cut.dcmp
 2010-02-09T14:17:59.51 55236.595828      g      -     -  -      -  -      -  -      -    -      0x1613   3054.49  1950.16  32.7760   2142.39  1367.68 32.391 0x00000011 ut100209i_templi/63/md06s077.g.100209i.102650_63_g.100125i.97114_63.diff.cut.dcmp
 2010-02-12T12:56:35.68 55239.539302      g      -     -  -      -  -      -  -      -    -      0x1613 -25817.25  2759.20  32.7760 -15646.96  1665.98 32.232 0x00000011  ut100212i_templi/63/md06s077.g.100212i.59493_63_g.100125i.97114_63.diff.cut.dcmp
 2010-02-15T12:54:09.61 55242.537611      g      -     -  -      -  -      -  -      -    -      0x1613   4104.76  3679.98  32.7760   3120.38  2797.32 32.478 0x00000011  ut100215i_templi/63/md06s077.g.100215i.61240_63_g.100119i.52606_63.diff.cut.dcmp
 2010-02-15T12:54:09.61 55242.537611      g      -     -  -      -  -      -  -      -    -      0x1613   4236.12  1969.85  32.7760   2567.37  1193.62 32.232 0x00000011  ut100215i_templi/63/md06s077.g.100215i.61240_63_g.100125i.97114_63.diff.cut.dcmp
 2010-02-24T12:13:14.10 55251.509191      g      -     -  -      -  -      -  -      -    -      0x1613   2304.23  3307.43  32.7760   1928.79  2768.48 32.583 0x00000011  ut100224i_templi/63/md06s077.g.100224i.64667_63_g.100119i.52606_63.diff.cut.dcmp
 2010-02-24T12:13:14.10 55251.509191      g      -     -  -      -  -      -  -      -    -      0x1613   2842.50  2901.77  32.7760   1722.74  1758.59 32.232 0x00000011  ut100224i_templi/63/md06s077.g.100224i.64667_63_g.100125i.97114_63.diff.cut.dcmp
 2010-03-11T12:57:16.27 55266.539772      g      -     -  -      -  -      -  -      -    -      0x1613   3471.80  8210.26  32.7760   2825.63  6682.11 32.552 0x00000011  ut100311i_templi/63/md06s077.g.100311i.80447_63_g.100119i.52606_63.diff.cut.dcmp
 2010-03-11T12:57:16.27 55266.539772      g      -     -  -      -  -      -  -      -    -      0x1613   6380.72  4825.74  32.7760   4685.00  3543.00 32.441 0x00000011  ut100311i_templi/63/md06s077.g.100311i.80447_63_g.100125i.97114_63.diff.cut.dcmp
 2010-03-17T13:36:50.38 55272.567250      g      -     -  -      -  -      -  -      -    -      0x1613   8530.58  4937.41  32.7760   8200.84  4745.96 32.733 0x00000011  ut100317i_templi/63/md06s077.g.100317i.73479_63_g.100119i.52606_63.diff.cut.dcmp
 2010-03-17T13:36:50.38 55272.567250      g      -     -  -      -  -      -  -      -    -      0x1613   8005.69  2934.11  32.7760   6159.12  2256.62 32.491 0x00000011  ut100317i_templi/63/md06s077.g.100317i.73479_63_g.100125i.97114_63.diff.cut.dcmp
 2010-03-20T12:21:47.99 55275.515139      g      -     -  -      -  -      -  -      -    -      0x1613   -110.07  4985.90  32.7760   -109.52  4961.16 32.771 0x00000011  ut100320i_templi/63/md06s077.g.100320i.75219_63_g.100119i.52606_63.diff.cut.dcmp
 2010-04-15T07:57:43.61 55301.331755      g      -     -  -      -  -      -  -      -    -      0x1613  -1695.42  4501.38  32.7760  -1434.95  3809.81 32.595 0x00000011  ut100415i_templi/63/md06s077.g.100415i.90724_63_g.100119i.52606_63.diff.cut.dcmp
 2010-04-15T07:57:43.61 55301.331755      g      -     -  -      -  -      -  -      -    -      0x1613  -8326.09  2568.35  32.7760  -5046.16  1555.89 32.232 0x00000011  ut100415i_templi/63/md06s077.g.100415i.90724_63_g.100125i.97114_63.diff.cut.dcmp
 2010-04-16T10:36:33.15 55302.442050      g      -     -  -      -  -      -  -      -    -      0x1613   1989.04  7401.77  32.7760   2100.89  7817.97 32.835 0x00000011  ut100416i_templi/63/md06s077.g.100416i.93377_63_g.100119i.52606_63.diff.cut.dcmp
 2010-04-19T08:02:03.22 55305.334759      g      -     -  -      -  -      -  -      -    -      0x1613  -3296.37  5726.07  32.7760  -2685.32  4664.56 32.553 0x00000011  ut100419i_templi/63/md06s077.g.100419i.94646_63_g.100119i.52606_63.diff.cut.dcmp
