#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-11T15:25:56.06 55176.643010      g      -     -      -      -      -      -      -      -    -      0x1613  -4018.98  1769.25  32.7146  -3835.27  1688.00 32.664 0x00000011  ut091211i_templi/41/md04s074.g.091211i.44097_41_g.100110i.42146_41.diff.cut.dcmp
 2009-12-11T15:25:56.06 55176.643010      g      -     -      -      -      -      -      -      -    -      0x1613  -4508.27  1665.72  32.7146 -10536.34  3891.76 33.636 0x00000011  ut091211i_templi/41/md04s074.g.091211i.44097_41_g.100121i.52997_41.diff.cut.dcmp
 2009-12-14T14:28:46.85 55179.603320      g      -     -      -      -      -      -      -      -    -      0x1613    574.70  1304.93  32.7146    557.96  1266.90 32.682 0x00000011  ut091214i_templi/41/md04s074.g.091214i.38661_41_g.100110i.42146_41.diff.cut.dcmp
 2009-12-14T14:28:47.08 55179.603323      g      -     -      -      -      -      -      -      -    -      0x1613    180.00  1089.29  32.7146    431.86  2613.51 33.665 0x00000011  ut091214i_templi/41/md04s074.g.091214i.38661_41_g.100121i.52997_41.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g 22.697 0.197      -      -      -      -      -      -    -      0x1613  10164.39  1850.72  32.7146   9776.00  1777.70 32.672 0x00000011  ut091223i_templi/41/md04s074.g.091223i.45317_41_g.100110i.42146_41.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g      -     -      -      -      -      -      -      -    -      0x1613   3602.89  1737.43  32.7146   8390.18  4045.27 33.632 0x00000011  ut091223i_templi/41/md04s074.g.091223i.45317_41_g.100121i.52997_41.diff.cut.dcmp
 2009-12-26T12:34:01.63 55191.523630      g      -     -      -      -      -      -      -      -    -      0x1613   2632.32  1472.47  32.7146   2572.64  1438.89 32.690 0x00000011  ut091226i_templi/41/md04s074.g.091226i.41209_41_g.100110i.42146_41.diff.cut.dcmp
 2009-12-26T12:34:01.63 55191.523630      g 22.861 0.172      -      -      -      -      -      -    -      0x1613   8736.42  1389.83  32.7146  20646.84  3279.04 33.648 0x00000011  ut091226i_templi/41/md04s074.g.091226i.41209_41_g.100121i.52997_41.diff.cut.dcmp
 2010-01-16T12:34:44.67 55212.524128      g 23.014 0.244  0.267  0.246      -      -      -      -    2      0x1613   7586.66  1703.27  32.7146   7586.66  1701.82 32.715 0x00000011  ut100116i_templi/41/md04s074.g.100116i.45914_41_g.100110i.42146_41.diff.cut.dcmp
 2010-01-16T12:48:33.41 55212.533720      g      -     -      -      -      -      -      -      -    -      0x1613   3900.19  1658.89  32.7146   3900.19  1658.50 32.715 0x00000011  ut100116i_templi/41/md04s074.g.100116i.54254_41_g.100110i.42146_41.diff.cut.dcmp
 2010-01-16T12:48:33.76 55212.533724      g      -     -      -      -      -      -      -      -    -      0x1613   1490.55  1538.36  32.7146   3576.25  3690.80 33.665 0x00000011  ut100116i_templi/41/md04s074.g.100116i.54254_41_g.100121i.52997_41.diff.cut.dcmp
