#               DATEOBS        MJDim filter      m    dm    gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                           cmpfile
 2009-12-17T14:12:26.21 55182.591970      g      -     -     -      -  -      -  -      -    -      0x1613   -694.67  1579.37  32.4901   -708.82 1611.54 32.512 0x00000011  ut091217o_templo/52/md05s127.g.091217o.39874_52_g.100110o.42409_52.diff.cut.dcmp
 2010-01-07T13:03:42.34 55203.544240      g      -     -     -      -  -      -  -      -    -      0x1613    316.00  1403.83  32.4901    316.00 1403.83 32.490 0x00000011  ut100107o_templo/52/md05s127.g.100107o.36485_52_g.091217o.39874_52.diff.cut.dcmp
 2010-01-07T13:03:42.34 55203.544240      g      -     -     -      -  -      -  -      -    -      0x1613   1030.11  2395.05  32.4901    982.84 2285.13 32.439 0x00000011  ut100107o_templo/52/md05s127.g.100107o.36485_52_g.100110o.42409_52.diff.cut.dcmp
 2010-01-10T14:58:18.91 55206.623830      g      -     -     -      -  -      -  -      -    -      0x1613    837.51  1558.62  32.4901    837.51 1558.60 32.490 0x00000011  ut100110o_templo/52/md05s127.g.100110o.42409_52_g.091217o.39874_52.diff.cut.dcmp
 2010-02-06T11:40:55.79 55233.486757      g      -     -     -      -  -      -  -      -    -      0x1613    -19.03  1960.15  32.4901    -19.03 1960.15 32.490 0x00000011 ut100206o_templo/52/md05s127.g.100206o.100988_52_g.091217o.39874_52.diff.cut.dcmp
 2010-02-06T11:40:55.79 55233.486757      g      -     -     -      -  -      -  -      -    -      0x1613  -1080.74  2652.07  32.4901  -1062.29 2606.77 32.471 0x00000011 ut100206o_templo/52/md05s127.g.100206o.100988_52_g.100110o.42409_52.diff.cut.dcmp
 2010-02-09T13:35:07.81 55236.566063      g      -     -     -      -  -      -  -      -    -      0x1613   -125.49  1689.20  32.4901   -125.49 1689.20 32.490 0x00000011 ut100209o_templo/52/md05s127.g.100209o.102528_52_g.091217o.39874_52.diff.cut.dcmp
 2010-02-09T13:35:07.81 55236.566063      g      -     -     -      -  -      -  -      -    -      0x1613   -949.73  2629.01  32.4901   -906.15 2508.36 32.439 0x00000011 ut100209o_templo/52/md05s127.g.100209o.102528_52_g.100110o.42409_52.diff.cut.dcmp
 2010-03-26T06:39:13.54 55281.277240      g 19.873 0.039 0.345  0.057  -      -  -      -    1      0x1613 111439.23  4178.64  32.4901 111439.23 4049.42 32.490 0x00000011  ut100326o_templo/52/md05s127.g.100326o.79218_52_g.091217o.39874_52.diff.cut.dcmp
 2010-03-26T06:39:13.54 55281.277240      g 19.934 0.050 0.407  0.065  -      -  -      -    1      0x1613 105294.93  4954.40  32.4901 100463.30 4634.76 32.439 0x00000011  ut100326o_templo/52/md05s127.g.100326o.79218_52_g.100110o.42409_52.diff.cut.dcmp
