#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex      flux_c  dflux_c ZPTMAG_c       flux    dflux ZPTMAG       type                                                                            cmpfile
 2010-04-10T14:38:56.13 55296.610372      g 21.032 0.297      -      -      -      -      -      -    -      0x1613    64833.33 17744.04  33.0618   70944.43 19405.47 33.160 0x00000011  ut100410j_templj/84/md08s088.g.100410j.81690_84_g.100130j.127050_84.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g      -     -      -      -      -      -      -      -    -      0x1613    -4122.30  3898.75  33.0618   -5115.63  4837.98 33.296 0x00000011  ut100416j_templj/84/md08s088.g.100416j.93545_84_g.100130j.127050_84.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g 22.139 0.241  1.252  0.280      -      -      -      -    1      0x1613    23392.70  5196.19  33.0618   12254.07  2719.62 32.360 0x00000011  ut100416j_templj/84/md08s088.g.100416j.93545_84_g.100510j.106898_84.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g      -     -      -      -      -      -      -      -    -      0x1613    -2246.83  5487.54  33.0618   -1138.60  2780.83 32.324 0x00000011  ut100416j_templj/84/md08s088.g.100416j.93545_84_g.100513j.108064_84.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g 22.612 0.324  1.071  0.363      -      -      -      -    1      0x1613    15136.49  4525.80  33.0618   15483.36  4627.30 33.086 0x00000011  ut100419j_templj/84/md08s088.g.100419j.94967_84_g.100130j.127050_84.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g 21.346 0.148 -0.195  0.221      -      -      -      -    1      0x1613    48566.62  6618.19  33.0618   20420.10  2776.23 32.121 0x00000011  ut100419j_templj/84/md08s088.g.100419j.94967_84_g.100510j.106898_84.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g      -     -      -      -      -      -      -      -    -      0x1613    14494.42  6977.86  33.0618    5928.72  2853.66 32.091 0x00000011  ut100419j_templj/84/md08s088.g.100419j.94967_84_g.100513j.108064_84.diff.cut.dcmp
 2010-05-10T13:07:33.24 55326.546913      g      -     -      -      -      -      -      -      -    -      0x1613   -33856.38  3174.58  33.0618  -34933.37  3259.58 33.096 0x00000011 ut100510j_templj/84/md08s088.g.100510j.106898_84_g.100130j.127050_84.diff.cut.dcmp
 2010-05-10T13:07:33.24 55326.546913      g      -     -      -      -      -      -      -      -    -      0x1613   -28000.60  4406.66  33.0618  -10982.15  1725.35 32.046 0x00000011 ut100510j_templj/84/md08s088.g.100510j.106898_84_g.100513j.108064_84.diff.cut.dcmp
 2010-05-13T12:44:34.37 55329.530953      g      -     -      -      -      -      -      -      -    -      0x1613    -1955.01  3453.77  33.0618   -1921.27  3394.12 33.043 0x00000011 ut100513j_templj/84/md08s088.g.100513j.108064_84_g.100130j.127050_84.diff.cut.dcmp
 2010-05-13T12:44:34.37 55329.530953      g 21.943 0.171  1.025  0.194      -      -      -      -    1      0x1613    28014.68  4409.32  33.0618   11256.04  1768.56 32.072 0x00000011 ut100513j_templj/84/md08s088.g.100513j.108064_84_g.100510j.106898_84.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g      -     -      -      -      -      -      -      -    -      0x1613     2931.27  1883.72  33.0618    2931.27  1883.52 33.062 0x00000011 ut100516j_templj/84/md08s088.g.100516j.109018_84_g.100130j.127050_84.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g 21.558 0.105 -0.101  0.130      -      -      -      -    1      0x1613    39944.17  3876.29  33.0618   16939.22  1636.34 32.130 0x00000011 ut100516j_templj/84/md08s088.g.100516j.109018_84_g.100510j.106898_84.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g      -     -      -      -      -      -      -      -    -      0x1613    10085.66  3953.33  33.0618    3955.71  1550.11 32.046 0x00000011 ut100516j_templj/84/md08s088.g.100516j.109018_84_g.100513j.108064_84.diff.cut.dcmp
 2010-05-19T10:22:18.03 55335.432153      g      -     -      -      -      -      -      -      -    -      0x1613   -12422.09  3120.75  33.0618  -11451.82  2875.04 32.974 0x00000011 ut100519j_templj/84/md08s088.g.100519j.111791_84_g.100130j.127050_84.diff.cut.dcmp
 2010-05-19T10:22:18.03 55335.432153      g 22.460 0.292  1.192  0.313      -      -      -      -    1      0x1613    17406.18  4676.85  33.0618    6587.24  1768.87 32.007 0x00000011 ut100519j_templj/84/md08s088.g.100519j.111791_84_g.100510j.106898_84.diff.cut.dcmp
 2010-05-19T10:22:18.03 55335.432153      g      -     -      -      -      -      -      -      -    -      0x1613    -9186.16  4862.11  33.0618   -3336.83  1765.87 31.962 0x00000011 ut100519j_templj/84/md08s088.g.100519j.111791_84_g.100513j.108064_84.diff.cut.dcmp
 2010-05-22T10:18:44.87 55338.429686      g      -     -      -      -      -      -      -      -    -      0x1613   -13841.21  5396.71  33.0618  -13230.43  5157.11 33.013 0x00000011 ut100522j_templj/84/md08s088.g.100522j.112663_84_g.100130j.127050_84.diff.cut.dcmp
 2010-05-22T10:18:44.87 55338.429686      g      -     -      -      -      -      -      -      -    -      0x1613    15021.35  6491.69  33.0618    5853.14  2528.94 32.038 0x00000011 ut100522j_templj/84/md08s088.g.100522j.112663_84_g.100510j.106898_84.diff.cut.dcmp
 2010-05-22T10:18:44.87 55338.429686      g      -     -      -      -      -      -      -      -    -      0x1613   -15130.03  6643.79  33.0618   -5703.74  2504.03 32.003 0x00000011 ut100522j_templj/84/md08s088.g.100522j.112663_84_g.100513j.108064_84.diff.cut.dcmp
 2010-05-31T10:42:04.83 55347.445889      g      -     -      -      -      -      -      -      -    -      0x1613     -314.61  3331.83  33.0618    -314.61  3331.83 33.062 0x00000011 ut100531j_templj/84/md08s088.g.100531j.114019_84_g.100130j.127050_84.diff.cut.dcmp
 2010-05-31T10:42:04.83 55347.445889      g 21.752 0.178  0.793  0.204      -      -      -      -    1      0x1613    33414.25  5483.33  33.0618   14170.06  2321.63 32.130 0x00000011 ut100531j_templj/84/md08s088.g.100531j.114019_84_g.100510j.106898_84.diff.cut.dcmp
 2010-05-31T10:42:04.83 55347.445889      g      -     -      -      -      -      -      -      -    -      0x1613     6153.62  5558.29  33.0618    2413.52  2179.91 32.046 0x00000011 ut100531j_templj/84/md08s088.g.100531j.114019_84_g.100513j.108064_84.diff.cut.dcmp
 2010-06-03T12:18:35.16 55350.512907      g      -     -      -      -      -      -      -      -    -      0x1613   -12234.36  3022.38  33.0618  -12234.36  3020.26 33.062 0x00000011 ut100603j_templj/84/md08s088.g.100603j.114968_84_g.100130j.127050_84.diff.cut.dcmp
 2010-06-03T12:18:35.16 55350.512907      g 22.290 0.264  1.401  0.278      -      -      -      -    1      0x1613    20351.20  4948.71  33.0618    8630.38  2097.09 32.130 0x00000011 ut100603j_templj/84/md08s088.g.100603j.114968_84_g.100510j.106898_84.diff.cut.dcmp
 2010-06-03T12:18:35.16 55350.512907      g      -     -      -      -      -      -      -      -    -      0x1613    -6356.88  4724.66  33.0618   -2493.24  1852.92 32.046 0x00000011 ut100603j_templj/84/md08s088.g.100603j.114968_84_g.100513j.108064_84.diff.cut.dcmp
 2010-06-06T10:09:43.68 55353.423422      g      -     -      -      -      -      -      -      -    -      0x1613   -12019.49  1712.77  33.0618  -12019.49  1709.16 33.062 0x00000011 ut100606j_templj/84/md08s088.g.100606j.116290_84_g.100130j.127050_84.diff.cut.dcmp
 2010-06-06T10:09:43.68 55353.423422      g 22.350 0.222  0.581  0.270      -      -      -      -    1      0x1613    19260.06  3944.58  33.0618    8167.66  1671.08 32.130 0x00000011 ut100606j_templj/84/md08s088.g.100606j.116290_84_g.100510j.106898_84.diff.cut.dcmp
 2010-06-06T10:09:43.68 55353.423422      g      -     -      -      -      -      -      -      -    -      0x1613    -9654.19  3994.26  33.0618   -3786.48  1566.20 32.046 0x00000011 ut100606j_templj/84/md08s088.g.100606j.116290_84_g.100513j.108064_84.diff.cut.dcmp
 2010-06-15T08:49:16.29 55362.367550      g      -     -      -      -      -      -      -      -    -      0x1613   -18738.61  3365.58  33.0618  -17941.44  3218.12 33.015 0x00000011 ut100615j_templj/84/md08s088.g.100615j.118655_84_g.100130j.127050_84.diff.cut.dcmp
