#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c       flux   dflux ZPTMAG       type                                                                            cmpfile
 2010-04-16T14:05:47.90 55302.587360      g      -     -      -      -      -      -      -      -    -      0x1613  -9187.54  3541.06  32.4410   -6284.62 2421.52 32.029 0x00000011   ut100416n_templn/81/md08s125.g.100416n.93569_81_g.100419n.94991_81.diff.cut.dcmp
 2010-04-16T14:05:48.13 55302.587363      g      -     -      -      -      -      -      -      -    -      0x1613  -5981.72  2804.00  32.4410   -7545.82 3536.50 32.693 0x00000011  ut100416n_templn/81/md08s125.g.100416n.93569_81_g.100206n.127076_81.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g      -     -      -      -      -      -      -      -    -      0x1613   3560.34  2267.03  32.4410    3805.15 2422.65 32.513 0x00000011  ut100419n_templn/81/md08s125.g.100419n.94991_81_g.100206n.127076_81.diff.cut.dcmp
 2010-05-10T13:07:33.02 55326.546910      g      -     -      -      -      -      -      -      -    -      0x1613   -453.35  3644.51  32.4410    -310.11 2492.98 32.029 0x00000011  ut100510n_templn/81/md08s125.g.100510n.106922_81_g.100419n.94991_81.diff.cut.dcmp
 2010-05-10T13:07:33.24 55326.546913      g      -     -      -      -      -      -      -      -    -      0x1613   1885.22  1825.41  32.4410    1885.22 1825.33 32.441 0x00000011 ut100510n_templn/81/md08s125.g.100510n.106922_81_g.100206n.127076_81.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g      -     -      -      -      -      -      -      -    -      0x1613  -1533.95  1169.20  32.4410   -1533.95 1169.11 32.441 0x00000011 ut100516n_templn/81/md08s125.g.100516n.109040_81_g.100206n.127076_81.diff.cut.dcmp
 2010-05-16T10:13:02.21 55332.425720      g      -     -      -      -      -      -      -      -    -      0x1613  -1319.84  2658.67  32.4410    -902.82 1818.61 32.029 0x00000011  ut100516n_templn/81/md08s125.g.100516n.109040_81_g.100419n.94991_81.diff.cut.dcmp
 2010-05-19T10:22:17.76 55335.432150      g      -     -      -      -      -      -      -      -    -      0x1613   -794.61  2733.81  32.4410    -543.54 1870.02 32.029 0x00000011  ut100519n_templn/81/md08s125.g.100519n.111814_81_g.100419n.94991_81.diff.cut.dcmp
 2010-05-19T10:22:18.03 55335.432153      g      -     -      -      -      -      -      -      -    -      0x1613   2462.78  2304.02  32.4410    2333.81 2183.26 32.383 0x00000011 ut100519n_templn/81/md08s125.g.100519n.111814_81_g.100206n.127076_81.diff.cut.dcmp
 2010-05-22T10:19:49.15 55338.430430      g      -     -      -      -      -      -      -      -    -      0x1613   8452.15  3686.49  32.4410    5781.59 2521.13 32.029 0x00000011  ut100522n_templn/81/md08s125.g.100522n.112688_81_g.100419n.94991_81.diff.cut.dcmp
