#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err    iz iz_err cflg photcodehex    flux_c   dflux_c ZPTMAG_c      flux     dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T14:16:31.58 55173.594810      g      -     -      -      -      -      -     -      -    -      0x1613   2191.53   1830.87  32.6857   2280.28   1904.89 32.729 0x00000011  ut091208m_templm/54/md05s115.g.091208m.37866_54_g.100107m.36479_54.diff.cut.dcmp
 2009-12-08T14:16:31.58 55173.594810      g 22.385 0.177      -      -      -      -     -      -    -      0x1613  13189.01   2148.46  32.6857  13553.52   2204.27 32.715 0x00000011  ut091208m_templm/54/md05s115.g.091208m.37866_54_g.100116m.46174_54.diff.cut.dcmp
 2009-12-17T14:18:27.36 55182.596150      g      -     -      -      -      -      -     -      -    -      0x1613   -211.67   1113.47  32.6857   -214.04   1125.95 32.698 0x00000011  ut091217m_templm/54/md05s115.g.091217m.39866_54_g.100107m.36479_54.diff.cut.dcmp
 2009-12-17T14:18:27.36 55182.596150      g 22.811 0.207      -      -      -      -     -      -    -      0x1613   8909.14   1701.17  32.6857   8891.11   1695.73 32.684 0x00000011  ut091217m_templm/54/md05s115.g.091217m.39866_54_g.100116m.46174_54.diff.cut.dcmp
 2009-12-23T15:31:03.65 55188.646570      g      -     -      -      -      -      -     -      -    -      0x1613   3676.61   1758.08  32.6857   3613.16   1727.42 32.667 0x00000011  ut091223m_templm/54/md05s115.g.091223m.45552_54_g.100107m.36479_54.diff.cut.dcmp
 2009-12-23T15:31:03.65 55188.646570      g 22.476 0.195      -      -      -      -     -      -    -      0x1613  12126.37   2181.54  32.6857  11807.85   2121.43 32.657 0x00000011  ut091223m_templm/54/md05s115.g.091223m.45552_54_g.100116m.46174_54.diff.cut.dcmp
 2010-01-07T13:07:39.94 55203.546990      g 22.981 0.258      -      -      -      -     -      -    -      0x1613   7621.82   1814.41  32.6857   7570.75   1800.89 32.678 0x00000011  ut100107m_templm/54/md05s115.g.100107m.36479_54_g.100116m.46174_54.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -      -      -      -      -     -      -    -      0x1613   1793.95   1396.43  32.6857   1771.29   1378.70 32.672 0x00000011  ut100110m_templm/54/md05s115.g.100110m.42401_54_g.100107m.36479_54.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g 22.366 0.143      -      -      -      -     -      -    -      0x1613  13426.45   1767.46  32.6857  13090.65   1718.99 32.658 0x00000011  ut100110m_templm/54/md05s115.g.100110m.42401_54_g.100116m.46174_54.diff.cut.dcmp
 2010-01-13T14:02:38.69 55209.585170      g      -     -      -      -      -      -     -      -    -      0x1613   1678.23   1447.38  32.6857   1677.61   1446.76 32.685 0x00000011  ut100113m_templm/54/md05s115.g.100113m.43457_54_g.100107m.36479_54.diff.cut.dcmp
