#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                           cmpfile
 2010-03-26T10:29:43.58 55281.437310      g      -     -      -      -      -      -      -      -    -      0x1613   6388.75 2167.08  31.7181   6388.75 2166.27 31.718 0x00000011  ut100326d_templd/71/md07s029.g.100326d.79313_71_g.100215d.61377_71.diff.cut.dcmp
 2010-04-10T13:17:59.42 55296.554160      g 22.147 0.321 -0.373  0.322      -      -      -      -    2      0x1613   6736.63 1995.35  31.7181   6890.37 2039.89 31.743 0x00000011  ut100410d_templd/71/md07s029.g.100410d.81487_71_g.100215d.61377_71.diff.cut.dcmp
 2010-05-16T08:10:52.90 55332.340890      g 22.237 0.191 -0.671  0.359      -      -      -      -    1      0x1613   6200.14 1091.80  31.7181   6200.14 1090.29 31.718 0x00000011 ut100516d_templd/71/md07s029.g.100516d.108825_71_g.100215d.61377_71.diff.cut.dcmp
 2010-05-22T08:08:57.12 55338.339550      g      -     -      -      -      -      -      -      -    -      0x1613   3187.08 2869.63  31.7181   3228.14 2906.45 31.732 0x00000011 ut100522d_templd/71/md07s029.g.100522d.112467_71_g.100215d.61377_71.diff.cut.dcmp
 2010-05-31T09:44:21.12 55347.405800      g 22.473 0.266 -0.419  0.373      -      -      -      -    1      0x1613   4990.31 1222.74  31.7181   4990.31 1221.87 31.718 0x00000011 ut100531d_templd/71/md07s029.g.100531d.113820_71_g.100215d.61377_71.diff.cut.dcmp
 2010-06-03T07:45:41.76 55350.323400      g 22.487 0.167 -0.205  0.278      -      -      -      -    1      0x1613   4924.16  757.08  31.7181   4924.16  755.71 31.718 0x00000011 ut100603d_templd/71/md07s029.g.100603d.114772_71_g.100215d.61377_71.diff.cut.dcmp
 2010-06-15T07:00:04.06 55362.291714      g 22.344 0.151  0.206  0.193      -      -      -      -    1      0x1613   5620.14  783.69  31.7181   5620.14  781.96 31.718 0x00000011 ut100615d_templd/71/md07s029.g.100615d.118456_71_g.100215d.61377_71.diff.cut.dcmp
 2010-06-18T07:19:35.98 55365.305278      g 22.333 0.152 -0.152  0.155      -      -      -      -    2      0x1613   5674.55  793.84  31.7181   5674.55  792.10 31.718 0x00000011 ut100618d_templd/71/md07s029.g.100618d.119077_71_g.100215d.61377_71.diff.cut.dcmp
 2010-06-30T08:43:56.01 55377.363843      g 22.462 0.223 -0.150  0.324      -      -      -      -    1      0x1613   5038.12 1037.63  31.7181   5038.12 1036.58 31.718 0x00000011 ut100630d_templd/71/md07s029.g.100630d.126546_71_g.100215d.61377_71.diff.cut.dcmp
 2011-02-04T15:36:05.76 55596.650067      g      -     -      -      -      -      -      -      -    -      0x1613   1246.67  810.28  31.7181   1246.67  810.20 31.718 0x00000011 ut110204d_templd/71/md07s029.g.110204d.223721_71_g.100215d.61377_71.diff.cut.dcmp
 2011-02-10T14:07:54.49 55602.588825      g      -     -      -      -      -      -      -      -    -      0x1613   1008.89  810.89  31.7181   1008.89  810.84 31.718 0x00000011 ut110210d_templd/71/md07s029.g.110210d.225496_71_g.100215d.61377_71.diff.cut.dcmp
 2011-02-13T15:30:35.78 55605.646248      g      -     -      -      -      -      -      -      -    -      0x1613  -1504.23 1303.42  31.7181  -1515.21 1312.86 31.726 0x00000011 ut110213d_templd/71/md07s029.g.110213d.225981_71_g.100215d.61377_71.diff.cut.dcmp
 2011-03-15T14:03:21.24 55635.585662      g      -     -      -      -      -      -      -      -    -      0x1613    430.01 1446.52  31.7181    378.58 1273.51 31.580 0x00000011 ut110315d_templd/71/md07s029.g.110315d.249936_71_g.100215d.61377_71.diff.cut.dcmp
 2011-04-02T13:04:31.59 55653.544810      g      -     -      -      -      -      -      -      -    -      0x1613   1951.60  833.37  31.7181   2093.10  893.58 31.794 0x00000011 ut110402d_templd/71/md07s029.g.110402d.258876_71_g.100215d.61377_71.diff.cut.dcmp
 2011-04-11T10:55:21.93 55662.455115      g 22.870 0.264 -0.417  0.266      -      -      -      -    2      0x1613   3462.22  843.68  31.7181   3462.22  843.07 31.718 0x00000011 ut110411d_templd/71/md07s029.g.110411d.262617_71_g.100215d.61377_71.diff.cut.dcmp
 2011-04-23T10:12:38.71 55674.425448      g 22.792 0.235  0.123  0.321      -      -      -      -    1      0x1613   3718.96  803.91  31.7181   3718.96  803.17 31.718 0x00000011 ut110423d_templd/71/md07s029.g.110423d.268001_71_g.100215d.61377_71.diff.cut.dcmp
 2011-04-26T10:26:09.59 55677.434833      g 22.629 0.179 -0.463  0.369      -      -      -      -    1      0x1613   4320.98  713.65  31.7181   4320.98  712.53 31.718 0x00000011 ut110426d_templd/71/md07s029.g.110426d.269626_71_g.100215d.61377_71.diff.cut.dcmp
 2011-05-29T08:04:35.79 55710.336525      g 22.693 0.189 -0.307  0.191      -      -      -      -    2      0x1613   4075.98  711.50  31.7181   4075.98  710.50 31.718 0x00000011 ut110529d_templd/71/md07s029.g.110529d.302652_71_g.100215d.61377_71.diff.cut.dcmp
 2011-06-07T08:24:51.74 55719.350599      g 22.798 0.223 -0.147  0.225      -      -      -      -    2      0x1613   3698.71  761.13  31.7181   3698.71  760.36 31.718 0x00000011 ut110607d_templd/71/md07s029.g.110607d.304651_71_g.100215d.61377_71.diff.cut.dcmp
 2011-06-28T07:05:46.33 55740.295675      g 23.083 0.310  0.101  0.475      -      -      -      -    1      0x1613   2845.42  812.07  31.7181   3028.77  863.94 31.786 0x00000011 ut110628d_templd/71/md07s029.g.110628d.322603_71_g.100215d.61377_71.diff.cut.dcmp
 2011-07-01T07:08:15.04 55743.297396      g 23.074 0.284 -0.019  0.286      -      -      -      -    2      0x1613   2868.84  749.92  31.7181   3045.83  795.69 31.783 0x00000011 ut110701d_templd/71/md07s029.g.110701d.325344_71_g.100215d.61377_71.diff.cut.dcmp
 2011-07-04T07:22:39.65 55746.307403      g 22.775 0.204 -0.271  0.206      -      -      -      -    2      0x1613   3778.20  709.11  31.7181   3778.20  708.25 31.718 0x00000011 ut110704d_templd/71/md07s029.g.110704d.327416_71_g.100215d.61377_71.diff.cut.dcmp
 2010-02-03T15:59:17.95 55230.666180      r      -     -      -      -      -      -      -      -    -      0x1614    321.80  412.67  30.5252    303.04  388.61 30.460 0x00000011  ut100203d_templd/71/md07s029.r.100203d.99902_71_r.100212d.59713_71.diff.cut.dcmp
 2010-02-03T15:59:17.95 55230.666180      r      -     -      -      -      -      -      -      -    -      0x1614    609.51  365.49  30.5252   2242.13 1344.32 31.939 0x00000011  ut100203d_templd/71/md07s029.r.100203d.99902_71_r.100215d.61465_71.diff.cut.dcmp
 2010-02-09T15:22:48.58 55236.640840      r      -     -      -      -      -      -      -      -    -      0x1614    483.86  270.05  30.5252    470.63  262.63 30.495 0x00000011 ut100209d_templd/71/md07s029.r.100209d.102852_71_r.100212d.59713_71.diff.cut.dcmp
