#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err    iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T14:20:44.09 55173.597732      g 21.853 0.357      -      -      -      -     -      -    -      0x1613  20382.62  6703.86  32.6259  20382.62  6701.21 32.626 0x00000011  ut091208d_templd/53/md05s031.g.091208d.37798_53_g.091217d.39790_53.diff.cut.dcmp
 2009-12-08T14:20:44.09 55173.597732      g      -     -      -      -      -      -     -      -    -      0x1613   4874.12  8279.12  32.6259   5067.30  8607.12 32.668 0x00000011  ut091208d_templd/53/md05s031.g.091208d.37798_53_g.100107d.36411_53.diff.cut.dcmp
 2009-12-17T14:18:27.36 55182.596150      g      -     -      -      -      -      -     -      -    -      0x1613  -1688.57   983.11  32.6259  -1628.09   947.78 32.586 0x00000011  ut091217d_templd/53/md05s031.g.091217d.39790_53_g.100107d.36411_53.diff.cut.dcmp
 2009-12-23T15:31:03.65 55188.646570      g      -     -      -      -      -      -     -      -    -      0x1613    117.03  1202.76  32.6259    112.01  1151.17 32.578 0x00000011  ut091223d_templd/53/md05s031.g.091223d.45484_53_g.091217d.39790_53.diff.cut.dcmp
 2009-12-23T15:31:03.65 55188.646570      g      -     -      -      -      -      -     -      -    -      0x1613  -1984.67  1381.01  32.6259  -1901.64  1323.12 32.580 0x00000011  ut091223d_templd/53/md05s031.g.091223d.45484_53_g.100107d.36411_53.diff.cut.dcmp
 2010-01-07T13:09:42.62 55203.548410      g      -     -      -      -      -      -     -      -    -      0x1613   1766.32   960.19  32.6259   1766.32   960.05 32.626 0x00000011  ut100107d_templd/53/md05s031.g.100107d.36411_53_g.091217d.39790_53.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -      -      -      -      -     -      -    -      0x1613   2416.54   956.34  32.6259   2416.54   956.08 32.626 0x00000011  ut100110d_templd/53/md05s031.g.100110d.42323_53_g.091217d.39790_53.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -      -      -      -      -     -      -    -      0x1613    665.48  1038.53  32.6259    643.60  1004.36 32.590 0x00000011  ut100110d_templd/53/md05s031.g.100110d.42323_53_g.100107d.36411_53.diff.cut.dcmp
 2010-01-13T14:02:38.69 55209.585170      g      -     -      -      -      -      -     -      -    -      0x1613   2753.59   955.22  32.6259   2682.00   930.06 32.597 0x00000011  ut100113d_templd/53/md05s031.g.100113d.43389_53_g.091217d.39790_53.diff.cut.dcmp
 2010-01-13T14:02:38.69 55209.585170      g      -     -      -      -      -      -     -      -    -      0x1613    230.31  1127.58  32.6259    224.41  1098.67 32.598 0x00000011  ut100113d_templd/53/md05s031.g.100113d.43389_53_g.100107d.36411_53.diff.cut.dcmp
 2010-01-16T13:55:19.78 55212.580090      g      -     -      -      -      -      -     -      -    -      0x1613   1536.33  1054.26  32.6259   1536.33  1054.16 32.626 0x00000011  ut100116d_templd/53/md05s031.g.100116d.46097_53_g.091217d.39790_53.diff.cut.dcmp
 2010-01-16T13:55:19.78 55212.580090      g      -     -      -      -      -      -     -      -    -      0x1613   -715.91  1295.92  32.6259   -711.44  1287.81 32.619 0x00000011  ut100116d_templd/53/md05s031.g.100116d.46097_53_g.100107d.36411_53.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -      -      -      -      -     -      -    -      0x1613    225.87   827.59  32.6259    225.87   827.59 32.626 0x00000011  ut100119d_templd/53/md05s031.g.100119d.52381_53_g.091217d.39790_53.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -      -      -      -      -     -      -    -      0x1613  -1540.14  1043.94  32.6259  -1601.18  1085.21 32.668 0x00000011  ut100119d_templd/53/md05s031.g.100119d.52381_53_g.100107d.36411_53.diff.cut.dcmp
 2010-01-25T12:37:22.08 55221.525950      g 23.779 0.271  0.018  0.434      -      -     -      -    1      0x1613   3457.72   862.47  32.6259   3457.72   861.88 32.626 0x00000011  ut100125d_templd/53/md05s031.g.100125d.96917_53_g.091217d.39790_53.diff.cut.dcmp
 2010-01-25T12:37:22.08 55221.525950      g 23.541 0.274 -0.220  0.436      -      -     -      -    1      0x1613   4304.66  1088.46  32.6259   4475.27  1130.84 32.668 0x00000011  ut100125d_templd/53/md05s031.g.100125d.96917_53_g.100107d.36411_53.diff.cut.dcmp
 2010-02-03T12:03:42.05 55230.502570      g      -     -      -      -      -      -     -      -    -      0x1613  -5345.54  2529.55  32.6259  -5557.40  2629.30 32.668 0x00000011  ut100203d_templd/53/md05s031.g.100203d.99505_53_g.100107d.36411_53.diff.cut.dcmp
 2010-02-03T12:03:42.10 55230.502571      g      -     -      -      -      -      -     -      -    -      0x1613  -3562.12  2483.59  32.6259  -3562.12  2483.37 32.626 0x00000011  ut100203d_templd/53/md05s031.g.100203d.99505_53_g.091217d.39790_53.diff.cut.dcmp
 2010-02-06T11:40:13.73 55233.486270      g      -     -      -      -      -      -     -      -    -      0x1613   2900.85  1873.80  32.6259   3338.92  2156.54 32.779 0x00000011 ut100206d_templd/53/md05s031.g.100206d.100920_53_g.091217d.39790_53.diff.cut.dcmp
 2010-02-06T11:40:13.73 55233.486270      g      -     -      -      -      -      -     -      -    -      0x1613    504.79  2046.09  32.6259    576.91  2338.43 32.771 0x00000011 ut100206d_templd/53/md05s031.g.100206d.100920_53_g.100107d.36411_53.diff.cut.dcmp
 2010-02-09T13:35:53.38 55236.566590      g 23.773 0.326  0.513  0.404      -      -     -      -    1      0x1613   3478.03  1044.78  32.6259   3575.80  1073.64 32.656 0x00000011 ut100209d_templd/53/md05s031.g.100209d.102457_53_g.091217d.39790_53.diff.cut.dcmp
 2010-02-09T13:35:53.38 55236.566590      g      -     -      -      -      -      -     -      -    -      0x1613   1534.69  1245.22  32.6259   1574.64  1277.55 32.654 0x00000011 ut100209d_templd/53/md05s031.g.100209d.102457_53_g.100107d.36411_53.diff.cut.dcmp
