#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-25T15:18:45.79 55221.638030      g      -     -  -      -     -      -      -      -    -      0x1613    295.05   208.21  30.4169    984.95   695.00 31.726 0x00000011  ut100125f_templf/74/md07s053.g.100125f.97250_74_g.100215f.61396_74.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -  -      -     -      -      -      -    -      0x1613   -867.84   412.73  30.4169  -2897.07  1377.53 31.726 0x00000011  ut100203f_templf/74/md07s053.g.100203f.99843_74_g.100215f.61396_74.diff.cut.dcmp
 2010-02-06T13:32:25.15 55233.564180      g      -     -  -      -     -      -      -      -    -      0x1613    181.81   297.43  30.4169    660.25  1080.10 31.817 0x00000011 ut100206f_templf/74/md07s053.g.100206f.101242_74_g.100215f.61396_74.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -  -      -     -      -      -      -    -      0x1613    -41.14   241.55  30.4169   -137.33   806.35 31.726 0x00000011 ut100209f_templf/74/md07s053.g.100209f.102789_74_g.100215f.61396_74.diff.cut.dcmp
 2010-03-11T13:40:14.30 55266.569610      g      -     -  -      -     -      -      -      -    -      0x1613     84.10   231.51  30.4169    299.12   823.38 31.794 0x00000011  ut100311f_templf/74/md07s053.g.100311f.80593_74_g.100215f.61396_74.diff.cut.dcmp
 2010-03-17T14:22:49.15 55272.599180      g      -     -  -      -     -      -      -      -    -      0x1613   -254.29   258.23  30.4169   -848.88   861.99 31.726 0x00000011  ut100317f_templf/74/md07s053.g.100317f.73630_74_g.100215f.61396_74.diff.cut.dcmp
 2010-03-20T13:02:43.58 55275.543560      g      -     -  -      -     -      -      -      -    -      0x1613    269.10   252.90  30.4169    976.94   918.10 31.817 0x00000011  ut100320f_templf/74/md07s053.g.100320f.75365_74_g.100215f.61396_74.diff.cut.dcmp
 2010-03-26T10:29:43.58 55281.437310      g      -     -  -      -     -      -      -      -    -      0x1613    -74.39   498.94  30.4169   -248.33  1665.59 31.726 0x00000011  ut100326f_templf/74/md07s053.g.100326f.79332_74_g.100215f.61396_74.diff.cut.dcmp
 2010-04-04T14:13:43.10 55290.592860      g      -     -  -      -     -      -      -      -    -      0x1613    133.01   462.17  30.4169    435.14  1512.03 31.704 0x00000011  ut100404f_templf/74/md07s053.g.100404f.80117_74_g.100215f.61396_74.diff.cut.dcmp
 2010-04-10T13:17:59.42 55296.554160      g      -     -  -      -     -      -      -      -    -      0x1613    636.34   667.52  30.4169   2076.49  2178.14 31.701 0x00000011  ut100410f_templf/74/md07s053.g.100410f.81506_74_g.100215f.61396_74.diff.cut.dcmp
 2010-04-19T10:43:28.70 55305.446860      g      -     -  -      -     -      -      -      -    -      0x1613     70.98   335.08  30.4169    243.91  1151.52 31.757 0x00000011  ut100419f_templf/74/md07s053.g.100419f.94790_74_g.100215f.61396_74.diff.cut.dcmp
 2010-05-10T12:27:11.23 55326.518880      g      -     -  -      -     -      -      -      -    -      0x1613    -77.99   244.25  30.4169   -262.64   822.52 31.735 0x00000011 ut100510f_templf/74/md07s053.g.100510f.106725_74_g.100215f.61396_74.diff.cut.dcmp
 2010-05-13T12:01:37.63 55329.501130      g      -     -  -      -     -      -      -      -    -      0x1613     -9.93   283.76  30.4169    -33.73   964.27 31.745 0x00000011 ut100513f_templf/74/md07s053.g.100513f.107888_74_g.100215f.61396_74.diff.cut.dcmp
 2010-05-16T08:09:48.10 55332.340140      g      -     -  -      -     -      -      -      -    -      0x1613     41.31   257.16  30.4169    137.91   858.45 31.726 0x00000011 ut100516f_templf/74/md07s053.g.100516f.108843_74_g.100215f.61396_74.diff.cut.dcmp
 2010-05-31T09:42:02.02 55347.404190      g      -     -  -      -     -      -      -      -    -      0x1613    411.55   379.40  30.4169   1373.86  1266.46 31.726 0x00000011 ut100531f_templf/74/md07s053.g.100531f.113840_74_g.100215f.61396_74.diff.cut.dcmp
