#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-07T14:43:16.03 55203.613380      g      -     -  -      -      -      -      -      -    -      0x1613    418.56 1565.58  32.6721    427.36  1598.50 32.695 0x00000011  ut100107j_templj/61/md06s087.g.100107j.36631_61_g.100116j.46369_61.diff.cut.dcmp
 2010-01-07T14:43:16.03 55203.613380      g      -     -  -      -      -      -      -      -    -      0x1613  -2166.46 1029.89  32.6721  -2229.41  1059.62 32.703 0x00000011  ut100107j_templj/61/md06s087.g.100107j.36631_61_g.100119j.52615_61.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g      -     -  -      -      -      -      -      -    -      0x1613    935.61 1751.54  32.6721    945.31  1769.68 32.683 0x00000011  ut100113j_templj/61/md06s087.g.100113j.43620_61_g.100116j.46369_61.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g      -     -  -      -      -      -      -      -    -      0x1613   -484.52 1020.70  32.6721   -495.39  1043.60 32.696 0x00000011  ut100113j_templj/61/md06s087.g.100113j.43620_61_g.100119j.52615_61.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -  -      -      -      -      -      -    -      0x1613   3259.79 1600.22  32.6721   3336.03  1637.35 32.697 0x00000011  ut100125j_templj/61/md06s087.g.100125j.97121_61_g.100116j.46369_61.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -  -      -      -      -      -      -    -      0x1613    370.75  991.54  32.6721    383.71  1026.19 32.709 0x00000011  ut100125j_templj/61/md06s087.g.100125j.97121_61_g.100119j.52615_61.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g      -     -  -      -      -      -      -      -    -      0x1613  -1698.68 1665.92  32.6721  -1704.64  1671.69 32.676 0x00000011  ut100203j_templj/61/md06s087.g.100203j.99710_61_g.100119j.52615_61.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g      -     -  -      -      -      -      -      -    -      0x1613   4219.82 1850.71  32.6721   4110.11  1802.19 32.644 0x00000011 ut100206j_templj/61/md06s087.g.100206j.101116_61_g.100116j.46369_61.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g      -     -  -      -      -      -      -      -    -      0x1613   1164.86 1358.81  32.6721   1145.18  1335.81 32.654 0x00000011 ut100206j_templj/61/md06s087.g.100206j.101116_61_g.100119j.52615_61.diff.cut.dcmp
 2010-02-09T14:16:48.86 55236.595010      g      -     -  -      -      -      -      -      -    -      0x1613    524.25 2436.90  32.6721    501.58  2331.51 32.624 0x00000011 ut100209j_templj/61/md06s087.g.100209j.102658_61_g.100116j.46369_61.diff.cut.dcmp
 2010-02-09T14:16:48.86 55236.595010      g      -     -  -      -      -      -      -      -    -      0x1613  -2199.47 1753.08  32.6721  -2153.96  1716.69 32.649 0x00000011 ut100209j_templj/61/md06s087.g.100209j.102658_61_g.100119j.52615_61.diff.cut.dcmp
 2010-02-12T12:57:46.37 55239.540120      g      -     -  -      -      -      -      -      -    -      0x1613    658.68  776.17  32.6721    679.95   801.20 32.707 0x00000011  ut100212j_templj/61/md06s087.g.100212j.59501_61_g.100119j.52615_61.diff.cut.dcmp
