#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-26T14:05:44.45 55191.587320      g      -     -  -      -  -      -  -      -    -      0x1613     84.01   940.82  32.6845     83.10   930.65 32.673 0x00000011  ut091226f_templf/63/md06s052.g.091226f.41517_63_g.100119f.52582_63.diff.cut.dcmp
 2010-01-07T14:43:16.03 55203.613380      g      -     -  -      -  -      -  -      -    -      0x1613    293.72   987.74  32.6845    297.78  1001.38 32.699 0x00000011  ut100107f_templf/63/md06s052.g.100107f.36601_63_g.100119f.52582_63.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g      -     -  -      -  -      -  -      -    -      0x1613   -800.04  1126.18  32.6845   -824.27  1160.27 32.717 0x00000011  ut100113f_templf/63/md06s052.g.100113f.43588_63_g.100107f.36601_63.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g      -     -  -      -  -      -  -      -    -      0x1613    515.95  1197.95  32.6845    536.79  1246.34 32.727 0x00000011  ut100113f_templf/63/md06s052.g.100113f.43588_63_g.100119f.52582_63.diff.cut.dcmp
 2010-01-16T15:16:24.96 55212.636400      g      -     -  -      -  -      -  -      -    -      0x1613   -615.32  1427.80  32.6845   -615.32  1427.79 32.684 0x00000011  ut100116f_templf/63/md06s052.g.100116f.46334_63_g.100107f.36601_63.diff.cut.dcmp
 2010-01-19T14:50:56.54 55215.618710      g      -     -  -      -  -      -  -      -    -      0x1613   -281.16   987.34  32.6845   -281.16   987.34 32.684 0x00000011  ut100119f_templf/63/md06s052.g.100119f.52582_63_g.100107f.36601_63.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -  -      -  -      -  -      -    -      0x1613     34.82   991.53  32.6845     33.55   955.31 32.644 0x00000011  ut100125f_templf/63/md06s052.g.100125f.97094_63_g.100107f.36601_63.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -  -      -  -      -  -      -    -      0x1613    784.17  1068.51  32.6845    764.63  1041.86 32.657 0x00000011  ut100125f_templf/63/md06s052.g.100125f.97094_63_g.100119f.52582_63.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g      -     -  -      -  -      -  -      -    -      0x1613     -3.34  1819.86  32.6845     -3.34  1819.86 32.684 0x00000011  ut100203f_templf/63/md06s052.g.100203f.99681_63_g.100107f.36601_63.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g      -     -  -      -  -      -  -      -    -      0x1613    249.89  2202.45  32.6845    250.74  2209.97 32.688 0x00000011  ut100203f_templf/63/md06s052.g.100203f.99681_63_g.100119f.52582_63.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g      -     -  -      -  -      -  -      -    -      0x1613   1352.02  1687.28  32.6845   1322.10  1649.89 32.660 0x00000011 ut100206f_templf/63/md06s052.g.100206f.101087_63_g.100107f.36601_63.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g      -     -  -      -  -      -  -      -    -      0x1613   2406.47  1753.03  32.6845   2393.87  1743.71 32.679 0x00000011 ut100206f_templf/63/md06s052.g.100206f.101087_63_g.100119f.52582_63.diff.cut.dcmp
 2010-02-09T14:16:48.86 55236.595010      g      -     -  -      -  -      -  -      -    -      0x1613   1556.59  1041.77  32.6845   1556.59  1041.67 32.684 0x00000011 ut100209f_templf/63/md06s052.g.100209f.102629_63_g.100107f.36601_63.diff.cut.dcmp
 2010-02-09T14:16:48.86 55236.595010      g      -     -  -      -  -      -  -      -    -      0x1613   1985.44  1313.67  32.6845   1898.70  1256.16 32.636 0x00000011 ut100209f_templf/63/md06s052.g.100209f.102629_63_g.100119f.52582_63.diff.cut.dcmp
 2010-02-12T12:57:55.01 55239.540220      g      -     -  -      -  -      -  -      -    -      0x1613    726.82   924.79  32.6845    726.82   924.77 32.684 0x00000011  ut100212f_templf/63/md06s052.g.100212f.59472_63_g.100107f.36601_63.diff.cut.dcmp
 2010-02-15T12:54:00.86 55242.537510      g      -     -  -      -  -      -  -      -    -      0x1613    991.30  1065.26  32.6845    991.30  1065.22 32.684 0x00000011  ut100215f_templf/63/md06s052.g.100215f.61219_63_g.100107f.36601_63.diff.cut.dcmp
 2010-02-15T12:54:00.86 55242.537510      g      -     -  -      -  -      -  -      -    -      0x1613   1113.87  1439.18  32.6845   1111.31  1435.83 32.682 0x00000011  ut100215f_templf/63/md06s052.g.100215f.61219_63_g.100119f.52582_63.diff.cut.dcmp
 2010-02-21T12:36:22.46 55248.525260      g      -     -  -      -  -      -  -      -    -      0x1613   -124.30   919.58  32.6845   -124.30   919.58 32.684 0x00000011  ut100221f_templf/63/md06s052.g.100221f.63391_63_g.100107f.36601_63.diff.cut.dcmp
 2010-02-21T12:36:22.46 55248.525260      g      -     -  -      -  -      -  -      -    -      0x1613    352.23   845.84  32.6845    363.23   872.26 32.718 0x00000011  ut100221f_templf/63/md06s052.g.100221f.63391_63_g.100119f.52582_63.diff.cut.dcmp
 2010-02-24T12:13:02.78 55251.509060      g      -     -  -      -  -      -  -      -    -      0x1613   2711.60  1757.78  32.6845   2711.60  1757.60 32.684 0x00000011  ut100224f_templf/63/md06s052.g.100224f.64646_63_g.100107f.36601_63.diff.cut.dcmp
 2010-03-11T12:57:38.59 55266.540030      g      -     -  -      -  -      -  -      -    -      0x1613  -2405.67  2195.50  32.6845  -2197.23  2005.17 32.586 0x00000011  ut100311f_templf/63/md06s052.g.100311f.80426_63_g.100107f.36601_63.diff.cut.dcmp
 2010-03-11T12:57:38.59 55266.540030      g      -     -  -      -  -      -  -      -    -      0x1613   -538.18  2211.30  32.6845   -488.35  2006.53 32.579 0x00000011  ut100311f_templf/63/md06s052.g.100311f.80426_63_g.100119f.52582_63.diff.cut.dcmp
 2010-03-17T13:38:48.77 55272.568620      g      -     -  -      -  -      -  -      -    -      0x1613  -1190.75  1523.64  32.6845  -1210.43  1548.78 32.702 0x00000011  ut100317f_templf/63/md06s052.g.100317f.73458_63_g.100107f.36601_63.diff.cut.dcmp
 2010-03-17T13:38:48.77 55272.568620      g      -     -  -      -  -      -  -      -    -      0x1613     14.21  1561.66  32.6845     14.74  1619.82 32.724 0x00000011  ut100317f_templf/63/md06s052.g.100317f.73458_63_g.100119f.52582_63.diff.cut.dcmp
 2010-03-20T12:22:58.94 55275.515960      g      -     -  -      -  -      -  -      -    -      0x1613   -770.21  1564.67  32.6845   -799.41  1623.97 32.725 0x00000011  ut100320f_templf/63/md06s052.g.100320f.75198_63_g.100107f.36601_63.diff.cut.dcmp
 2010-03-20T12:22:58.94 55275.515960      g      -     -  -      -  -      -  -      -    -      0x1613    546.08  1589.03  32.6845    566.68  1648.96 32.725 0x00000011  ut100320f_templf/63/md06s052.g.100320f.75198_63_g.100119f.52582_63.diff.cut.dcmp
 2010-04-15T07:58:56.64 55301.332600      g      -     -  -      -  -      -  -      -    -      0x1613   1265.83  1447.45  32.6845   1319.76  1509.07 32.730 0x00000011  ut100415f_templf/63/md06s052.g.100415f.90703_63_g.100107f.36601_63.diff.cut.dcmp
 2010-04-15T07:58:56.64 55301.332600      g      -     -  -      -  -      -  -      -    -      0x1613   2290.38  1465.60  32.6845   2500.50  1599.89 32.780 0x00000011  ut100415f_templf/63/md06s052.g.100415f.90703_63_g.100119f.52582_63.diff.cut.dcmp
 2010-04-16T10:39:24.19 55302.444030      g      -     -  -      -  -      -  -      -    -      0x1613   1735.85  1402.08  32.6845   1735.85  1401.99 32.684 0x00000011  ut100416f_templf/63/md06s052.g.100416f.93356_63_g.100107f.36601_63.diff.cut.dcmp
 2010-04-16T10:39:24.19 55302.444030      g      -     -  -      -  -      -  -      -    -      0x1613   2041.89  1949.81  32.6845   1988.62  1898.86 32.656 0x00000011  ut100416f_templf/63/md06s052.g.100416f.93356_63_g.100119f.52582_63.diff.cut.dcmp
 2010-04-19T08:04:05.09 55305.336170      g      -     -  -      -  -      -  -      -    -      0x1613  -1847.81  1500.79  32.6845  -1865.42  1515.00 32.695 0x00000011  ut100419f_templf/63/md06s052.g.100419f.94625_63_g.100107f.36601_63.diff.cut.dcmp
 2010-04-19T08:04:05.09 55305.336170      g      -     -  -      -  -      -  -      -    -      0x1613   -172.65  1537.60  32.6845   -173.91  1548.83 32.692 0x00000011  ut100419f_templf/63/md06s052.g.100419f.94625_63_g.100119f.52582_63.diff.cut.dcmp
 2010-05-10T09:55:52.86 55326.413806      g      -     -  -      -  -      -  -      -    -      0x1613  -1447.24  2064.79  32.6845  -1361.13  1941.90 32.618 0x00000011 ut100510f_templf/63/md06s052.g.100510f.106564_63_g.100107f.36601_63.diff.cut.dcmp
 2010-05-10T09:55:52.86 55326.413806      g      -     -  -      -  -      -  -      -    -      0x1613   -376.06  2088.33  32.6845   -354.76  1970.06 32.621 0x00000011 ut100510f_templf/63/md06s052.g.100510f.106564_63_g.100119f.52582_63.diff.cut.dcmp
 2010-05-16T07:30:45.27 55332.313024      g      -     -  -      -  -      -  -      -    -      0x1613   -702.81  1010.19  32.6845   -702.81  1010.17 32.684 0x00000011 ut100516f_templf/63/md06s052.g.100516f.108673_63_g.100107f.36601_63.diff.cut.dcmp
 2010-05-16T07:30:45.27 55332.313024      g      -     -  -      -  -      -  -      -    -      0x1613   -451.14  1086.06  32.6845   -443.52  1067.70 32.666 0x00000011 ut100516f_templf/63/md06s052.g.100516f.108673_63_g.100119f.52582_63.diff.cut.dcmp
 2010-06-03T07:05:19.97 55350.295370      g      -     -  -      -  -      -  -      -    -      0x1613    111.67   998.39  32.6845    111.67   998.39 32.684 0x00000011 ut100603f_templf/63/md06s052.g.100603f.114620_63_g.100107f.36601_63.diff.cut.dcmp
 2010-06-03T07:05:19.97 55350.295370      g      -     -  -      -  -      -  -      -    -      0x1613    441.20  1039.86  32.6845    429.93  1013.28 32.656 0x00000011 ut100603f_templf/63/md06s052.g.100603f.114620_63_g.100119f.52582_63.diff.cut.dcmp
 2010-06-15T06:22:45.02 55362.265799      g      -     -  -      -  -      -  -      -    -      0x1613  -1748.15  1190.23  32.6845  -1720.20  1171.09 32.667 0x00000011 ut100615f_templf/63/md06s052.g.100615f.118304_63_g.100107f.36601_63.diff.cut.dcmp
 2010-06-15T06:22:45.02 55362.265799      g      -     -  -      -  -      -  -      -    -      0x1613  -1176.58  1208.36  32.6845  -1163.22  1194.59 32.672 0x00000011 ut100615f_templf/63/md06s052.g.100615f.118304_63_g.100119f.52582_63.diff.cut.dcmp
 2010-06-18T06:22:58.57 55365.265956      g      -     -  -      -  -      -  -      -    -      0x1613  -1939.39  1448.04  32.6845  -1939.39  1447.93 32.684 0x00000011 ut100618f_templf/63/md06s052.g.100618f.118928_63_g.100107f.36601_63.diff.cut.dcmp
 2010-06-18T06:22:58.57 55365.265956      g      -     -  -      -  -      -  -      -    -      0x1613  -1403.62  1554.77  32.6845  -1365.24  1512.21 32.654 0x00000011 ut100618f_templf/63/md06s052.g.100618f.118928_63_g.100119f.52582_63.diff.cut.dcmp
 2011-02-04T14:52:45.18 55596.619967      g      -     -  -      -  -      -  -      -    -      0x1613  -1336.99  1124.14  32.6845  -1336.99  1124.07 32.684 0x00000011 ut110204f_templf/63/md06s052.g.110204f.223891_63_g.100107f.36601_63.diff.cut.dcmp
 2011-02-04T14:52:45.18 55596.619967      g      -     -  -      -  -      -  -      -    -      0x1613  -1305.22  1244.56  32.6845  -1298.51  1238.10 32.679 0x00000011 ut110204f_templf/63/md06s052.g.110204f.223891_63_g.100119f.52582_63.diff.cut.dcmp
 2011-02-10T12:09:19.15 55602.506472      g      -     -  -      -  -      -  -      -    -      0x1613   -657.43  1048.44  32.6845   -657.43  1048.42 32.684 0x00000011 ut110210f_templf/63/md06s052.g.110210f.225342_63_g.100107f.36601_63.diff.cut.dcmp
 2011-02-10T12:09:19.15 55602.506472      g      -     -  -      -  -      -  -      -    -      0x1613   -614.01  1067.87  32.6845   -616.79  1072.69 32.689 0x00000011 ut110210f_templf/63/md06s052.g.110210f.225342_63_g.100119f.52582_63.diff.cut.dcmp
 2011-02-13T14:51:56.71 55605.619406      g      -     -  -      -  -      -  -      -    -      0x1613  -1465.16  2475.98  32.6845  -1350.35  2281.92 32.596 0x00000011 ut110213f_templf/63/md06s052.g.110213f.225829_63_g.100107f.36601_63.diff.cut.dcmp
 2011-02-13T14:51:56.71 55605.619406      g      -     -  -      -  -      -  -      -    -      0x1613    374.11  2570.34  32.6845    344.57  2367.39 32.595 0x00000011 ut110213f_templf/63/md06s052.g.110213f.225829_63_g.100119f.52582_63.diff.cut.dcmp
 2009-12-26T14:27:17.86 55191.602290      r      -     -  -      -  -      -  -      -    -      0x1614    145.08  1003.06  32.7808    141.91   981.13 32.757 0x00000011  ut091226f_templf/63/md06s052.r.091226f.41600_63_r.100119f.52688_63.diff.cut.dcmp
 2010-01-07T15:05:30.91 55203.628830      r      -     -  -      -  -      -  -      -    -      0x1614    229.15  1140.62  32.7808    234.51  1167.29 32.806 0x00000011  ut100107f_templf/63/md06s052.r.100107f.36690_63_r.100119f.52688_63.diff.cut.dcmp
 2010-01-13T15:34:59.52 55209.649300      r      -     -  -      -  -      -  -      -    -      0x1614  -2104.75  1335.68  32.7808  -2167.31  1375.23 32.813 0x00000011  ut100113f_templf/63/md06s052.r.100113f.43692_63_r.100107f.36690_63.diff.cut.dcmp
 2010-01-13T15:34:59.52 55209.649300      r      -     -  -      -  -      -  -      -    -      0x1614  -1377.20  1293.71  32.7808  -1449.43  1361.49 32.836 0x00000011  ut100113f_templf/63/md06s052.r.100113f.43692_63_r.100119f.52688_63.diff.cut.dcmp
 2010-01-16T15:32:39.55 55212.647680      r      -     -  -      -  -      -  -      -    -      0x1614    379.51  1472.90  32.7808    379.51  1472.90 32.781 0x00000011  ut100116f_templf/63/md06s052.r.100116f.46443_63_r.100107f.36690_63.diff.cut.dcmp
