#               DATEOBS        MJDim filter      m    dm     gr gr_err    ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-26T14:05:44.45 55191.587320      g      -     -      -      -     -      -      -      -    -      0x1613   4818.03 1698.98  32.6546   4793.24  1689.66 32.649 0x00000011  ut091226h_templh/63/md06s068.g.091226h.41531_63_g.100107h.36615_63.diff.cut.dcmp
 2009-12-26T14:05:44.45 55191.587320      g      -     -      -      -     -      -      -      -    -      0x1613  -4344.33 1318.19  32.6546  -4453.72  1350.75 32.682 0x00000011  ut091226h_templh/63/md06s068.g.091226h.41531_63_g.100119h.52597_63.diff.cut.dcmp
 2010-01-07T14:43:16.03 55203.613380      g      -     -      -      -     -      -      -      -    -      0x1613  -3931.45 1516.09  32.6546  -3991.65  1538.86 32.671 0x00000011  ut100107h_templh/63/md06s068.g.100107h.36615_63_g.100119h.52597_63.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g 22.466 0.177 -0.354  0.180     -      -      -      -    2      0x1613  11901.39 1939.37  32.6546  12261.90  1994.89 32.687 0x00000011  ut100113h_templh/63/md06s068.g.100113h.43603_63_g.100107h.36615_63.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g      -     -      -      -     -      -      -      -    -      0x1613    592.54 1426.84  32.6546    617.96  1488.03 32.700 0x00000011  ut100113h_templh/63/md06s068.g.100113h.43603_63_g.100119h.52597_63.diff.cut.dcmp
 2010-01-16T15:16:47.42 55212.636660      g      -     -      -      -     -      -      -      -    -      0x1613    940.25 2086.87  32.6546    940.25  2086.85 32.655 0x00000011  ut100116h_templh/63/md06s068.g.100116h.46350_63_g.100107h.36615_63.diff.cut.dcmp
 2010-01-19T14:50:56.54 55215.618710      g      -     -      -      -     -      -      -      -    -      0x1613   3983.44 1508.18  32.6546   3983.44  1507.73 32.655 0x00000011  ut100119h_templh/63/md06s068.g.100119h.52597_63_g.100107h.36615_63.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g 22.751 0.290 -0.014  0.292     -      -      -      -    2      0x1613   9151.09 2446.76  32.6546   9151.09  2445.29 32.655 0x00000011  ut100203h_templh/63/md06s068.g.100203h.99695_63_g.100107h.36615_63.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g      -     -      -      -     -      -      -      -    -      0x1613   1058.86 2335.71  32.6546   1062.38  2343.45 32.658 0x00000011  ut100203h_templh/63/md06s068.g.100203h.99695_63_g.100119h.52597_63.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g 22.794 0.270  0.028  0.272     -      -      -      -    2      0x1613   8791.61 2186.01  32.6546   8583.58  2132.81 32.629 0x00000011 ut100206h_templh/63/md06s068.g.100206h.101101_63_g.100107h.36615_63.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g      -     -      -      -     -      -      -      -    -      0x1613   -889.76 1898.81  32.6546   -875.94  1869.29 32.638 0x00000011 ut100206h_templh/63/md06s068.g.100206h.101101_63_g.100119h.52597_63.diff.cut.dcmp
 2010-02-09T14:16:48.86 55236.595010      g 22.599 0.228 -0.515  0.420     -      -      -      -    1      0x1613  10525.58 2215.14  32.6546  10806.52  2272.07 32.683 0x00000011 ut100209h_templh/63/md06s068.g.100209h.102643_63_g.100107h.36615_63.diff.cut.dcmp
 2010-02-09T14:16:48.86 55236.595010      g      -     -      -      -     -      -      -      -    -      0x1613   -935.61 1796.07  32.6546   -958.20  1839.41 32.681 0x00000011 ut100209h_templh/63/md06s068.g.100209h.102643_63_g.100119h.52597_63.diff.cut.dcmp
